diagnostic,n,value,category
raw_generated_count,12,2183,
deduplicated_new_count,12,1245,
scored_count_including_references,12,1260,
pred_reward_mean_all_mean,12,0.4809040443482216,
pred_uncertainty_std_mean,12,0.13004929428692955,
novelty_distance_mean,12,0.17613484239990262,
candidate_count_by_family,12,6,method_c_inspired
candidate_count_by_family,12,1003,mutation
candidate_count_by_family,12,23,crossover
candidate_count_by_family,12,84,graph_pointer_inspired_proxy
candidate_count_by_family,12,45,regular_jump
candidate_count_by_family,12,83,regular_jump_sentinel
candidate_count_by_family,12,1,raster
shortlist_count_by_bucket,12,10,surrogate_top
shortlist_count_by_bucket,12,5,U2_primary_top
shortlist_count_by_bucket,12,5,diversity_top
shortlist_count_by_bucket,12,4,method_c_inspired
raw_generated_count,16,2399,
deduplicated_new_count,16,1250,
scored_count_including_references,16,1265,
pred_reward_mean_all_mean,16,0.5370642468968352,
pred_uncertainty_std_mean,16,0.1287552822079866,
novelty_distance_mean,16,0.13731333333333334,
candidate_count_by_family,16,6,method_c_inspired
candidate_count_by_family,16,1212,mutation
candidate_count_by_family,16,23,crossover
candidate_count_by_family,16,9,graph_pointer_inspired_proxy
shortlist_count_by_bucket,16,10,surrogate_top
shortlist_count_by_bucket,16,5,U2_primary_top
shortlist_count_by_bucket,16,5,diversity_top
shortlist_count_by_bucket,16,4,method_c_inspired
raw_generated_count,24,3023,
deduplicated_new_count,24,1250,
scored_count_including_references,24,1265,
pred_reward_mean_all_mean,24,0.5464902813829806,
pred_uncertainty_std_mean,24,0.127448248184818,
novelty_distance_mean,24,0.11233623188405797,
candidate_count_by_family,24,6,method_c_inspired
candidate_count_by_family,24,1244,mutation
shortlist_count_by_bucket,24,10,surrogate_top
shortlist_count_by_bucket,24,5,U2_primary_top
shortlist_count_by_bucket,24,5,diversity_top
shortlist_count_by_bucket,24,4,method_c_inspired
raw_generated_count,40,5039,
deduplicated_new_count,40,1250,
scored_count_including_references,40,1265,
pred_reward_mean_all_mean,40,0.5638071209162033,
pred_uncertainty_std_mean,40,0.133798792333506,
novelty_distance_mean,40,0.0986,
candidate_count_by_family,40,6,method_c_inspired
candidate_count_by_family,40,1244,mutation
shortlist_count_by_bucket,40,10,surrogate_top
shortlist_count_by_bucket,40,5,U2_primary_top
shortlist_count_by_bucket,40,5,diversity_top
shortlist_count_by_bucket,40,4,method_c_inspired
