n,handoff_strategy_name,inp_path,exists,size_bytes,node_section_exists,element_section_exists,node_entry_count,element_entry_count,scan_sequence_complete,cool_sequence_complete,step_final_cooling_exists,final_cooling_controls_visible,heat_flux_entries_exist,all_expected_heat_sets_present,heat_order_text_verified,heat_order_note,solver_output_count,verdict,notes
12,S3B20_N12_B01_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B01_surrogate_top\J2D_S3B20_N12_B01_surrogate_top.inp,True,45984,True,True,399,336,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
12,S3B20_N12_B02_diversity_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B02_diversity_top\J2D_S3B20_N12_B02_diversity_top.inp,True,45984,True,True,399,336,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
12,S3B20_N12_B03_method_c_inspired,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B03_method_c_inspired\J2D_S3B20_N12_B03_method_c_inspired.inp,True,45988,True,True,399,336,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
12,S3B20_N12_B04_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B04_surrogate_top\J2D_S3B20_N12_B04_surrogate_top.inp,True,45984,True,True,399,336,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
12,S3B20_N12_B05_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B05_surrogate_top\J2D_S3B20_N12_B05_surrogate_top.inp,True,45984,True,True,399,336,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
16,S3B20_N16_B01_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B01_surrogate_top\J2D_S3B20_N16_B01_surrogate_top.inp,True,58872,True,True,511,432,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
16,S3B20_N16_B02_diversity_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B02_diversity_top\J2D_S3B20_N16_B02_diversity_top.inp,True,58872,True,True,511,432,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
16,S3B20_N16_B03_method_c_inspired,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B03_method_c_inspired\J2D_S3B20_N16_B03_method_c_inspired.inp,True,58876,True,True,511,432,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
16,S3B20_N16_B04_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B04_surrogate_top\J2D_S3B20_N16_B04_surrogate_top.inp,True,58872,True,True,511,432,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
16,S3B20_N16_B05_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B05_surrogate_top\J2D_S3B20_N16_B05_surrogate_top.inp,True,58872,True,True,511,432,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
24,S3B20_N24_B01_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B01_surrogate_top\J2D_S3B20_N24_B01_surrogate_top.inp,True,84572,True,True,735,624,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
24,S3B20_N24_B02_diversity_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B02_diversity_top\J2D_S3B20_N24_B02_diversity_top.inp,True,84572,True,True,735,624,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
24,S3B20_N24_B03_method_c_inspired,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B03_method_c_inspired\J2D_S3B20_N24_B03_method_c_inspired.inp,True,84576,True,True,735,624,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
24,S3B20_N24_B04_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B04_surrogate_top\J2D_S3B20_N24_B04_surrogate_top.inp,True,84572,True,True,735,624,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
24,S3B20_N24_B05_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N24S3B20_N24_B05_surrogate_top\J2D_S3B20_N24_B05_surrogate_top.inp,True,84572,True,True,735,624,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
