run_id,batch_name,n,handoff_strategy_name,original_run12_candidate_id,candidate_family,selection_bucket,predicted_reward_mean_all,predicted_rank_within_n,source_order_json,order_hash,job_name,case_dir,scan_order_json,cae_path,inp_path,jnl_path,generation_log_path,teacher_validated,teacher_validation_status,solver_status,scan_order
run_14_batch20_cae_inp_generation,stage3_run13_batch20_surrogate_screened_v01,12,S3B20_N12_B01_surrogate_top,RUN12_N12_C00417,mutation,surrogate_top,0.7767226608929189,2,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_13_batch20_surrogate_screened_teacher_handoff\scan_orders\scan_order_S3B20_N12_B01_surrogate_top.json,ddeac1737cd4186c,J2D_S3B20_N12_B01_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B01_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B01_surrogate_top\scan_order_S3B20_N12_B01_surrogate_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B01_surrogate_top\J2D_S3B20_N12_B01_surrogate_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B01_surrogate_top\J2D_S3B20_N12_B01_surrogate_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B01_surrogate_top\J2D_S3B20_N12_B01_surrogate_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B01_surrogate_top\J2D_S3B20_N12_B01_surrogate_top.generation_log.json,False,NOT_RUN,NOT_SUBMITTED,"[0,2,4,10,8,6,1,3,5,7,9,11]"
run_14_batch20_cae_inp_generation,stage3_run13_batch20_surrogate_screened_v01,12,S3B20_N12_B02_diversity_top,RUN12_N12_C00026,regular_jump_sentinel,diversity_top,0.7420064397319364,49,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_13_batch20_surrogate_screened_teacher_handoff\scan_orders\scan_order_S3B20_N12_B02_diversity_top.json,bdefebe906990eb4,J2D_S3B20_N12_B02_diversity_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B02_diversity_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B02_diversity_top\scan_order_S3B20_N12_B02_diversity_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B02_diversity_top\J2D_S3B20_N12_B02_diversity_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B02_diversity_top\J2D_S3B20_N12_B02_diversity_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B02_diversity_top\J2D_S3B20_N12_B02_diversity_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B02_diversity_top\J2D_S3B20_N12_B02_diversity_top.generation_log.json,False,NOT_RUN,NOT_SUBMITTED,"[1,11,9,7,5,3,0,2,4,6,8,10]"
run_14_batch20_cae_inp_generation,stage3_run13_batch20_surrogate_screened_v01,12,S3B20_N12_B03_method_c_inspired,RUN12_N12_C00134,method_c_inspired,method_c_inspired,0.5524798939236236,343,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_13_batch20_surrogate_screened_teacher_handoff\scan_orders\scan_order_S3B20_N12_B03_method_c_inspired.json,e1bbed764cecf310,J2D_S3B20_N12_B03_method_c_inspired,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B03_method_c_inspired,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B03_method_c_inspired\scan_order_S3B20_N12_B03_method_c_inspired.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B03_method_c_inspired\J2D_S3B20_N12_B03_method_c_inspired.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B03_method_c_inspired\J2D_S3B20_N12_B03_method_c_inspired.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B03_method_c_inspired\J2D_S3B20_N12_B03_method_c_inspired.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B03_method_c_inspired\J2D_S3B20_N12_B03_method_c_inspired.generation_log.json,False,NOT_RUN,NOT_SUBMITTED,"[0,5,11,6,8,4,2,7,1,3,9,10]"
run_14_batch20_cae_inp_generation,stage3_run13_batch20_surrogate_screened_v01,12,S3B20_N12_B04_surrogate_top,RUN12_N12_C00024,regular_jump_sentinel,surrogate_top,0.776602931332815,3,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_13_batch20_surrogate_screened_teacher_handoff\scan_orders\scan_order_S3B20_N12_B04_surrogate_top.json,689e550783923e35,J2D_S3B20_N12_B04_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B04_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B04_surrogate_top\scan_order_S3B20_N12_B04_surrogate_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B04_surrogate_top\J2D_S3B20_N12_B04_surrogate_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B04_surrogate_top\J2D_S3B20_N12_B04_surrogate_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B04_surrogate_top\J2D_S3B20_N12_B04_surrogate_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B04_surrogate_top\J2D_S3B20_N12_B04_surrogate_top.generation_log.json,False,NOT_RUN,NOT_SUBMITTED,"[0,10,8,6,4,2,1,3,5,7,9,11]"
run_14_batch20_cae_inp_generation,stage3_run13_batch20_surrogate_screened_v01,12,S3B20_N12_B05_surrogate_top,RUN12_N12_C00414,mutation,surrogate_top,0.7726359545437126,5,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_13_batch20_surrogate_screened_teacher_handoff\scan_orders\scan_order_S3B20_N12_B05_surrogate_top.json,5e763bfd943521e1,J2D_S3B20_N12_B05_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B05_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B05_surrogate_top\scan_order_S3B20_N12_B05_surrogate_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B05_surrogate_top\J2D_S3B20_N12_B05_surrogate_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B05_surrogate_top\J2D_S3B20_N12_B05_surrogate_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B05_surrogate_top\J2D_S3B20_N12_B05_surrogate_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N12S3B20_N12_B05_surrogate_top\J2D_S3B20_N12_B05_surrogate_top.generation_log.json,False,NOT_RUN,NOT_SUBMITTED,"[0,2,4,6,10,8,1,3,5,7,9,11]"
run_14_batch20_cae_inp_generation,stage3_run13_batch20_surrogate_screened_v01,16,S3B20_N16_B01_surrogate_top,RUN12_N16_C01673,mutation,surrogate_top,0.8064539049176901,2,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_13_batch20_surrogate_screened_teacher_handoff\scan_orders\scan_order_S3B20_N16_B01_surrogate_top.json,07d1527fe5bebcbb,J2D_S3B20_N16_B01_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B01_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B01_surrogate_top\scan_order_S3B20_N16_B01_surrogate_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B01_surrogate_top\J2D_S3B20_N16_B01_surrogate_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B01_surrogate_top\J2D_S3B20_N16_B01_surrogate_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B01_surrogate_top\J2D_S3B20_N16_B01_surrogate_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B01_surrogate_top\J2D_S3B20_N16_B01_surrogate_top.generation_log.json,False,NOT_RUN,NOT_SUBMITTED,"[0,2,4,6,8,10,14,12,7,5,3,1,9,11,13,15]"
run_14_batch20_cae_inp_generation,stage3_run13_batch20_surrogate_screened_v01,16,S3B20_N16_B02_diversity_top,RUN12_N16_C01688,mutation,diversity_top,0.7334030970777086,120,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_13_batch20_surrogate_screened_teacher_handoff\scan_orders\scan_order_S3B20_N16_B02_diversity_top.json,9a674580a1a6fa6e,J2D_S3B20_N16_B02_diversity_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B02_diversity_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B02_diversity_top\scan_order_S3B20_N16_B02_diversity_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B02_diversity_top\J2D_S3B20_N16_B02_diversity_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B02_diversity_top\J2D_S3B20_N16_B02_diversity_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B02_diversity_top\J2D_S3B20_N16_B02_diversity_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B02_diversity_top\J2D_S3B20_N16_B02_diversity_top.generation_log.json,False,NOT_RUN,NOT_SUBMITTED,"[1,9,11,13,15,0,2,4,6,8,10,12,14,7,5,3]"
run_14_batch20_cae_inp_generation,stage3_run13_batch20_surrogate_screened_v01,16,S3B20_N16_B03_method_c_inspired,RUN12_N16_C01488,method_c_inspired,method_c_inspired,0.6973127116819496,167,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_13_batch20_surrogate_screened_teacher_handoff\scan_orders\scan_order_S3B20_N16_B03_method_c_inspired.json,0275e331daee6af4,J2D_S3B20_N16_B03_method_c_inspired,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B03_method_c_inspired,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B03_method_c_inspired\scan_order_S3B20_N16_B03_method_c_inspired.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B03_method_c_inspired\J2D_S3B20_N16_B03_method_c_inspired.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B03_method_c_inspired\J2D_S3B20_N16_B03_method_c_inspired.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B03_method_c_inspired\J2D_S3B20_N16_B03_method_c_inspired.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B03_method_c_inspired\J2D_S3B20_N16_B03_method_c_inspired.generation_log.json,False,NOT_RUN,NOT_SUBMITTED,"[0,15,7,11,3,5,9,13,1,2,4,12,10,8,6,14]"
run_14_batch20_cae_inp_generation,stage3_run13_batch20_surrogate_screened_v01,16,S3B20_N16_B04_surrogate_top,RUN12_N16_C01764,mutation,surrogate_top,0.8064539049176901,3,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_13_batch20_surrogate_screened_teacher_handoff\scan_orders\scan_order_S3B20_N16_B04_surrogate_top.json,a2a8d66c6fafcb1a,J2D_S3B20_N16_B04_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B04_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B04_surrogate_top\scan_order_S3B20_N16_B04_surrogate_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B04_surrogate_top\J2D_S3B20_N16_B04_surrogate_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B04_surrogate_top\J2D_S3B20_N16_B04_surrogate_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B04_surrogate_top\J2D_S3B20_N16_B04_surrogate_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B04_surrogate_top\J2D_S3B20_N16_B04_surrogate_top.generation_log.json,False,NOT_RUN,NOT_SUBMITTED,"[0,2,4,6,8,14,12,10,7,5,3,1,9,11,13,15]"
run_14_batch20_cae_inp_generation,stage3_run13_batch20_surrogate_screened_v01,16,S3B20_N16_B05_surrogate_top,RUN12_N16_C01668,mutation,surrogate_top,0.8006184221134572,4,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_13_batch20_surrogate_screened_teacher_handoff\scan_orders\scan_order_S3B20_N16_B05_surrogate_top.json,16c51042534d88b9,J2D_S3B20_N16_B05_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B05_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B05_surrogate_top\scan_order_S3B20_N16_B05_surrogate_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B05_surrogate_top\J2D_S3B20_N16_B05_surrogate_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B05_surrogate_top\J2D_S3B20_N16_B05_surrogate_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B05_surrogate_top\J2D_S3B20_N16_B05_surrogate_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run13_batch20_surrogate_screened_v01\N16S3B20_N16_B05_surrogate_top\J2D_S3B20_N16_B05_surrogate_top.generation_log.json,False,NOT_RUN,NOT_SUBMITTED,"[0,2,4,6,8,14,12,10,7,1,3,5,9,11,13,15]"
