dataset_source,n,strategy_name,handoff_strategy_name,job_name,candidate_id,original_run12_candidate_id,candidate_family,selection_bucket,predicted_reward_mean_all,predicted_rank_within_n,predicted_uncertainty_std,novelty_distance_to_teacher,nearest_existing_teacher_strategy,order_json,u2_range,peeq_max,surface_t_proxy,surface_t_proxy_mpa,mises_max,teacher_validation_status,final_step,final_frame_time,extracted_fields,u2_rank_batch20_within_n,u2_cost_minmax_batch20_within_n,u2_score_batch20_rank,peeq_rank_batch20_within_n,peeq_cost_minmax_batch20_within_n,peeq_score_batch20_rank,surfaceT_rank_batch20_within_n,surfaceT_cost_minmax_batch20_within_n,surfaceT_score_batch20_rank,mises_rank_batch20_within_n,mises_cost_minmax_batch20_within_n,mises_score_batch20_rank,reward_batch20_u2_primary,batch20_constrained_rank_within_n,batch20_pareto_flag_u2_peeq,batch20_pareto_flag_u2_peeq_surfaceT_mises
batch20_run14,12,S3B20_N12_B01_surrogate_top,S3B20_N12_B01_surrogate_top,J2D_S3B20_N12_B01_surrogate_top,RUN12_N12_C00417,RUN12_N12_C00417,mutation,surrogate_top,0.7767226608929189,2.0,0.1078570361595807,0.045454545454545456,N12_A02_odd_even_interlaced,"[0,2,4,10,8,6,1,3,5,7,9,11]",3.767202088056365e-05,0.1479470580816269,585915072.0,585.915072,579939584.0,PASS_TEACHER_FIELDS_EXTRACTED,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,3.0,0.25714208342250505,0.5,3.0,0.35627010099302425,0.5,5.0,1.0,0.0,4.0,1.0,0.25,0.43750000000000006,3,False,False
batch20_run14,12,S3B20_N12_B02_diversity_top,S3B20_N12_B02_diversity_top,J2D_S3B20_N12_B02_diversity_top,RUN12_N12_C00026,RUN12_N12_C00026,regular_jump_sentinel,diversity_top,0.7420064397319364,49.0,0.1732309693755779,0.4090909090909091,N12_A06_edge_in_alternating,"[1,11,9,7,5,3,0,2,4,6,8,10]",2.3353248252533376e-05,0.14696112275123596,582776448.0,582.776448,579939520.0,PASS_TEACHER_FIELDS_EXTRACTED,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,1.0,0.0,1.0,2.0,0.2896877628978437,0.75,3.0,0.33021483494721315,0.5,2.0,0.9473684210526315,0.75,0.8875000000000001,1,True,True
batch20_run14,12,S3B20_N12_B03_method_c_inspired,S3B20_N12_B03_method_c_inspired,J2D_S3B20_N12_B03_method_c_inspired,RUN12_N12_C00134,RUN12_N12_C00134,method_c_inspired,method_c_inspired,0.5524798939236236,343.0,0.10988264889627439,0.045454545454545456,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,"[0,5,11,6,8,4,2,7,1,3,9,10]",7.903753157734172e-05,0.15747925639152527,581229056.0,581.229056,579938368.0,PASS_TEACHER_FIELDS_EXTRACTED,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,5.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.15000000000000002,5,False,True
batch20_run14,12,S3B20_N12_B04_surrogate_top,S3B20_N12_B04_surrogate_top,J2D_S3B20_N12_B04_surrogate_top,RUN12_N12_C00024,RUN12_N12_C00024,regular_jump_sentinel,surrogate_top,0.776602931332815,3.0,0.09967508742031235,0.15151515151515152,N12_A02_odd_even_interlaced,"[0,10,8,6,4,2,1,3,5,7,9,11]",3.2932137401076034e-05,0.14267149567604065,582234944.0,582.234944,579939584.0,PASS_TEACHER_FIELDS_EXTRACTED,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,2.0,0.17202141388205835,0.75,1.0,0.0,1.0,2.0,0.2146573976700037,0.75,4.0,1.0,0.25,0.7749999999999999,2,True,True
batch20_run14,12,S3B20_N12_B05_surrogate_top,S3B20_N12_B05_surrogate_top,J2D_S3B20_N12_B05_surrogate_top,RUN12_N12_C00414,RUN12_N12_C00414,mutation,surrogate_top,0.7726359545437126,5.0,0.1050507539805205,0.015151515151515152,N12_A02_odd_even_interlaced,"[0,2,4,6,10,8,1,3,5,7,9,11]",3.931116134481272e-05,0.14962293207645416,585543936.0,585.543936,579939584.0,PASS_TEACHER_FIELDS_EXTRACTED,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,4.0,0.28657840488304903,0.25,4.0,0.4694454842955646,0.25,4.0,0.9207992460973244,0.25,4.0,1.0,0.25,0.25,4,False,False
batch20_run14,16,S3B20_N16_B01_surrogate_top,S3B20_N16_B01_surrogate_top,J2D_S3B20_N16_B01_surrogate_top,RUN12_N16_C01673,RUN12_N16_C01673,mutation,surrogate_top,0.8064539049176901,2.0,0.09729417405795705,0.008333333333333333,N16_A04_method_c_u2_first_engineering,"[0,2,4,6,8,10,14,12,7,5,3,1,9,11,13,15]",5.233794854575535e-05,0.15044885873794556,581672320.0,581.67232,579948352.0,PASS_TEACHER_FIELDS_EXTRACTED,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,3.0,0.19176561676139295,0.5,2.0,0.10528286945287482,0.75,2.0,0.05683601015737461,0.75,5.0,1.0,0.0,0.55,3,False,False
batch20_run14,16,S3B20_N16_B02_diversity_top,S3B20_N16_B02_diversity_top,J2D_S3B20_N16_B02_diversity_top,RUN12_N16_C01688,RUN12_N16_C01688,mutation,diversity_top,0.7334030970777086,120.0,0.11906715403470836,0.375,N16_A03_greedy_maximin_distance,"[1,9,11,13,15,0,2,4,6,8,10,12,14,7,5,3]",7.41247381483845e-05,0.16351349651813507,581958912.0,581.958912,579947200.0,PASS_TEACHER_FIELDS_EXTRACTED,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,5.0,1.0,0.0,5.0,1.0,0.0,3.0,0.12926391382405744,0.5,1.0,0.0,1.0,0.1,5,False,True
batch20_run14,16,S3B20_N16_B03_method_c_inspired,S3B20_N16_B03_method_c_inspired,J2D_S3B20_N16_B03_method_c_inspired,RUN12_N16_C01488,RUN12_N16_C01488,method_c_inspired,method_c_inspired,0.6973127116819496,167.0,0.13823169772875507,0.05,N16_A03_greedy_maximin_distance,"[0,15,7,11,3,5,9,13,1,2,4,12,10,8,6,14]",6.606194119740394e-05,0.15563784539699554,582991360.0,582.99136,579948032.0,PASS_TEACHER_FIELDS_EXTRACTED,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,4.0,0.7008907764883593,0.25,4.0,0.4606448268331561,0.25,4.0,0.39018551765409937,0.25,2.0,0.7222222222222222,0.75,0.275,4,False,True
batch20_run14,16,S3B20_N16_B04_surrogate_top,S3B20_N16_B04_surrogate_top,J2D_S3B20_N16_B04_surrogate_top,RUN12_N16_C01764,RUN12_N16_C01764,mutation,surrogate_top,0.8064539049176901,3.0,0.09729417405795705,0.025,N16_A04_method_c_u2_first_engineering,"[0,2,4,6,8,14,12,10,7,5,3,1,9,11,13,15]",4.716870898846537e-05,0.1489115208387375,581447424.0,581.447424,579948288.0,PASS_TEACHER_FIELDS_EXTRACTED,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,3.5,0.9444444444444444,0.375,0.9687500000000001,1,True,True
batch20_run14,16,S3B20_N16_B05_surrogate_top,S3B20_N16_B05_surrogate_top,J2D_S3B20_N16_B05_surrogate_top,RUN12_N16_C01668,RUN12_N16_C01668,mutation,surrogate_top,0.8006184221134572,4.0,0.13048758531361718,0.05,N16_A02_odd_even_interlaced,"[0,2,4,6,8,14,12,10,7,1,3,5,9,11,13,15]",4.960947671861504e-05,0.15050330758094788,585404352.0,585.404352,579948288.0,PASS_TEACHER_FIELDS_EXTRACTED,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,2.0,0.0905462639051766,0.75,3.0,0.1090117376689165,0.5,5.0,1.0,0.0,3.5,0.9444444444444444,0.375,0.6062500000000001,2,False,False
