n,strategy_name,dataset_source,order_json,candidate_family,selection_bucket,u2_range,peeq_max,surface_t_proxy,mises_max,u2_rank_combined80_within_n,peeq_rank_combined80_within_n,surfaceT_rank_combined80_within_n,mises_rank_combined80_within_n,u2_cost_minmax_combined80_within_n,peeq_cost_minmax_combined80_within_n,surfaceT_cost_minmax_combined80_within_n,mises_cost_minmax_combined80_within_n,reward_combined80_u2_primary,combined80_constrained_rank_within_n,combined80_pareto_flag_u2_peeq,combined80_pareto_flag_u2_peeq_surfaceT_mises,teacher_validation_status,target_reward_combined80_u2_primary,target_u2_score_combined80_rank,target_peeq_score_combined80_rank,target_surfaceT_score_combined80_rank,target_mises_score_combined80_rank,target_combined80_constrained_rank_within_n
12,N12_A01_raster_left_to_right,probe60_run08,"[0,1,2,3,4,5,6,7,8,9,10,11]",raster,,0.0001314298706347472,0.172713503241539,585930688.0,579938304.0,18.0,19.0,20.0,6.0,0.8005559020052946,0.9253590101392108,1.0,0.2,0.11578947368421055,20,False,False,PASS_ODB_EXTRACTED,0.11578947368421055,0.10526315789473684,0.052631578947368474,0.0,0.736842105263158,20
12,N12_A02_odd_even_interlaced,probe60_run08,"[0,2,4,6,8,10,1,3,5,7,9,11]",odd_even,,4.044348497700412e-05,0.14851008355617523,585297728.0,579939584.0,6.0,7.0,17.0,17.0,0.1265925005322361,0.2339174440572509,0.8777563532087412,1.0,0.6394736842105264,7,False,False,PASS_ODB_EXTRACTED,0.6394736842105264,0.736842105263158,0.6842105263157895,0.1578947368421053,0.1578947368421053,7
12,N12_A03_greedy_maximin_distance,probe60_run08,"[0,11,5,8,2,1,3,4,6,7,9,10]",maximin,,8.175894481610158e-05,0.16098161041736603,585035712.0,579939584.0,13.0,15.0,16.0,17.0,0.43262848212759913,0.5902031332877555,0.8271531691881736,1.0,0.3210526315789474,15,False,False,PASS_ODB_EXTRACTED,0.3210526315789474,0.368421052631579,0.26315789473684215,0.21052631578947367,0.1578947368421053,15
12,N12_A04_method_c_u2_first_engineering,probe60_run08,"[0,2,4,6,8,10,5,3,1,7,9,11]",method_c,,4.4116221033618785e-05,0.1464761346578598,581743296.0,579939584.0,7.0,4.0,7.0,17.0,0.15379755618462665,0.1758117371007936,0.19128844062098288,1.0,0.6894736842105263,5,False,True,PASS_ODB_EXTRACTED,0.6894736842105263,0.6842105263157895,0.8421052631578947,0.6842105263157895,0.1578947368421053,5
12,N12_A05_center_out,probe60_run08,"[5,6,4,7,3,8,2,9,1,10,0,11]",center_out,,0.0001583552163992863,0.16032162308692932,580972800.0,579938048.0,20.0,14.0,3.0,2.5,1.0,0.5713486623376292,0.04248244833382775,0.04,0.1986842105263158,18,False,True,PASS_ODB_EXTRACTED,0.1986842105263158,0.0,0.3157894736842105,0.8947368421052632,0.9210526315789473,18
12,N12_A06_edge_in_alternating,probe60_run08,"[0,11,1,10,2,9,3,8,4,7,5,6]",edge_in,,0.00010128901044481609,0.17532625794410706,580798976.0,579937984.0,16.0,20.0,2.0,1.0,0.5772935258807723,1.0,0.008911796697320281,0.0,0.2815789473684211,16,False,True,PASS_ODB_EXTRACTED,0.2815789473684211,0.21052631578947367,0.0,0.9473684210526316,1.0,16
12,N12_A07_regular_jump_coprime,probe60_run08,"[0,5,10,3,8,1,6,11,4,9,2,7]",regular_jump,,6.379491514962865e-05,0.15351411700248718,581880128.0,579938432.0,9.0,9.0,9.0,10.0,0.29956353564515037,0.37687231439471663,0.21771482250568575,0.28,0.5763157894736842,10,False,True,PASS_ODB_EXTRACTED,0.5763157894736842,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5263157894736843,10
12,N12_A08_block_interleaved_quarters,probe60_run08,"[0,3,6,9,1,4,7,10,2,5,8,11]",block_interleaved,,3.6826456380367745e-05,0.14324450492858887,582462656.0,579939584.0,3.0,3.0,13.0,17.0,0.0998000867156871,0.08349076964860555,0.33021853060417283,1.0,0.8052631578947369,3,False,False,PASS_ODB_EXTRACTED,0.8052631578947369,0.8947368421052632,0.8947368421052632,0.368421052631579,0.1578947368421053,3
12,N12_A09_center_edge_alternating,probe60_run08,"[5,0,6,11,4,1,7,10,3,2,8,9]",center_edge,,0.00010808459228428546,0.1680927276611328,580752832.0,579938304.0,17.0,18.0,1.0,6.0,0.6276304352811026,0.793353023160379,0.0,0.2,0.2605263157894737,17,False,True,PASS_ODB_EXTRACTED,0.2605263157894737,0.1578947368421053,0.10526315789473684,1.0,0.736842105263158,17
12,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,probe60_run08,"[0,11,2,5,4,8,6,1,10,3,7,9]",graph_pointer_proxy,,5.570924804487731e-05,0.15651747584342957,583114560.0,579938304.0,8.0,10.0,15.0,6.0,0.2396705784109131,0.4626720554016904,0.45612083456936614,0.2,0.5789473684210527,9,False,True,PASS_ODB_EXTRACTED,0.5789473684210527,0.631578947368421,0.5263157894736843,0.26315789473684215,0.736842105263158,9
12,N12_A11_graph_pointer_policy_diverse_01,probe60_run08,"[0,5,11,10,1,3,8,2,9,6,4,7]",graph_pointer_proxy,,7.328880428758566e-05,0.1638757288455963,582071168.0,579939392.0,10.0,17.0,11.0,12.0,0.3698876151255084,0.6728821019812711,0.2546104024522891,0.88,0.44210526315789483,12,False,False,PASS_ODB_EXTRACTED,0.44210526315789483,0.5263157894736843,0.1578947368421053,0.4736842105263158,0.42105263157894735,12
12,N12_A12_graph_pointer_policy_diverse_02,probe60_run08,"[4,7,3,8,2,9,1,10,0,11,5,6]",graph_pointer_proxy,,0.00013954683527117595,0.16334585845470428,581337984.0,579938048.0,19.0,16.0,6.0,2.5,0.8606806894276917,0.6577448024731195,0.11301048155839019,0.04,0.19605263157894742,19,False,True,PASS_ODB_EXTRACTED,0.19605263157894742,0.052631578947368474,0.21052631578947367,0.736842105263158,0.9210526315789473,19
