n,leaderboard,position,strategy_name,dataset_source,value,combined_reward_rank
12,top5_u2,1,S3B20_N12_B02_diversity_top,batch20_run14,2.3353248252533376e-05,1
12,top5_u2,2,S3B20_N12_B04_surrogate_top,batch20_run14,3.2932137401076034e-05,2
12,top5_u2,3,N12_A08_block_interleaved_quarters,probe60_run08,3.6826456380367745e-05,3
12,top5_u2,4,S3B20_N12_B01_surrogate_top,batch20_run14,3.767202088056365e-05,4
12,top5_u2,5,S3B20_N12_B05_surrogate_top,batch20_run14,3.931116134481272e-05,6
12,top5_peeq,1,N12_A13_graph_pointer_policy_anti_odd_even_novelty,probe60_run08,0.14032196998596191,8
12,top5_peeq,2,S3B20_N12_B04_surrogate_top,batch20_run14,0.14267149567604065,2
12,top5_peeq,3,N12_A08_block_interleaved_quarters,probe60_run08,0.14324450492858887,3
12,top5_peeq,4,N12_A04_method_c_u2_first_engineering,probe60_run08,0.1464761346578598,5
12,top5_peeq,5,S3B20_N12_B02_diversity_top,batch20_run14,0.14696112275123596,1
12,top5_surfaceT,1,N12_A09_center_edge_alternating,probe60_run08,580752832.0,17
12,top5_surfaceT,2,N12_A06_edge_in_alternating,probe60_run08,580798976.0,16
12,top5_surfaceT,3,N12_A05_center_out,probe60_run08,580972800.0,18
12,top5_surfaceT,4,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,probe60_run08,581069312.0,13
12,top5_surfaceT,5,S3B20_N12_B03_method_c_inspired,batch20_run14,581229056.0,11
12,top5_mises,1,N12_A06_edge_in_alternating,probe60_run08,579937984.0,16
12,top5_mises,2,N12_A05_center_out,probe60_run08,579938048.0,18
12,top5_mises,3,N12_A12_graph_pointer_policy_diverse_02,probe60_run08,579938048.0,19
12,top5_mises,4,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,probe60_run08,579938240.0,13
12,top5_mises,5,N12_A01_raster_left_to_right,probe60_run08,579938304.0,20
12,top5_combined_reward,1,S3B20_N12_B02_diversity_top,batch20_run14,0.8578947368421053,1
12,top5_combined_reward,2,S3B20_N12_B04_surrogate_top,batch20_run14,0.855263157894737,2
12,top5_combined_reward,3,N12_A08_block_interleaved_quarters,probe60_run08,0.8052631578947369,3
12,top5_combined_reward,4,S3B20_N12_B01_surrogate_top,batch20_run14,0.7078947368421054,4
12,top5_combined_reward,5,N12_A04_method_c_u2_first_engineering,probe60_run08,0.6894736842105263,5
12,worst3_u2,1,N12_A05_center_out,probe60_run08,0.0001583552163992863,18
