dataset_source,n,strategy_name,handoff_strategy_name,job_name,candidate_id,candidate_family,selection_bucket,predicted_reward_mean_all,predicted_rank_within_n,predicted_uncertainty_std,novelty_distance_to_teacher,nearest_existing_teacher_strategy,order_json,u2_range,peeq_max,surface_t_proxy,surface_t_proxy_mpa,mises_max,teacher_validation_status,final_step,final_frame_time,extracted_fields,previous_reward_mean_all,u2_rank_combined80_within_n,u2_score_combined80_rank,u2_cost_minmax_combined80_within_n,peeq_rank_combined80_within_n,peeq_score_combined80_rank,peeq_cost_minmax_combined80_within_n,surfaceT_rank_combined80_within_n,surfaceT_score_combined80_rank,surfaceT_cost_minmax_combined80_within_n,mises_rank_combined80_within_n,mises_score_combined80_rank,mises_cost_minmax_combined80_within_n,reward_combined80_u2_primary,combined80_constrained_rank_within_n,combined80_pareto_flag_u2_peeq,combined80_pareto_flag_u2_peeq_surfaceT_mises,is_new_best_u2_within_n,is_new_best_peeq_within_n,is_new_best_surfaceT_within_n,is_new_best_combined_reward_within_n,original_run12_candidate_id,u2_rank_batch20_within_n,u2_cost_minmax_batch20_within_n,u2_score_batch20_rank,peeq_rank_batch20_within_n,peeq_cost_minmax_batch20_within_n,peeq_score_batch20_rank,surfaceT_rank_batch20_within_n,surfaceT_cost_minmax_batch20_within_n,surfaceT_score_batch20_rank,mises_rank_batch20_within_n,mises_cost_minmax_batch20_within_n,mises_score_batch20_rank,reward_batch20_u2_primary,batch20_constrained_rank_within_n,batch20_pareto_flag_u2_peeq,batch20_pareto_flag_u2_peeq_surfaceT_mises
probe60_run08,12,N12_A01_raster_left_to_right,,J2D_N12_N12_A01_raster_left_to_right,N12_A01,raster,,nan,nan,nan,nan,,"[0,1,2,3,4,5,6,7,8,9,10,11]",0.0001314298706347472,0.172713503241539,585930688.0,585.930688,579938304.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.09214285714285717,18.0,0.10526315789473684,0.8005559020052946,19.0,0.052631578947368474,0.9253590101392108,20.0,0.0,1.0,6.0,0.736842105263158,0.2,0.11578947368421055,20,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,12,N12_A02_odd_even_interlaced,,J2D_N12_N12_A02_odd_even_interlaced,N12_A02,odd_even,,nan,nan,nan,nan,,"[0,2,4,6,8,10,1,3,5,7,9,11]",4.044348497700412e-05,0.14851008355617523,585297728.0,585.297728,579939584.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.8042857142857143,6.0,0.736842105263158,0.1265925005322361,7.0,0.6842105263157895,0.2339174440572509,17.0,0.1578947368421053,0.8777563532087412,17.0,0.1578947368421053,1.0,0.6394736842105264,7,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,12,N12_A03_greedy_maximin_distance,,J2D_N12_N12_A03_greedy_maximin_distance,N12_A03,maximin,,nan,nan,nan,nan,,"[0,11,5,8,2,1,3,4,6,7,9,10]",8.175894481610158e-05,0.16098161041736603,585035712.0,585.035712,579939584.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.4257142857142857,13.0,0.368421052631579,0.43262848212759913,15.0,0.26315789473684215,0.5902031332877555,16.0,0.21052631578947367,0.8271531691881736,17.0,0.1578947368421053,1.0,0.3210526315789474,15,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,12,N12_A04_method_c_u2_first_engineering,,J2D_N12_N12_A04_method_c_u2_first_engineering,N12_A04,method_c,,nan,nan,nan,nan,,"[0,2,4,6,8,10,5,3,1,7,9,11]",4.4116221033618785e-05,0.1464761346578598,581743296.0,581.743296,579939584.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.8357142857142857,7.0,0.6842105263157895,0.15379755618462665,4.0,0.8421052631578947,0.1758117371007936,7.0,0.6842105263157895,0.19128844062098288,17.0,0.1578947368421053,1.0,0.6894736842105263,5,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,12,N12_A05_center_out,,J2D_N12_N12_A05_center_out,N12_A05,center_out,,nan,nan,nan,nan,,"[5,6,4,7,3,8,2,9,1,10,0,11]",0.0001583552163992863,0.16032162308692932,580972800.0,580.9728,579938048.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.13285714285714287,20.0,0.0,1.0,14.0,0.3157894736842105,0.5713486623376292,3.0,0.8947368421052632,0.04248244833382775,2.5,0.9210526315789473,0.04,0.1986842105263158,18,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,12,N12_A06_edge_in_alternating,,J2D_N12_N12_A06_edge_in_alternating,N12_A06,edge_in,,nan,nan,nan,nan,,"[0,11,1,10,2,9,3,8,4,7,5,6]",0.00010128901044481609,0.17532625794410706,580798976.0,580.798976,579937984.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.2371428571428571,16.0,0.21052631578947367,0.5772935258807723,20.0,0.0,1.0,2.0,0.9473684210526316,0.008911796697320281,1.0,1.0,0.0,0.2815789473684211,16,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,12,N12_A07_regular_jump_coprime,,J2D_N12_N12_A07_regular_jump_coprime,N12_A07,regular_jump,,nan,nan,nan,nan,,"[0,5,10,3,8,1,6,11,4,9,2,7]",6.379491514962865e-05,0.15351411700248718,581880128.0,581.880128,579938432.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.6928571428571428,9.0,0.5789473684210527,0.29956353564515037,9.0,0.5789473684210527,0.37687231439471663,9.0,0.5789473684210527,0.21771482250568575,10.0,0.5263157894736843,0.28,0.5763157894736842,10,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,12,N12_A08_block_interleaved_quarters,,J2D_N12_N12_A08_block_interleaved_quarters,N12_A08,block_interleaved,,nan,nan,nan,nan,,"[0,3,6,9,1,4,7,10,2,5,8,11]",3.6826456380367745e-05,0.14324450492858887,582462656.0,582.462656,579939584.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.9042857142857142,3.0,0.8947368421052632,0.0998000867156871,3.0,0.8947368421052632,0.08349076964860555,13.0,0.368421052631579,0.33021853060417283,17.0,0.1578947368421053,1.0,0.8052631578947369,3,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,12,N12_A09_center_edge_alternating,,J2D_N12_N12_A09_center_edge_alternating,N12_A09,center_edge,,nan,nan,nan,nan,,"[5,0,6,11,4,1,7,10,3,2,8,9]",0.00010808459228428546,0.1680927276611328,580752832.0,580.752832,579938304.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.2235714285714286,17.0,0.1578947368421053,0.6276304352811026,18.0,0.10526315789473684,0.793353023160379,1.0,1.0,0.0,6.0,0.736842105263158,0.2,0.2605263157894737,17,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,12,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,,J2D_N12_N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,N12_A10,graph_pointer_proxy,,nan,nan,nan,nan,,"[0,11,2,5,4,8,6,1,10,3,7,9]",5.570924804487731e-05,0.15651747584342957,583114560.0,583.11456,579938304.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.69,8.0,0.631578947368421,0.2396705784109131,10.0,0.5263157894736843,0.4626720554016904,15.0,0.26315789473684215,0.45612083456936614,6.0,0.736842105263158,0.2,0.5789473684210527,9,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
