n,dataset,count,family_counts_json,bucket_counts_json,pred_reward_ET_F01_mean,pred_reward_model_mean,pred_reward_max,pred_reward_min,novelty_mean,uncertainty_mean,disagreement_mean
12,unscored,800,"{""block_interleaved"": 1, ""center_edge"": 1, ""center_out"": 1, ""combined108_seed_mutation"": 72, ""diversity_random"": 27, ""edge_in"": 1, ""geometry_signal_center_bias"": 1, ""geometry_signal_edge_bias"": 1, ""geometry_signal_high_jump"": 27, ""geometry_signal_parity_switch"": 26, ""known_best_mutation"": 554, ""maximin"": 1, ""method_c_inspired"": 5, ""negative_control_low_adjacent"": 26, ""odd_even"": 1, ""raster"": 2, ""teacher_best_local_search"": 53}","{"""": 800}",nan,nan,,,0.20335227272727274,nan,nan
12,scored,800,"{""block_interleaved"": 1, ""center_edge"": 1, ""center_out"": 1, ""combined108_seed_mutation"": 72, ""diversity_random"": 27, ""edge_in"": 1, ""geometry_signal_center_bias"": 1, ""geometry_signal_edge_bias"": 1, ""geometry_signal_high_jump"": 27, ""geometry_signal_parity_switch"": 26, ""known_best_mutation"": 554, ""maximin"": 1, ""method_c_inspired"": 5, ""negative_control_low_adjacent"": 26, ""odd_even"": 1, ""raster"": 2, ""teacher_best_local_search"": 53}","{"""": 800}",0.45817858514754806,0.25639034625972545,0.7810377734675663,0.10372371421755146,0.20335227272727274,0.13005466007732802,0.10764765153590722
12,shortlist64,8,"{""combined108_seed_mutation"": 1, ""known_best_mutation"": 5, ""negative_control_low_adjacent"": 1, ""teacher_best_local_search"": 1}","{""diversity_coverage"": 1, ""exploitation_reference"": 1, ""model_disagreement"": 1, ""sentinel_control"": 1, ""top_region_local_search"": 2, ""tradeoff_probe"": 1, ""uncertainty_calibration"": 1}",0.5895102062877131,0.30081656754362845,0.7810377734675663,0.31766212013777184,0.17803030303030304,0.09738765560850306,0.14893119114355208
12,batch32,4,"{""combined108_seed_mutation"": 1, ""known_best_mutation"": 3}","{""diversity_coverage"": 1, ""model_disagreement"": 1, ""top_region_local_search"": 1, ""uncertainty_calibration"": 1}",0.6101078537220391,0.3156299487247565,0.7810377734675663,0.3994155350869574,0.14015151515151517,0.1188648425303537,0.1522802800571071
16,unscored,958,"{""block_interleaved"": 1, ""center_edge"": 1, ""center_out"": 1, ""combined108_seed_mutation"": 106, ""edge_in"": 1, ""known_best_mutation"": 707, ""maximin"": 1, ""method_c_inspired"": 5, ""odd_even"": 1, ""raster"": 2, ""teacher_best_local_search"": 132}","{"""": 958}",nan,nan,,,0.14295407098121085,nan,nan
16,scored,958,"{""block_interleaved"": 1, ""center_edge"": 1, ""center_out"": 1, ""combined108_seed_mutation"": 106, ""edge_in"": 1, ""known_best_mutation"": 707, ""maximin"": 1, ""method_c_inspired"": 5, ""odd_even"": 1, ""raster"": 2, ""teacher_best_local_search"": 132}","{"""": 958}",0.5159861935010425,0.27350450875678767,0.7736652773863834,0.1008513387536997,0.14295407098121085,0.12401070736190133,0.12532554020906791
16,shortlist64,8,"{""combined108_seed_mutation"": 1, ""known_best_mutation"": 6, ""teacher_best_local_search"": 1}","{""diversity_coverage"": 1, ""exploitation_reference"": 1, ""model_disagreement"": 1, ""sentinel_control"": 1, ""top_region_local_search"": 2, ""tradeoff_probe"": 1, ""uncertainty_calibration"": 1}",0.5923782655548937,0.3004294926149055,0.7736652773863834,0.27372270012636585,0.2125,0.10532651414000818,0.14938661487488755
16,batch32,4,"{""known_best_mutation"": 3, ""teacher_best_local_search"": 1}","{""diversity_coverage"": 1, ""model_disagreement"": 1, ""top_region_local_search"": 1, ""uncertainty_calibration"": 1}",0.627503228225721,0.3194974357541069,0.7714557205189702,0.46498090949423027,0.20833333333333334,0.14067120785170684,0.15802035460074046
24,unscored,2893,"{""block_interleaved"": 1, ""center_edge"": 1, ""center_out"": 1, ""edge_in"": 1, ""known_best_mutation"": 2590, ""maximin"": 1, ""method_c_inspired"": 5, ""odd_even"": 1, ""raster"": 2, ""teacher_best_local_search"": 290}","{"""": 2893}",nan,nan,,,0.13277927230646688,nan,nan
24,scored,2893,"{""block_interleaved"": 1, ""center_edge"": 1, ""center_out"": 1, ""edge_in"": 1, ""known_best_mutation"": 2590, ""maximin"": 1, ""method_c_inspired"": 5, ""odd_even"": 1, ""raster"": 2, ""teacher_best_local_search"": 290}","{"""": 2893}",0.5338338052776621,0.28052990992402765,0.760532451260521,0.11378841214382834,0.13277927230646688,0.1202584456075435,0.13086116638401765
24,shortlist64,24,"{""known_best_mutation"": 22, ""teacher_best_local_search"": 2}","{""diversity_coverage"": 4, ""exploitation_reference"": 2, ""model_disagreement"": 4, ""sentinel_control"": 2, ""top_region_local_search"": 5, ""tradeoff_probe"": 3, ""uncertainty_calibration"": 4}",0.6178025418235368,0.31556823466430056,0.760532451260521,0.3108854287650995,0.1490036231884058,0.11798186828556562,0.15414819132565186
24,batch32,12,"{""known_best_mutation"": 10, ""teacher_best_local_search"": 2}","{""batch_fill"": 5, ""diversity_coverage"": 1, ""exploitation_reference"": 1, ""model_disagreement"": 1, ""sentinel_control"": 1, ""top_region_local_search"": 1, ""tradeoff_probe"": 1, ""uncertainty_calibration"": 1}",0.5915357789682224,0.3095173137968603,0.760532451260521,0.37418586719321495,0.23097826086956522,0.12527132932346932,0.1453335724794958
40,unscored,3000,"{""block_interleaved"": 1, ""center_edge"": 1, ""center_out"": 1, ""diversity_random"": 85, ""edge_in"": 1, ""geometry_signal_center_bias"": 86, ""geometry_signal_edge_bias"": 85, ""geometry_signal_edge_center"": 1, ""geometry_signal_high_jump"": 85, ""geometry_signal_parity_switch"": 85, ""known_best_mutation"": 2113, ""maximin"": 1, ""method_c_inspired"": 5, ""negative_control_low_adjacent"": 84, ""odd_even"": 1, ""raster"": 2, ""teacher_best_local_search"": 350, ""top_region_crossover"": 13}","{"""": 3000}",nan,nan,,,0.13434401709401708,nan,nan
40,scored,3000,"{""block_interleaved"": 1, ""center_edge"": 1, ""center_out"": 1, ""diversity_random"": 85, ""edge_in"": 1, ""geometry_signal_center_bias"": 86, ""geometry_signal_edge_bias"": 85, ""geometry_signal_edge_center"": 1, ""geometry_signal_high_jump"": 85, ""geometry_signal_parity_switch"": 85, ""known_best_mutation"": 2113, ""maximin"": 1, ""method_c_inspired"": 5, ""negative_control_low_adjacent"": 84, ""odd_even"": 1, ""raster"": 2, ""teacher_best_local_search"": 350, ""top_region_crossover"": 13}","{"""": 3000}",0.5386170966885374,0.2816721102539968,0.7793373847495568,0.11712826691050099,0.13434401709401708,0.09307146784094301,0.1334510535318662
40,shortlist64,24,"{""diversity_random"": 1, ""geometry_signal_center_bias"": 1, ""geometry_signal_parity_switch"": 3, ""known_best_mutation"": 17, ""teacher_best_local_search"": 2}","{""diversity_coverage"": 4, ""exploitation_reference"": 2, ""model_disagreement"": 4, ""sentinel_control"": 2, ""top_region_local_search"": 5, ""tradeoff_probe"": 3, ""uncertainty_calibration"": 4}",0.5425244645370185,0.2878287928182239,0.7793373847495568,0.25722255600783517,0.27291666666666664,0.09596633736468908,0.1360334061364489
40,batch32,12,"{""geometry_signal_center_bias"": 1, ""geometry_signal_parity_switch"": 2, ""known_best_mutation"": 8, ""teacher_best_local_search"": 1}","{""batch_fill"": 5, ""diversity_coverage"": 1, ""exploitation_reference"": 1, ""model_disagreement"": 1, ""sentinel_control"": 1, ""top_region_local_search"": 1, ""tradeoff_probe"": 1, ""uncertainty_calibration"": 1}",0.5796160006010658,0.30094354778667787,0.7793373847495568,0.25722255600783517,0.2625,0.08244160397205483,0.14646002177332618
