n,order_hash,candidate_source,selection_bucket,generation_method,seed_strategy,first_track_norm,last_track_norm,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,jump_entropy,early_center_bias,late_center_bias,edge_early_count,center_early_count,max_unvisited_gap_proxy_mean_norm,max_unvisited_gap_proxy_max_norm,candidate_id,strategy_name,order_json,order_compact,novelty_distance_to_combined108,nearest_combined108_strategy,novelty_distance_to_run24_shortlist64,nearest_run24_shortlist64_strategy,duplicate_of_combined108_teacher,duplicate_of_run23_or_run24,gnn_reward_pred,extra_trees_F01_pred,gnn_vs_ET_disagreement,selection_score,selection_rank_within_n,gnn_reward_rank_within_n,batch32_rank_within_n
12,dd32b9a090b4b2f9,graph_pointer_greedy,gnn_policy_top_predicted,greedy_decode,,0.0,0.9090909090909091,0.2975206611570248,1.0,4,3,0.5454545454545454,0.6,4,1.4681399390112087,0.6969696969696969,0.5757575757575758,2,1,0.3125,0.9166666666666666,R26_N12_C00001,N12_R26_N12_C00001_gnn_policy_top_predicted,"[0,11,5,6,8,2,1,3,4,7,9,10]",0-11-5-6-8-2-1-3-4-7-9-10,0.07575757575757576,N12_A03_greedy_maximin_distance,0.4090909090909091,S3R24L64_N12_B02_top_region,False,False,0.3156188726425171,0.35605236061876644,0.04043348797624935,0.25023644679296436,563,366,1
12,481b03e43845eb89,graph_pointer_beam_search,gnn_policy_beam_search,beam_6,,0.0,1.0,0.2892561983471074,0.8181818181818182,2,2,0.45454545454545453,0.6,4,1.6417347121815211,0.5757575757575758,0.5757575757575758,1,2,0.3055555555555555,0.9166666666666666,R26_N12_C00008,N12_R26_N12_C00008_gnn_policy_beam_search,"[0,3,4,6,8,2,1,10,7,5,9,11]",0-3-4-6-8-2-1-10-7-5-9-11,0.16666666666666666,N12_A02_odd_even_interlaced,0.13636363636363635,S3R24L64_N12_B02_top_region,False,False,0.37300658226013184,0.4113254500840012,0.03831886782386934,0.3078495446537799,293,244,2
12,56dfff8acc81e91c,graph_pointer_temperature_sampled,gnn_policy_temperature_diverse,temp_1.25_topk_None,,0.18181818181818182,0.45454545454545453,0.45454545454545453,0.9090909090909091,1,5,0.09090909090909091,0.3,7,1.6726254461443206,0.5151515151515151,0.3333333333333333,2,1,0.20833333333333334,0.75,R26_N12_C00017,N12_R26_N12_C00017_gnn_policy_temperature_diverse,"[2,10,6,4,8,0,1,11,3,9,7,5]",2-10-6-4-8-0-1-11-3-9-7-5,0.22727272727272727,S3B20_N12_B01_surrogate_top,0.30303030303030304,S3R24L64_N12_B02_top_region,False,False,0.5239917039871216,0.575586662435371,0.05159495844824946,0.4303069737024179,74,96,3
12,c28a745f6556c611,gnn_policy_known_best_mutation,gnn_reward_local_search,reverse_segment,S3B20_N12_B04_surrogate_top,0.9090909090909091,1.0,0.2892561983471074,0.9090909090909091,1,2,0.09090909090909091,0.7,3,0.8855741515726718,0.7575757575757577,0.6363636363636364,2,1,0.2777777777777778,0.8333333333333334,R26_N12_C00204,N12_R26_N12_C00204_gnn_reward_local_search,"[10,0,8,6,4,2,1,3,5,7,9,11]",10-0-8-6-4-2-1-3-5-7-9-11,0.015151515151515152,S3B20_N12_B04_surrogate_top,0.06060606060606061,S3R24L64_N12_B04_uncertainty_calibration,False,False,0.8233550786972046,0.7573236753311959,0.06603140336600866,0.5694741476134451,2,2,4
16,d858082065cf34a4,graph_pointer_beam_search,gnn_policy_beam_search,beam_0,,0.0,1.0,0.16444444444444445,0.7333333333333333,2,1,0.2,0.8571428571428571,2,0.6277052571941504,0.6,0.7666666666666666,2,2,0.328125,0.9375,R26_N16_C00001,N16_R26_N16_C00001_gnn_policy_beam_search,"[0,2,4,6,8,10,12,1,3,5,7,9,11,13,14,15]",0-2-4-6-8-10-12-1-3-5-7-9-11-13-14-15,0.058333333333333334,N16_A02_odd_even_interlaced,0.125,S3R24L64_N16_B08_exploitation_reference,False,False,0.5601410269737244,0.56301903729712,0.00287801032339563,0.4047726891614622,218,190,1
16,b92526019805231e,graph_pointer_temperature_sampled,gnn_policy_temperature_diverse,temp_1.6_topk_4,,0.13333333333333333,1.0,0.30666666666666664,0.9333333333333333,1,4,0.06666666666666667,0.42857142857142855,8,1.5519014979377441,0.36666666666666664,0.5,1,3,0.2109375,0.8125,R26_N16_C00078,N16_R26_N16_C00078_gnn_policy_temperature_diverse,"[2,4,8,6,12,10,14,0,1,9,11,13,5,3,7,15]",2-4-8-6-12-10-14-0-1-9-11-13-5-3-7-15,0.1,S3R19B28_N16_B02_u2_primary_top,0.10833333333333334,S3R24L64_N16_B08_exploitation_reference,False,False,0.5621309280395508,0.6766211814497105,0.11449025341015973,0.4535632383212415,162,183,2
16,f7b4d557dedaedfd,gnn_policy_known_best_mutation,gnn_reward_local_search,swap_mutation,S3R19B28_N16_B04_method_c_inspired,0.8,1.0,0.30666666666666664,0.9333333333333333,1,4,0.06666666666666667,0.6428571428571429,5,1.506595088124638,0.5,0.5666666666666667,2,2,0.1953125,0.75,R26_N16_C00260,N16_R26_N16_C00260_gnn_reward_local_search,"[12,2,4,6,8,14,0,10,9,1,3,5,7,11,13,15]",12-2-4-6-8-14-0-10-9-1-3-5-7-11-13-15,0.09166666666666666,S3R19B28_N16_B02_u2_primary_top,0.1,S3R24L64_N16_B08_exploitation_reference,False,False,0.7863748073577881,0.7176146279977484,0.06876017936003964,0.558481671579779,3,3,3
16,d977ca830c4048f4,gnn_policy_known_best_mutation,known_best_neighborhood,swap_mutation,S3R19B28_N16_B04_method_c_inspired,0.9333333333333333,1.0,0.28,0.8,1,4,0.06666666666666667,0.6428571428571429,5,1.2048762065461596,0.5666666666666667,0.5666666666666667,2,2,0.2421875,0.875,R26_N16_C00276,N16_R26_N16_C00276_known_best_neighborhood,"[14,2,4,6,8,0,12,10,9,1,3,5,7,11,13,15]",14-2-4-6-8-0-12-10-9-1-3-5-7-11-13-15,0.075,S3R19B28_N16_B04_method_c_inspired,0.1,S3R24L64_N16_B03_model_disagreement,False,False,0.8235770463943481,0.7359498837745799,0.08762716261976822,0.5783598580830784,1,1,4
24,37d3d9ce7a14c37c,graph_pointer_beam_search,gnn_policy_beam_search,beam_3,,0.0,0.9565217391304348,0.11720226843100189,0.8260869565217391,1,1,0.08695652173913043,0.8636363636363636,3,0.355712859743894,0.5652173913043478,0.6956521739130435,3,3,0.3055555555555555,0.9583333333333334,R26_N24_C00004,N24_R26_N24_C00004_gnn_policy_beam_search,"[0,2,4,6,8,10,12,14,16,18,20,1,3,5,7,9,11,13,15,17,19,21,23,22]",0-2-4-6-8-10-12-14-16-18-20-1-3-5-7-9-11-13-15-17-19-21-23-22,0.043478260869565216,N24_A02_odd_even_interlaced,0.06159420289855073,S3R24L64_N24_B23_exploitation_reference,False,False,0.6366144418716431,0.7525730171979078,0.11595857532626475,0.4949112628482559,96,335,1
24,bc8cfb982478ffe8,graph_pointer_temperature_sampled,gnn_policy_temperature_diverse,temp_0.65_topk_6,,0.0,0.9565217391304348,0.24196597353497165,0.9130434782608695,3,3,0.34782608695652173,0.6363636363636364,8,2.1361188464557306,0.6231884057971014,0.5072463768115942,3,3,0.234375,0.9583333333333334,R26_N24_C00069,N24_R26_N24_C00069_gnn_policy_temperature_diverse,"[0,21,23,15,10,6,8,18,14,2,4,5,20,12,13,11,1,3,7,9,16,17,19,22]",0-21-23-15-10-6-8-18-14-2-4-5-20-12-13-11-1-3-7-9-16-17-19-22,0.36231884057971014,N24_A10_graph_pointer_policy_zero_shot_or_proxy_best,0.35507246376811596,S3R24L64_N24_B04_top_region,False,False,0.4004419445991516,0.39177385066086906,0.00866809393828255,0.3514729152446058,1034,1172,2
