n,category,position,strategy_name,dataset_source,value,selection_bucket,priority_role
12,top5_u2,1,S3R24L64_N12_B05_diversity_coverage,shortlist64_run27,3.9774539800419006e-05,diversity_coverage,top_region_local_search
12,top5_u2,2,S3R24L64_N12_B01_top_region,shortlist64_run27,3.981756117354962e-05,top_region_local_search,top_region_local_search
12,top5_u2,3,S3R24L64_N12_B08_exploitation_reference,shortlist64_run27,4.4157836555314134e-05,exploitation_reference,diversity
12,top5_u2,4,S3R24L64_N12_B04_uncertainty_calibration,shortlist64_run27,4.548148990579648e-05,uncertainty_calibration,model_disagreement
12,top5_u2,5,S3R24L64_N12_B02_top_region,shortlist64_run27,4.7434456064365804e-05,top_region_local_search,top_region_local_search
12,top5_peeq,1,S3R24L64_N12_B08_exploitation_reference,shortlist64_run27,0.1451154500246048,exploitation_reference,diversity
12,top5_peeq,2,S3R24L64_N12_B01_top_region,shortlist64_run27,0.14761199057102203,top_region_local_search,top_region_local_search
12,top5_peeq,3,S3R24L64_N12_B03_model_disagreement,shortlist64_run27,0.14844942092895508,model_disagreement,top_region_local_search
12,top5_peeq,4,S3R24L64_N12_B02_top_region,shortlist64_run27,0.14851117134094238,top_region_local_search,top_region_local_search
12,top5_peeq,5,S3R24L64_N12_B05_diversity_coverage,shortlist64_run27,0.15218588709831238,diversity_coverage,top_region_local_search
12,top5_surfaceT,1,S3R24L64_N12_B08_exploitation_reference,shortlist64_run27,581017728.0,exploitation_reference,diversity
12,top5_surfaceT,2,S3R24L64_N12_B01_top_region,shortlist64_run27,581054144.0,top_region_local_search,top_region_local_search
12,top5_surfaceT,3,S3R24L64_N12_B04_uncertainty_calibration,shortlist64_run27,581128832.0,uncertainty_calibration,model_disagreement
12,top5_surfaceT,4,S3R24L64_N12_B03_model_disagreement,shortlist64_run27,581267264.0,model_disagreement,top_region_local_search
12,top5_surfaceT,5,S3R24L64_N12_B06_tradeoff_probe,shortlist64_run27,582663488.0,tradeoff_probe,model_disagreement
12,top5_mises,1,S3R24L64_N12_B06_tradeoff_probe,shortlist64_run27,579938304.0,tradeoff_probe,model_disagreement
12,top5_mises,2,S3R24L64_N12_B07_sentinel_control,shortlist64_run27,579938304.0,sentinel_control,sentinel
12,top5_mises,3,S3R24L64_N12_B01_top_region,shortlist64_run27,579938560.0,top_region_local_search,top_region_local_search
12,top5_mises,4,S3R24L64_N12_B08_exploitation_reference,shortlist64_run27,579939456.0,exploitation_reference,diversity
12,top5_mises,5,S3R24L64_N12_B04_uncertainty_calibration,shortlist64_run27,579939520.0,uncertainty_calibration,model_disagreement
12,top5_reward_run27_u2_primary,1,S3R24L64_N12_B01_top_region,shortlist64_run27,0.8500000000000001,top_region_local_search,top_region_local_search
12,top5_reward_run27_u2_primary,2,S3R24L64_N12_B08_exploitation_reference,shortlist64_run27,0.7928571428571429,exploitation_reference,diversity
12,top5_reward_run27_u2_primary,3,S3R24L64_N12_B05_diversity_coverage,shortlist64_run27,0.7607142857142857,diversity_coverage,top_region_local_search
12,top5_reward_run27_u2_primary,4,S3R24L64_N12_B04_uncertainty_calibration,shortlist64_run27,0.5214285714285715,uncertainty_calibration,model_disagreement
12,top5_reward_run27_u2_primary,5,S3R24L64_N12_B02_top_region,shortlist64_run27,0.4035714285714286,top_region_local_search,top_region_local_search
16,top5_u2,1,S3R24L64_N16_B02_top_region,shortlist64_run27,4.0733349123911466e-05,top_region_local_search,top_region_local_search
16,top5_u2,2,S3R24L64_N16_B08_exploitation_reference,shortlist64_run27,4.2947722249664366e-05,exploitation_reference,diversity
16,top5_u2,3,S3R24L64_N16_B04_uncertainty_calibration,shortlist64_run27,4.950354787069955e-05,uncertainty_calibration,tradeoff
16,top5_u2,4,S3R24L64_N16_B01_top_region,shortlist64_run27,5.932159001531545e-05,top_region_local_search,top_region_local_search
16,top5_u2,5,S3R24L64_N16_B03_model_disagreement,shortlist64_run27,7.121505268514738e-05,model_disagreement,diversity
16,top5_peeq,1,S3R24L64_N16_B03_model_disagreement,shortlist64_run27,0.14964671432971954,model_disagreement,diversity
16,top5_peeq,2,S3R24L64_N16_B04_uncertainty_calibration,shortlist64_run27,0.15129896998405457,uncertainty_calibration,tradeoff
16,top5_peeq,3,S3R24L64_N16_B02_top_region,shortlist64_run27,0.1522163301706314,top_region_local_search,top_region_local_search
16,top5_peeq,4,S3R24L64_N16_B08_exploitation_reference,shortlist64_run27,0.15227410197257996,exploitation_reference,diversity
16,top5_peeq,5,S3R24L64_N16_B01_top_region,shortlist64_run27,0.15644168853759766,top_region_local_search,top_region_local_search
16,top5_surfaceT,1,S3R24L64_N16_B03_model_disagreement,shortlist64_run27,581315072.0,model_disagreement,diversity
16,top5_surfaceT,2,S3R24L64_N16_B02_top_region,shortlist64_run27,581438784.0,top_region_local_search,top_region_local_search
16,top5_surfaceT,3,S3R24L64_N16_B07_sentinel_control,shortlist64_run27,581490432.0,sentinel_control,uncertainty
16,top5_surfaceT,4,S3R24L64_N16_B08_exploitation_reference,shortlist64_run27,581874176.0,exploitation_reference,diversity
16,top5_surfaceT,5,S3R24L64_N16_B06_tradeoff_probe,shortlist64_run27,582733120.0,tradeoff_probe,diversity
16,top5_mises,1,S3R24L64_N16_B06_tradeoff_probe,shortlist64_run27,579947136.0,tradeoff_probe,diversity
16,top5_mises,2,S3R24L64_N16_B07_sentinel_control,shortlist64_run27,579947904.0,sentinel_control,uncertainty
