n,metric,combined108_best_strategy,combined108_best_source,combined108_best_value,run27_best_strategy,run27_best_value,run27_beats_combined108_best,absolute_improvement_lower_is_better,relative_improvement_pct,combined172_best_strategy,combined172_best_source,combined172_best_value,absolute_improvement_higher_is_better
12,u2,S3B20_N12_B02_diversity_top,batch20_run14,2.3353248252533376e-05,S3R24L64_N12_B05_diversity_coverage,3.9774539800419006e-05,False,-1.642129154788563e-05,-70.31694850460144,S3B20_N12_B02_diversity_top,batch20_run14,2.3353248252533376e-05,
12,peeq,N12_A13_graph_pointer_policy_anti_odd_even_novelty,probe60_run08,0.14032196998596191,S3R24L64_N12_B08_exploitation_reference,0.1451154500246048,False,-0.004793480038642883,-3.4160581120137015,N12_A13_graph_pointer_policy_anti_odd_even_novelty,probe60_run08,0.14032196998596191,
12,surfaceT,N12_A09_center_edge_alternating,probe60_run08,580752832.0,S3R24L64_N12_B08_exploitation_reference,581017728.0,False,-264896.0,-0.04561251971647725,N12_A09_center_edge_alternating,probe60_run08,580752832.0,
12,mises,N12_A06_edge_in_alternating,probe60_run08,579937984.0,S3R24L64_N12_B06_tradeoff_probe,579938304.0,False,-320.0,-5.517831368672689e-05,N12_A06_edge_in_alternating,probe60_run08,579937984.0,
12,combined_reward,S3B20_N12_B02_diversity_top,batch20_run14,0.8564516129032259,S3R24L64_N12_B01_top_region,0.7370967741935485,False,,-13.93596986817326,S3B20_N12_B02_diversity_top,batch20_run14,0.8564516129032259,-0.11935483870967745
16,u2,S3R19B28_N16_B04_method_c_inspired,batch28_run20,4.279385166228167e-05,S3R24L64_N16_B02_top_region,4.0733349123911466e-05,True,2.0605025383702014e-06,4.814949948023305,S3R24L64_N16_B02_top_region,shortlist64_run27,4.0733349123911466e-05,
16,peeq,S3B20_N16_B04_surrogate_top,batch20_run14,0.1489115208387375,S3R24L64_N16_B03_model_disagreement,0.14964671432971954,False,-0.0007351934909820557,-0.4937116260992509,S3B20_N16_B04_surrogate_top,batch20_run14,0.1489115208387375,
16,surfaceT,N16_A09_center_edge_alternating,probe60_run08,580899648.0,S3R24L64_N16_B03_model_disagreement,581315072.0,False,-415424.0,-0.07151390114114857,N16_A09_center_edge_alternating,probe60_run08,580899648.0,
16,mises,N16_A07_regular_jump_coprime,probe60_run08,579946752.0,S3R24L64_N16_B06_tradeoff_probe,579947136.0,False,-384.0,-6.621297535950335e-05,N16_A07_regular_jump_coprime,probe60_run08,579946752.0,
16,combined_reward,S3B20_N16_B04_surrogate_top,batch20_run14,0.8379032258064516,S3R24L64_N16_B02_top_region,0.8733870967741937,True,,4.234841193455264,S3R24L64_N16_B02_top_region,shortlist64_run27,0.8733870967741937,0.03548387096774208
24,u2,S3R19B28_N24_B10_known_best_mutation,batch28_run20,4.000997159891995e-05,S3R24L64_N24_B20_tradeoff_probe,5.346994021238061e-05,False,-1.345996861346066e-05,-33.64153503629082,S3R19B28_N24_B10_known_best_mutation,batch28_run20,4.000997159891995e-05,
24,peeq,S3R19B28_N24_B07_control_sentinel,batch28_run20,0.14928853511810303,S3R24L64_N24_B22_sentinel_control,0.15257473289966583,False,-0.003286197781562805,-2.201239217039055,S3R19B28_N24_B07_control_sentinel,batch28_run20,0.14928853511810303,
24,surfaceT,S3R19B28_N24_B06_uncertainty_calibration,batch28_run20,580991360.0,S3R24L64_N24_B06_model_disagreement,580875968.0,True,115392.0,0.019861224786544156,S3R24L64_N24_B06_model_disagreement,shortlist64_run27,580875968.0,
24,mises,N24_A06_edge_in_alternating,probe60_run08,579942784.0,S3R24L64_N24_B18_tradeoff_probe,579943168.0,False,-384.0,-6.621342839227395e-05,N24_A06_edge_in_alternating,probe60_run08,579942784.0,
24,combined_reward,S3R19B28_N24_B10_known_best_mutation,batch28_run20,0.8377358490566038,S3R24L64_N24_B23_exploitation_reference,0.7981132075471697,False,,-4.729729729729741,S3R19B28_N24_B10_known_best_mutation,batch28_run20,0.8377358490566038,-0.039622641509434064
40,u2,S3R19B28_N40_B01_surrogate_top,batch28_run20,8.087984315352514e-05,S3R24L64_N40_B23_exploitation_reference,5.95808796788333e-05,True,2.1298963474691845e-05,26.334081081564918,S3R24L64_N40_B23_exploitation_reference,shortlist64_run27,5.95808796788333e-05,
40,peeq,S3R19B28_N40_B05_diversity_top,batch28_run20,0.14422382414340973,S3R24L64_N40_B24_exploitation_reference,0.15378627181053162,False,-0.009562447667121887,-6.6302829812732025,S3R19B28_N40_B05_diversity_top,batch28_run20,0.14422382414340973,
40,surfaceT,S3R19B28_N40_B06_uncertainty_calibration,batch28_run20,581119040.0,S3R24L64_N40_B01_top_region,581591424.0,False,-472384.0,-0.08128868054297447,S3R19B28_N40_B06_uncertainty_calibration,batch28_run20,581119040.0,
40,mises,N40_A07_regular_jump_coprime,probe60_run08,579924032.0,S3R24L64_N40_B20_tradeoff_probe,579924800.0,False,-768.0,-0.00013243113884268208,N40_A07_regular_jump_coprime,probe60_run08,579924032.0,
40,combined_reward,N40_A04_method_c_u2_first_engineering,probe60_run08,0.8759433962264151,S3R24L64_N40_B23_exploitation_reference,0.9212264150943397,True,,5.1696284329563795,S3R24L64_N40_B23_exploitation_reference,shortlist64_run27,0.9212264150943397,0.04528301886792452
