run_id,batch_option,batch_name,n,handoff_strategy_name,original_run29_candidate_id,original_run29_strategy_name,candidate_source,generation_method,selection_bucket,priority_role,surrogate_prediction,gnn_reward_prediction,graph_pointer_policy_score,hybrid_score,uncertainty_score,gnn_vs_surrogate_disagreement,novelty_distance_to_combined172,nearest_existing_teacher_strategy,pred_u2_score,pred_peeq_score,pred_surfaceT_score,pred_mises_score,surrogate_rank_within_n,gnn_rank_within_n,hybrid_rank_within_n,batch32_rank_within_n,order_json,order_compact,order_hash,teacher_validated,teacher_validation_status,notes
run_30_run29_hybrid_policy_batch32_handoff_package,hybrid_policy_batch32,stage3_run30_hybrid_policy_batch32_v01,12,S3R30H32_N12_B01_gnn_policy_top,R29_N12_C00001,N12_R29_N12_C00001_gnn_policy_top_candidates,graph_pointer_beam_search,beam_0,gnn_policy_top_candidates,,0.5867957665517006,0.5745956457397334,nan,0.4966555597620348,nan,0.012200120811967197,0.19696969696969696,N12_A01_raster_left_to_right,0.6491423995216983,0.5077667764359778,0.5209629220037466,0.3206297455760863,122.0,54.0,80.0,1.0,"[0,2,4,6,9,5,1,3,7,8,10,11]",0-2-4-6-9-5-1-3-7-8-10-11,f23168f0033f34d8,False,NOT_RUN,Run30 handoff only. Hybrid-policy candidate is not teacher-validated.
run_30_run29_hybrid_policy_batch32_handoff_package,hybrid_policy_batch32,stage3_run30_hybrid_policy_batch32_v01,12,S3R30H32_N12_B02_hybrid_agreement,R29_N12_C00768,N12_R29_N12_C00768_hybrid_gnn_surrogate_agreement,gnn_reward_local_search,edge_center,hybrid_gnn_surrogate_agreement,,0.40354169830000913,0.4689230072099183,nan,0.37686622304654277,nan,0.06538130890990917,0.4090909090909091,N12_A04_method_c_u2_first_engineering,0.3384771341598515,0.4505738385307491,0.33462017267860605,0.6123039756196329,366.0,238.0,276.0,2.0,"[10,4,2,6,9,5,1,7,11,8,0,3]",10-4-2-6-9-5-1-7-11-8-0-3,9a61190aeb21562c,False,NOT_RUN,Run30 handoff only. Hybrid-policy candidate is not teacher-validated.
run_30_run29_hybrid_policy_batch32_handoff_package,hybrid_policy_batch32,stage3_run30_hybrid_policy_batch32_v01,12,S3R30H32_N12_B03_hybrid_disagreement,R29_N12_C00223,N12_R29_N12_C00223_hybrid_gnn_surrogate_disagreement,surrogate_known_best_local_search,block_swap,hybrid_gnn_surrogate_disagreement,,0.572221849632758,0.39623402284768716,nan,0.4593295466188656,nan,0.17598782678507086,0.2727272727272727,N12_A05_center_out,0.5767386073507088,0.5523185111487819,0.6325195347388183,0.37995080353741406,132.0,386.0,139.0,3.0,"[2,5,6,9,1,4,7,10,0,3,8,11]",2-5-6-9-1-4-7-10-0-3-8-11,03a2753a9e1d2d6c,False,NOT_RUN,Run30 handoff only. Hybrid-policy candidate is not teacher-validated.
run_30_run29_hybrid_policy_batch32_handoff_package,hybrid_policy_batch32,stage3_run30_hybrid_policy_batch32_v01,12,S3R30H32_N12_B04_surrogate_local,R29_N12_C00166,N12_R29_N12_C00166_surrogate_known_best_local_search,surrogate_known_best_local_search,swap_mutation,surrogate_known_best_local_search,,0.7260238551026101,0.5976629232565756,nan,0.5639290405332131,nan,0.1283609318460346,0.015151515151515152,S3B20_N12_B04_surrogate_top,0.7316834865218022,0.7241146440381372,0.4435332440187689,0.37560527457081877,6.0,23.0,9.0,4.0,"[0,10,8,6,4,2,1,5,3,7,9,11]",0-10-8-6-4-2-1-5-3-7-9-11,5b93868b817d697c,False,NOT_RUN,Run30 handoff only. Hybrid-policy candidate is not teacher-validated.
run_30_run29_hybrid_policy_batch32_handoff_package,hybrid_policy_batch32,stage3_run30_hybrid_policy_batch32_v01,16,S3R30H32_N16_B01_new_best_local,R29_N16_C00141,N16_R29_N16_C00141_new_best_local_search,N16_new_best_neighborhood,block_swap,new_best_local_search,,0.797533505551895,0.6688548919597503,nan,0.6434248189485643,nan,0.1286786135921446,0.058333333333333334,S3R19B28_N16_B02_u2_primary_top,0.9233099936354723,0.6543335124614797,0.6790935583454105,0.14387611493128766,5.0,3.0,1.0,1.0,"[10,6,4,2,8,12,14,0,1,3,5,7,9,11,13,15]",10-6-4-2-8-12-14-0-1-3-5-7-9-11-13-15,22529512b41ad92c,False,NOT_RUN,Run30 handoff only. Hybrid-policy candidate is not teacher-validated.
run_30_run29_hybrid_policy_batch32_handoff_package,hybrid_policy_batch32,stage3_run30_hybrid_policy_batch32_v01,16,S3R30H32_N16_B02_new_best_local,R29_N16_C00130,N16_R29_N16_C00130_new_best_local_search,N16_new_best_neighborhood,reverse_segment,new_best_local_search,,0.799513666181318,0.6569674433019719,nan,0.6424979723485866,nan,0.14254622287934615,0.08333333333333333,S3R24L64_N16_B02_top_region,0.9057512628619904,0.7042122634477708,0.746049023726188,0.13537804829721808,3.0,12.0,2.0,2.0,"[8,6,4,0,14,12,10,2,1,3,5,7,9,11,13,15]",8-6-4-0-14-12-10-2-1-3-5-7-9-11-13-15,36e7517c3f970497,False,NOT_RUN,Run30 handoff only. Hybrid-policy candidate is not teacher-validated.
run_30_run29_hybrid_policy_batch32_handoff_package,hybrid_policy_batch32,stage3_run30_hybrid_policy_batch32_v01,16,S3R30H32_N16_B03_new_best_local,R29_N16_C00107,N16_R29_N16_C00107_new_best_local_search,N16_new_best_neighborhood,reverse_segment,new_best_local_search,,0.7979498009618685,0.6678771354910539,nan,0.6408528380482598,nan,0.13007266547081464,0.03333333333333333,S3R19B28_N16_B02_u2_primary_top,0.9224202260688941,0.6422756324256974,0.6811860904835909,0.15033680744225644,4.0,4.0,3.0,3.0,"[10,2,4,6,8,12,14,0,1,3,5,7,9,11,13,15]",10-2-4-6-8-12-14-0-1-3-5-7-9-11-13-15,54447f862d3632cf,False,NOT_RUN,Run30 handoff only. Hybrid-policy candidate is not teacher-validated.
run_30_run29_hybrid_policy_batch32_handoff_package,hybrid_policy_batch32,stage3_run30_hybrid_policy_batch32_v01,16,S3R30H32_N16_B04_new_best_local,R29_N16_C00815,N16_R29_N16_C00815_new_best_local_search,N16_new_best_neighborhood,reverse_segment,new_best_local_search,,0.8000286279567099,0.6603150225944078,nan,0.6377981263932595,nan,0.13971360536230215,0.025,S3R19B28_N16_B02_u2_primary_top,0.9082437268382895,0.7143047266627108,0.7379781848113047,0.13297727244299545,2.0,11.0,4.0,4.0,"[8,2,4,6,10,12,14,0,1,3,5,7,9,11,13,15]",8-2-4-6-10-12-14-0-1-3-5-7-9-11-13-15,dd925914dacf0b61,False,NOT_RUN,Run30 handoff only. Hybrid-policy candidate is not teacher-validated.
run_30_run29_hybrid_policy_batch32_handoff_package,hybrid_policy_batch32,stage3_run30_hybrid_policy_batch32_v01,24,S3R30H32_N24_B01_gnn_policy_top,R29_N24_C00003,N24_R29_N24_C00003_gnn_policy_top_candidates,graph_pointer_beam_search,beam_4,gnn_policy_top_candidates,,0.6602372178596033,0.6728327212338315,nan,0.5479289724266905,nan,0.012595503374228212,0.007246376811594203,N24_A02_odd_even_interlaced,0.7576114463720603,0.5959700861459649,0.34566910275811186,0.4645777264697865,734.0,40.0,208.0,1.0,"[0,2,4,6,8,10,12,14,16,18,20,22,1,3,5,7,9,11,13,15,17,21,23,19]",0-2-4-6-8-10-12-14-16-18-20-22-1-3-5-7-9-11-13-15-17-21-23-19,855fe95ef34819e1,False,NOT_RUN,Run30 handoff only. Hybrid-policy candidate is not teacher-validated.
run_30_run29_hybrid_policy_batch32_handoff_package,hybrid_policy_batch32,stage3_run30_hybrid_policy_batch32_v01,24,S3R30H32_N24_B02_gnn_policy_top,R29_N24_C00002,N24_R29_N24_C00002_gnn_policy_top_candidates,graph_pointer_beam_search,beam_2,gnn_policy_top_candidates,,0.6894170530777957,0.6001282479337211,nan,0.5464971506444241,nan,0.08928880514407456,0.03985507246376811,N24_A02_odd_even_interlaced,0.7185591977939421,0.5658812414253026,0.5094542876957165,0.43474778072902476,350.0,687.0,219.0,2.0,"[0,2,4,6,8,10,12,14,16,18,20,22,3,5,7,9,11,13,15,17,19,21,23,1]",0-2-4-6-8-10-12-14-16-18-20-22-3-5-7-9-11-13-15-17-19-21-23-1,118d12b59c9f6409,False,NOT_RUN,Run30 handoff only. Hybrid-policy candidate is not teacher-validated.
