n,strategy_name,handoff_strategy_name,job_name,dataset_source,original_run23_candidate_id,candidate_family,candidate_source,generation_method,selection_bucket,priority_role,order_json,order_compact,order_hash,u2_range,peeq_max,surface_t_proxy,surface_t_proxy_mpa,mises_max,final_step,final_frame_time,extracted_fields,teacher_validation_status,solver_audit_status,completion_status,odb_extraction_status,nonfatal_warning_flag,patched_after_cool_initialInc_failure,pred_reward_ET_F01,pred_reward_Ridge_F03,pred_reward_Ridge_F06,pred_reward_ET_F04,pred_reward_ET_F05,model_prediction_mean,model_prediction_std,pred_uncertainty_ET_F01_std,disagreement_ET_F01_vs_Ridge_F03,disagreement_ET_F01_vs_Ridge_F06,novelty_distance_to_combined108,nearest_existing_teacher_strategy,is_probe60,is_batch20,is_batch28,is_shortlist64_run27,u2_rank_combined172_within_n,target_u2_score_combined172_rank,u2_cost_minmax_combined172_within_n,peeq_rank_combined172_within_n,target_peeq_score_combined172_rank,peeq_cost_minmax_combined172_within_n,surfaceT_rank_combined172_within_n,target_surfaceT_score_combined172_rank,surfaceT_cost_minmax_combined172_within_n,mises_rank_combined172_within_n,target_mises_score_combined172_rank,mises_cost_minmax_combined172_within_n,target_reward_combined172_u2_primary,u2_percentile_combined172_within_n,reward_percentile_combined172_within_n,reward_rank_combined172_within_n,combined172_pareto_flag_u2_peeq,combined172_pareto_flag_u2_peeq_surfaceT_mises,is_new_best_u2_within_n,is_new_best_peeq_within_n,is_new_best_surfaceT_within_n,is_new_best_mises_within_n,is_new_best_combined_reward_within_n,rank_U2_run27_within_n,score_U2_run27_within_n,cost_u2_run27_within_n,rank_PEEQ_run27_within_n,score_PEEQ_run27_within_n,cost_peeq_run27_within_n,rank_SurfaceT_run27_within_n,score_SurfaceT_run27_within_n,cost_surfaceT_run27_within_n,rank_MISES_run27_within_n,score_MISES_run27_within_n,cost_mises_run27_within_n,reward_run27_u2_primary,rank_reward_run27_within_n,metric_semantic_warning,legacy_compatibility_status,peeq_metric_source,mises_metric_source,u2_rank_combined172_plus_N32_within_n,target_u2_score_combined172_plus_N32_rank,u2_cost_minmax_combined172_plus_N32_within_n,peeq_rank_combined172_plus_N32_within_n,target_peeq_score_combined172_plus_N32_rank,peeq_cost_minmax_combined172_plus_N32_within_n,surfaceT_rank_combined172_plus_N32_within_n,target_surfaceT_score_combined172_plus_N32_rank,surfaceT_cost_minmax_combined172_plus_N32_within_n,mises_rank_combined172_plus_N32_within_n,target_mises_score_combined172_plus_N32_rank,mises_cost_minmax_combined172_plus_N32_within_n,target_reward_combined172_plus_N32_mapped_u2_primary,reward_rank_combined172_plus_N32_within_n,legacy_source_category,peeq_metric_semantics,mises_metric_semantics,final_cooling_success,source_file,source_row_index,duplicate_group_id,duplicate_aliases,compatibility_status,mises_source_missing,mises_rank_fill_policy,mises_rank_fill_value,u2_rank_within_n32,target_u2_score_n32_rank,peeq_rank_within_n32,target_peeq_score_n32_rank,surfaceT_rank_within_n32,target_surfaceT_score_n32_rank,mises_rank_within_n32,target_mises_score_n32_rank,target_reward_n32_legacy_mapped_u2_primary,target_reward_n32_strict_u2_surfaceT,reward_n32_legacy_mapped_rank,reward_n32_strict_rank,is_n32_legacy
12,N12_A01_raster_left_to_right,,J2D_N12_N12_A01_raster_left_to_right,probe60_run08,,raster,,,,,"[0,1,2,3,4,5,6,7,8,9,10,11]",,,0.0001314298706347472,0.172713503241539,585930688.0,585.930688,579938304.0,step_final_cooling,1200.0,,PASS_ODB_EXTRACTED,,,,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,True,False,False,False,30.0,0.06451612903225812,0.8005559020052946,31.0,0.032258064516129004,0.9253590101392108,32.0,0.0,1.0,7.0,0.8064516129032258,0.17857142857142858,0.08870967741935487,0.9354838709677419,0.0,32.0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,False,NATIVE_STAGE3,native_stage3_peeq_max,native_stage3_mises_max,30.0,0.06451612903225812,0.8005559020052946,31.0,0.032258064516129004,0.9253590101392108,32.0,0.0,1.0,7.0,0.8064516129032258,0.17857142857142858,0.08870967741935487,32.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,N12_A02_odd_even_interlaced,,J2D_N12_N12_A02_odd_even_interlaced,probe60_run08,,odd_even,,,,,"[0,2,4,6,8,10,1,3,5,7,9,11]",,,4.044348497700412e-05,0.14851008355617523,585297728.0,585.297728,579939584.0,step_final_cooling,1200.0,,PASS_ODB_EXTRACTED,,,,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,True,False,False,False,10.0,0.7096774193548387,0.1265925005322361,14.0,0.5806451612903225,0.2339174440572509,29.0,0.09677419354838712,0.8777563532087412,26.5,0.17741935483870963,0.8928571428571429,0.5959677419354839,0.2903225806451613,0.6607142857142856,13.0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,False,NATIVE_STAGE3,native_stage3_peeq_max,native_stage3_mises_max,10.0,0.7096774193548387,0.1265925005322361,14.0,0.5806451612903225,0.2339174440572509,29.0,0.09677419354838712,0.8777563532087412,26.5,0.17741935483870963,0.8928571428571429,0.5959677419354839,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,N12_A03_greedy_maximin_distance,,J2D_N12_N12_A03_greedy_maximin_distance,probe60_run08,,maximin,,,,,"[0,11,5,8,2,1,3,4,6,7,9,10]",,,8.175894481610158e-05,0.16098161041736603,585035712.0,585.035712,579939584.0,step_final_cooling,1200.0,,PASS_ODB_EXTRACTED,,,,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,True,False,False,False,23.0,0.29032258064516125,0.43262848212759913,25.0,0.22580645161290325,0.5902031332877555,28.0,0.12903225806451613,0.8271531691881736,26.5,0.17741935483870963,0.8928571428571429,0.25564516129032255,0.7096774193548387,0.21743697478991586,26.0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,False,NATIVE_STAGE3,native_stage3_peeq_max,native_stage3_mises_max,23.0,0.29032258064516125,0.43262848212759913,25.0,0.22580645161290325,0.5902031332877555,28.0,0.12903225806451613,0.8271531691881736,26.5,0.17741935483870963,0.8928571428571429,0.25564516129032255,26.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,N12_A04_method_c_u2_first_engineering,,J2D_N12_N12_A04_method_c_u2_first_engineering,probe60_run08,,method_c,,,,,"[0,2,4,6,8,10,5,3,1,7,9,11]",,,4.4116221033618785e-05,0.1464761346578598,581743296.0,581.743296,579939584.0,step_final_cooling,1200.0,,PASS_ODB_EXTRACTED,,,,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,True,False,False,False,12.0,0.6451612903225806,0.15379755618462665,7.0,0.8064516129032258,0.1758117371007936,13.0,0.6129032258064516,0.19128844062098288,26.5,0.17741935483870963,0.8928571428571429,0.6508064516129033,0.3548387096774194,0.7321428571428571,9.0,False,True,False,False,False,False,False,,,,,,,,,,,,,,,False,NATIVE_STAGE3,native_stage3_peeq_max,native_stage3_mises_max,12.0,0.6451612903225806,0.15379755618462665,7.0,0.8064516129032258,0.1758117371007936,13.0,0.6129032258064516,0.19128844062098288,26.5,0.17741935483870963,0.8928571428571429,0.6508064516129033,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,N12_A05_center_out,,J2D_N12_N12_A05_center_out,probe60_run08,,center_out,,,,,"[5,6,4,7,3,8,2,9,1,10,0,11]",,,0.0001583552163992863,0.16032162308692932,580972800.0,580.9728,579938048.0,step_final_cooling,1200.0,,PASS_ODB_EXTRACTED,,,,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,True,False,False,False,32.0,0.0,1.0,24.0,0.25806451612903225,0.5713486623376292,3.0,0.935483870967742,0.04248244833382775,2.5,0.9516129032258065,0.03571428571428571,0.19274193548387097,1.0,0.13550420168067223,29.0,False,True,False,False,False,False,False,,,,,,,,,,,,,,,False,NATIVE_STAGE3,native_stage3_peeq_max,native_stage3_mises_max,32.0,0.0,1.0,24.0,0.25806451612903225,0.5713486623376292,3.0,0.935483870967742,0.04248244833382775,2.5,0.9516129032258065,0.03571428571428571,0.19274193548387097,29.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,N12_A06_edge_in_alternating,,J2D_N12_N12_A06_edge_in_alternating,probe60_run08,,edge_in,,,,,"[0,11,1,10,2,9,3,8,4,7,5,6]",,,0.00010128901044481609,0.17532625794410706,580798976.0,580.798976,579937984.0,step_final_cooling,1200.0,,PASS_ODB_EXTRACTED,,,,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,True,False,False,False,27.0,0.16129032258064513,0.5772935258807723,32.0,0.0,1.0,2.0,0.967741935483871,0.008911796697320281,1.0,1.0,0.0,0.25161290322580643,0.8387096774193549,0.21218487394957974,27.0,False,True,False,False,False,False,False,,,,,,,,,,,,,,,False,NATIVE_STAGE3,native_stage3_peeq_max,native_stage3_mises_max,27.0,0.16129032258064513,0.5772935258807723,32.0,0.0,1.0,2.0,0.967741935483871,0.008911796697320281,1.0,1.0,0.0,0.25161290322580643,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,N12_A07_regular_jump_coprime,,J2D_N12_N12_A07_regular_jump_coprime,probe60_run08,,regular_jump,,,,,"[0,5,10,3,8,1,6,11,4,9,2,7]",,,6.379491514962865e-05,0.15351411700248718,581880128.0,581.880128,579938432.0,step_final_cooling,1200.0,,PASS_ODB_EXTRACTED,,,,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,True,False,False,False,18.0,0.4516129032258065,0.29956353564515037,18.0,0.4516129032258065,0.37687231439471663,15.0,0.5483870967741935,0.21771482250568575,12.0,0.6451612903225806,0.25,0.47096774193548385,0.5483870967741935,0.49789915966386544,19.0,False,True,False,False,False,False,False,,,,,,,,,,,,,,,False,NATIVE_STAGE3,native_stage3_peeq_max,native_stage3_mises_max,18.0,0.4516129032258065,0.29956353564515037,18.0,0.4516129032258065,0.37687231439471663,15.0,0.5483870967741935,0.21771482250568575,12.0,0.6451612903225806,0.25,0.47096774193548385,19.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,N12_A08_block_interleaved_quarters,,J2D_N12_N12_A08_block_interleaved_quarters,probe60_run08,,block_interleaved,,,,,"[0,3,6,9,1,4,7,10,2,5,8,11]",,,3.6826456380367745e-05,0.14324450492858887,582462656.0,582.462656,579939584.0,step_final_cooling,1200.0,,PASS_ODB_EXTRACTED,,,,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,True,False,False,False,4.0,0.9032258064516129,0.0998000867156871,4.0,0.9032258064516129,0.08349076964860555,19.0,0.4193548387096774,0.33021853060417283,26.5,0.17741935483870963,0.8928571428571429,0.8185483870967744,0.0967741935483871,0.9506302521008404,5.0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,False,NATIVE_STAGE3,native_stage3_peeq_max,native_stage3_mises_max,4.0,0.9032258064516129,0.0998000867156871,4.0,0.9032258064516129,0.08349076964860555,19.0,0.4193548387096774,0.33021853060417283,26.5,0.17741935483870963,0.8928571428571429,0.8185483870967744,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,N12_A09_center_edge_alternating,,J2D_N12_N12_A09_center_edge_alternating,probe60_run08,,center_edge,,,,,"[5,0,6,11,4,1,7,10,3,2,8,9]",,,0.00010808459228428546,0.1680927276611328,580752832.0,580.752832,579938304.0,step_final_cooling,1200.0,,PASS_ODB_EXTRACTED,,,,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,True,False,False,False,28.0,0.12903225806451613,0.6276304352811026,30.0,0.06451612903225812,0.793353023160379,1.0,1.0,0.0,7.0,0.8064516129032258,0.17857142857142858,0.2370967741935484,0.8709677419354839,0.19327731092436973,28.0,False,True,False,False,False,False,False,,,,,,,,,,,,,,,False,NATIVE_STAGE3,native_stage3_peeq_max,native_stage3_mises_max,28.0,0.12903225806451613,0.6276304352811026,30.0,0.06451612903225812,0.793353023160379,1.0,1.0,0.0,7.0,0.8064516129032258,0.17857142857142858,0.2370967741935484,28.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,,J2D_N12_N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,probe60_run08,,graph_pointer_proxy,,,,,"[0,11,2,5,4,8,6,1,10,3,7,9]",,,5.570924804487731e-05,0.15651747584342957,583114560.0,583.11456,579938304.0,step_final_cooling,1200.0,,PASS_ODB_EXTRACTED,,,,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,True,False,False,False,17.0,0.4838709677419355,0.2396705784109131,20.0,0.3870967741935484,0.4626720554016904,27.0,0.16129032258064513,0.45612083456936614,7.0,0.8064516129032258,0.17857142857142858,0.4483870967741936,0.5161290322580645,0.46848739495798314,20.0,False,True,False,False,False,False,False,,,,,,,,,,,,,,,False,NATIVE_STAGE3,native_stage3_peeq_max,native_stage3_mises_max,17.0,0.4838709677419355,0.2396705784109131,20.0,0.3870967741935484,0.4626720554016904,27.0,0.16129032258064513,0.45612083456936614,7.0,0.8064516129032258,0.17857142857142858,0.4483870967741936,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,N12_A11_graph_pointer_policy_diverse_01,,J2D_N12_N12_A11_graph_pointer_policy_diverse_01,probe60_run08,,graph_pointer_proxy,,,,,"[0,5,11,10,1,3,8,2,9,6,4,7]",,,7.328880428758566e-05,0.1638757288455963,582071168.0,582.071168,579939392.0,step_final_cooling,1200.0,,PASS_ODB_EXTRACTED,,,,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,True,False,False,False,19.0,0.4193548387096774,0.3698876151255084,29.0,0.09677419354838712,0.6728821019812711,17.0,0.4838709677419355,0.2546104024522891,17.0,0.4838709677419355,0.7857142857142857,0.36451612903225805,0.5806451612903226,0.3592436974789915,22.0,False,False,False,False,False,False,False,,,,,,,,,,,,,,,False,NATIVE_STAGE3,native_stage3_peeq_max,native_stage3_mises_max,19.0,0.4193548387096774,0.3698876151255084,29.0,0.09677419354838712,0.6728821019812711,17.0,0.4838709677419355,0.2546104024522891,17.0,0.4838709677419355,0.7857142857142857,0.36451612903225805,22.0,,,,,,,,,,,,,,,,,,,,,,,,,
