regime,target,feature_set,model_name,macro_spearman_leave_N_out,macro_top5_overlap_leave_N_out,macro_top10_overlap_leave_N_out,n24_spearman,n32_spearman,n40_spearman
native_only_combined172,target_reward_combined172_plus_N32_mapped_u2_primary,F01_basic_order,MeanBaseline,nan,0.5,1.5,nan,nan,nan
native_only_combined172,target_reward_combined172_plus_N32_mapped_u2_primary,F01_basic_order,Ridge,0.7244877490084113,0.5,4.5,0.7002458907581114,nan,0.7912092152992123
native_only_combined172,target_reward_combined172_plus_N32_mapped_u2_primary,F01_basic_order,RandomForestRegressor,0.8167947167563123,1.25,5.75,0.7921582865780099,nan,0.8635367352252558
native_only_combined172,target_reward_combined172_plus_N32_mapped_u2_primary,F01_basic_order,ExtraTreesRegressor,0.8242802578437785,1.75,6.0,0.8211310865876005,nan,0.865600526165713
native_only_combined172,target_reward_combined172_plus_N32_mapped_u2_primary,F03_family_plus_features,MeanBaseline,nan,0.5,1.5,nan,nan,nan
native_only_combined172,target_reward_combined172_plus_N32_mapped_u2_primary,F03_family_plus_features,Ridge,0.837604078701334,1.5,6.0,0.8198364750197751,nan,0.8777206022489041
native_only_combined172,target_reward_combined172_plus_N32_mapped_u2_primary,F03_family_plus_features,RandomForestRegressor,0.800726308596467,1.25,6.25,0.8166727021247295,nan,0.8492090718505813
native_only_combined172,target_reward_combined172_plus_N32_mapped_u2_primary,F03_family_plus_features,ExtraTreesRegressor,0.807828860686264,0.75,5.75,0.8228858946776504,nan,0.8640747093577282
native_only_combined172,target_reward_combined172_plus_N32_mapped_u2_primary,F05_n_agnostic,MeanBaseline,nan,0.5,1.5,nan,nan,nan
native_only_combined172,target_reward_combined172_plus_N32_mapped_u2_primary,F05_n_agnostic,Ridge,0.8140329589274048,1.25,5.0,0.7896853381525331,nan,0.8743663045549838
native_only_combined172,target_reward_combined172_plus_N32_mapped_u2_primary,F05_n_agnostic,RandomForestRegressor,0.7795428548793604,1.25,6.0,0.8195315330539876,nan,0.8308366685725176
native_only_combined172,target_reward_combined172_plus_N32_mapped_u2_primary,F05_n_agnostic,ExtraTreesRegressor,0.8051700946536285,1.25,6.0,0.8220854220174582,nan,0.8736039641700019
native_only_combined172,target_reward_combined172_plus_N32_mapped_u2_primary,F07_F01_no_n,MeanBaseline,nan,0.5,1.5,nan,nan,nan
native_only_combined172,target_reward_combined172_plus_N32_mapped_u2_primary,F07_F01_no_n,Ridge,0.7274195435956587,0.5,4.75,0.7003221349686629,nan,0.8024931433998418
native_only_combined172,target_reward_combined172_plus_N32_mapped_u2_primary,F07_F01_no_n,RandomForestRegressor,0.8176419129465788,1.5,5.75,0.793683170789041,nan,0.8650349076839268
native_only_combined172,target_reward_combined172_plus_N32_mapped_u2_primary,F07_F01_no_n,ExtraTreesRegressor,0.848424570905293,1.5,6.0,0.8209023539559458,nan,0.8733011914649941
