group_type,group_value,count,median_u2_rank_combined204,best_u2_rank_combined204,median_reward_rank_combined204,best_reward_rank_combined204,top5_u2_count,top10_u2_count,top5_reward_count,top10_reward_count,new_best_u2_count,new_best_reward_count
n,12,4,19.0,4.0,19.0,6.0,1,1,0,1,0,0
n,16,4,19.5,13.0,19.0,15.0,0,0,0,0,0,0
n,24,12,36.5,1.0,28.5,1.0,2,3,2,3,1,1
n,40,12,30.5,1.0,25.0,2.0,2,4,3,4,1,0
candidate_source,N24_calibration_neighborhood,5,7.0,1.0,8.0,1.0,2,3,2,3,1,1
candidate_source,N40_new_best_neighborhood,5,7.0,1.0,4.0,2.0,2,4,3,4,1,0
candidate_source,diversity_coverage,2,39.0,32.0,32.0,24.0,0,0,0,0,0,0
candidate_source,graph_pointer_greedy,4,24.5,13.0,24.5,18.0,0,0,0,0,0,0
candidate_source,hybrid_gnn_surrogate_agreement,4,29.0,18.0,26.0,18.0,0,0,0,0,0,0
candidate_source,hybrid_gnn_surrogate_disagreement,4,30.5,21.0,26.5,15.0,0,0,0,0,0,0
candidate_source,sentinel_control,2,37.0,33.0,28.0,23.0,0,0,0,0,0,0
candidate_source,surrogate_top_predicted,4,27.5,4.0,27.5,6.0,1,1,0,1,0,0
candidate_source,uncertainty_calibration,2,41.0,38.0,36.0,31.0,0,0,0,0,0,0
generation_method,even_odd,18,36.5,4.0,31.5,6.0,1,1,0,1,0,0
generation_method,greedy_decode,4,24.5,13.0,24.5,18.0,0,0,0,0,0,0
generation_method,known_best_mutation,10,7.0,1.0,5.5,1.0,4,7,5,7,2,1
selection_bucket,N24_calibration_neighborhood,5,7.0,1.0,8.0,1.0,2,3,2,3,1,1
selection_bucket,N40_new_best_neighborhood,5,7.0,1.0,4.0,2.0,2,4,3,4,1,0
selection_bucket,diversity_coverage,2,39.0,32.0,32.0,24.0,0,0,0,0,0,0
selection_bucket,graph_pointer_top,4,24.5,13.0,24.5,18.0,0,0,0,0,0,0
selection_bucket,hybrid_gnn_surrogate_agreement,4,29.0,18.0,26.0,18.0,0,0,0,0,0,0
selection_bucket,hybrid_gnn_surrogate_disagreement,4,30.5,21.0,26.5,15.0,0,0,0,0,0,0
selection_bucket,sentinel_control,2,37.0,33.0,28.0,23.0,0,0,0,0,0,0
selection_bucket,surrogate_top_predicted,4,27.5,4.0,27.5,6.0,1,1,0,1,0,0
selection_bucket,uncertainty_calibration,2,41.0,38.0,36.0,31.0,0,0,0,0,0,0
priority_role,,32,20.5,1.0,22.0,1.0,5,8,5,8,2,1
