n,strategy_name,handoff_strategy_name,job_name,dataset_source,batch_name,N32_informed,native_validation_N,includes_N32_case,original_run33_candidate_id,candidate_source,generation_method,selection_bucket,priority_role,surrogate_prediction,gnn_reward_prediction,graph_pointer_policy_score,hybrid_score,uncertainty_score,gnn_vs_surrogate_disagreement,novelty_distance_to_combined172_plus_N32,nearest_existing_teacher_strategy,order_json,order_compact,order_hash,u2_range,peeq_max,surface_t_proxy,surface_t_proxy_mpa,mises_max,final_step,final_frame_time,extracted_fields,teacher_validation_status,solver_audit_status,completion_status,odb_extraction_status,nonfatal_warning_flag,metric_semantic_warning,legacy_compatibility_status,notes
12,S3R34N32INF_N12_B01_graph_pointer,S3R34N32INF_N12_B01_graph_pointer,J2D_S3R34N32INF_N12_B01_graph_pointer,run36_N32_informed_native_batch32,stage3_run34_N32_informed_native_batch32_v01,True,True,False,R33_N12_C00001,graph_pointer_greedy,greedy_decode,graph_pointer_top,,0.3236447137493433,0.3372744858407915,-1.2455454170703888,0.2837368780307344,0.1080760340233711,0.0136297720914482,0.106060606060606,N12_A04_method_c_u2_first_engineering,"[0,2,4,6,5,3,1,8,7,10,9,11]",0-2-4-6-5-3-1-8-7-10-9-11,31e6b32d8dd38787,5.744353620684706e-05,0.1684480607509613,582666752.0,582.666752,579939584.0,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,True,False,NATIVE_STAGE3,final_frame_required_fields_and_metrics_extracted
12,S3R34N32INF_N12_B02_surrogate_top,S3R34N32INF_N12_B02_surrogate_top,J2D_S3R34N32INF_N12_B02_surrogate_top,run36_N32_informed_native_batch32,stage3_run34_N32_informed_native_batch32_v01,True,True,False,R33_N12_C00677,surrogate_top_predicted,even_odd,surrogate_top_predicted,,0.661164765571144,0.6371351585348045,-1.4781334151824317,0.5403533846304217,0.098532163568338,0.0240296070363394,0.0757575757575757,S3B20_N12_B01_surrogate_top,"[2,0,4,10,8,6,3,1,5,11,9,7]",2-0-4-10-8-6-3-1-5-11-9-7,56f66dde780a1bf4,3.5468697433316265e-05,0.1539434939622879,581848896.0,581.848896,579938560.0,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,True,False,NATIVE_STAGE3,final_frame_required_fields_and_metrics_extracted
12,S3R34N32INF_N12_B03_hybrid_agree,S3R34N32INF_N12_B03_hybrid_agree,J2D_S3R34N32INF_N12_B03_hybrid_agree,run36_N32_informed_native_batch32,stage3_run34_N32_informed_native_batch32_v01,True,True,False,R33_N12_C00650,hybrid_gnn_surrogate_agreement,even_odd,hybrid_gnn_surrogate_agreement,,0.6428274911674656,0.6165812176728472,-1.6634473204612732,0.5444568527835375,0.1099885246564377,0.0262462734946183,0.2575757575757575,N12_A04_method_c_u2_first_engineering,"[10,4,0,2,6,8,11,5,9,7,3,1]",10-4-0-2-6-8-11-5-9-7-3-1,9e979747aaf223af,5.269739813229535e-05,0.1545384377241134,581436224.0,581.436224,579939520.0,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,True,False,NATIVE_STAGE3,final_frame_required_fields_and_metrics_extracted
12,S3R34N32INF_N12_B04_hybrid_disagree,S3R34N32INF_N12_B04_hybrid_disagree,J2D_S3R34N32INF_N12_B04_hybrid_disagree,run36_N32_informed_native_batch32,stage3_run34_N32_informed_native_batch32_v01,True,True,False,R33_N12_C00712,hybrid_gnn_surrogate_disagreement,even_odd,hybrid_gnn_surrogate_disagreement,,0.5772539413843242,0.5493433881134557,-1.7746683657169342,0.4948544564227534,0.1578651739058691,0.0279105532708684,0.2424242424242424,S3B20_N12_B04_surrogate_top,"[10,6,2,0,4,8,9,3,11,1,7,5]",10-6-2-0-4-8-9-3-11-1-7-5,d649592d224a9c29,5.994689445287804e-05,0.1500022262334823,581437888.0,581.437888,579938432.0,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,True,False,NATIVE_STAGE3,final_frame_required_fields_and_metrics_extracted
16,S3R34N32INF_N16_B01_graph_pointer,S3R34N32INF_N16_B01_graph_pointer,J2D_S3R34N32INF_N16_B01_graph_pointer,run36_N32_informed_native_batch32,stage3_run34_N32_informed_native_batch32_v01,True,True,False,R33_N16_C00001,graph_pointer_greedy,greedy_decode,graph_pointer_top,,0.4381178292769229,0.4072062335369764,-1.4074272811412811,0.3694616258555657,0.1419526136901397,0.0309115957399465,0.125,N16_A04_method_c_u2_first_engineering,"[0,2,4,6,8,10,9,7,5,3,1,12,11,14,13,15]",0-2-4-6-8-10-9-7-5-3-1-12-11-14-13-15,3829bc1e73f58a5b,5.834493731526891e-05,0.1720538139343261,581969920.0,581.96992,579948480.0,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,True,False,NATIVE_STAGE3,final_frame_required_fields_and_metrics_extracted
16,S3R34N32INF_N16_B02_surrogate_top,S3R34N32INF_N16_B02_surrogate_top,J2D_S3R34N32INF_N16_B02_surrogate_top,run36_N32_informed_native_batch32,stage3_run34_N32_informed_native_batch32_v01,True,True,False,R33_N16_C00711,surrogate_top_predicted,even_odd,surrogate_top_predicted,,0.5481228105768581,0.5414758463109692,-1.947728738188744,0.4728731995233267,0.1437002546164578,0.0066469642658888,0.2166666666666666,S3R19B28_N16_B01_surrogate_top,"[12,4,6,10,14,0,2,8,5,13,15,3,7,1,11,9]",12-4-6-10-14-0-2-8-5-13-15-3-7-1-11-9,27bbe1cb2bd94d9b,9.155312864095322e-05,0.1565309762954712,582068416.0,582.068416,579947136.0,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,True,False,NATIVE_STAGE3,final_frame_required_fields_and_metrics_extracted
16,S3R34N32INF_N16_B03_hybrid_agree,S3R34N32INF_N16_B03_hybrid_agree,J2D_S3R34N32INF_N16_B03_hybrid_agree,run36_N32_informed_native_batch32,stage3_run34_N32_informed_native_batch32_v01,True,True,False,R33_N16_C00780,hybrid_gnn_surrogate_agreement,even_odd,hybrid_gnn_surrogate_agreement,,0.5685106074713308,0.5575516768179976,-1.9300507493317127,0.4815546803405957,0.1448592702686436,0.0109589306533331,0.15,S3B20_N16_B05_surrogate_top,"[2,6,14,10,0,12,8,4,1,7,3,9,15,5,11,13]",2-6-14-10-0-12-8-4-1-7-3-9-15-5-11-13,5db176c134fa0c3a,8.978642154033878e-05,0.1544402092695236,583986816.0,583.986816,579947264.0,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,True,False,NATIVE_STAGE3,final_frame_required_fields_and_metrics_extracted
16,S3R34N32INF_N16_B04_hybrid_disagree,S3R34N32INF_N16_B04_hybrid_disagree,J2D_S3R34N32INF_N16_B04_hybrid_disagree,run36_N32_informed_native_batch32,stage3_run34_N32_informed_native_batch32_v01,True,True,False,R33_N16_C00727,hybrid_gnn_surrogate_disagreement,even_odd,hybrid_gnn_surrogate_disagreement,,0.6596571047621768,0.6472839042082711,-1.803011193871498,0.5492440256311053,0.1044497529317368,0.0123732005539056,0.1416666666666666,S3B20_N16_B01_surrogate_top,"[8,10,0,4,6,14,12,2,7,11,5,1,3,9,13,15]",8-10-0-4-6-14-12-2-7-11-5-1-3-9-13-15,6f90b93bd69164aa,9.529680437481149e-05,0.1514548659324646,581461312.0,581.461312,579948160.0,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,True,False,NATIVE_STAGE3,final_frame_required_fields_and_metrics_extracted
24,S3R34N32INF_N24_B01_graph_pointer,S3R34N32INF_N24_B01_graph_pointer,J2D_S3R34N32INF_N24_B01_graph_pointer,run36_N32_informed_native_batch32,stage3_run34_N32_informed_native_batch32_v01,True,True,False,R33_N24_C00001,graph_pointer_greedy,greedy_decode,graph_pointer_top,,0.6778120707319342,0.6976726804073059,-1.655199314157168,0.5642316047070748,0.0614723048529325,0.0198606096753717,0.108695652173913,S3R19B28_N24_B10_known_best_mutation,"[0,2,4,6,8,10,12,14,16,18,20,22,21,19,17,15,13,11,9,7,5,3,1,23]",0-2-4-6-8-10-12-14-16-18-20-22-21-19-17-15-13-11-9-7-5-3-1-23,fd4d2251d26e8fe6,8.404852360399673e-05,0.1512167304754257,581126080.0,581.12608,579944640.0,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,True,False,NATIVE_STAGE3,final_frame_required_fields_and_metrics_extracted
24,S3R34N32INF_N24_B02_surrogate_top,S3R34N32INF_N24_B02_surrogate_top,J2D_S3R34N32INF_N24_B02_surrogate_top,run36_N32_informed_native_batch32,stage3_run34_N32_informed_native_batch32_v01,True,True,False,R33_N24_C02477,surrogate_top_predicted,even_odd,surrogate_top_predicted,,0.6849718090637044,0.6472591700774294,-2.105015762150288,0.5660568012547357,0.0866693404019592,0.0377126389862749,0.1884057971014492,S3R24L64_N24_B23_exploitation_reference,"[16,12,0,2,4,8,14,20,18,10,6,22,15,17,21,11,5,1,7,13,9,3,23,19]",16-12-0-2-4-8-14-20-18-10-6-22-15-17-21-11-5-1-7-13-9-3-23-19,d32aa3c0deee7cee,0.0002424270824121,0.1497802585363388,583834816.0,583.834816,579944128.0,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,True,False,NATIVE_STAGE3,final_frame_required_fields_and_metrics_extracted
