option,candidate_id,strategy_name,n,order_hash,overlaps_combined204_teacher,overlaps_run36,overlaps_run27,overlaps_superseded_run31,candidate_source,selection_bucket,surrogate_reward_pred,gnn_reward_pred,hybrid_score,novelty_distance_to_combined204_plus_N32,nearest_existing_teacher_strategy
option_a_native_batch32,R38_N12_C00001,N12_R38_N12_C00001_graph_pointer_top,12,4ebea5ee9f4b311c,False,False,False,False,graph_pointer_greedy,graph_pointer_top,0.697639695575868,0.715734731988431,0.5789011961461494,0.10606060606060606,N12_A04_method_c_u2_first_engineering
option_a_native_batch32,R38_N12_C00797,N12_R38_N12_C00797_surrogate_top_predicted,12,a40b79d316717ee6,False,False,False,False,surrogate_top_predicted,surrogate_top_predicted,0.5868917048229549,0.5516625247471576,0.4827013614331018,0.09090909090909091,S3B20_N12_B04_surrogate_top
option_a_native_batch32,R38_N12_C00776,N12_R38_N12_C00776_hybrid_gnn_surrogate_agreement,12,761bd16dbd266094,False,False,False,False,hybrid_gnn_surrogate_agreement,hybrid_gnn_surrogate_agreement,0.5994373241818097,0.6109473242659529,0.507420808603622,0.13636363636363635,S3R34N32INF_N12_B03_hybrid_agree
option_a_native_batch32,R38_N12_C00654,N12_R38_N12_C00654_hybrid_gnn_surrogate_disagreement,12,85025ac7beaa764c,False,False,False,False,hybrid_gnn_surrogate_disagreement,hybrid_gnn_surrogate_disagreement,0.5533113324175828,0.5252145287897342,0.4574955388976414,0.10606060606060606,S3R34N32INF_N12_B02_surrogate_top
option_a_native_batch32,R38_N16_C00001,N16_R38_N16_C00001_graph_pointer_top,16,7edcb0d2766b1a8c,False,False,False,False,graph_pointer_greedy,graph_pointer_top,0.6815736883399894,0.7244742791316807,0.5735305788422943,0.125,N16_A04_method_c_u2_first_engineering
option_a_native_batch32,R38_N16_C00768,N16_R38_N16_C00768_surrogate_top_predicted,16,43e94ad731a4e7aa,False,False,False,False,surrogate_top_predicted,surrogate_top_predicted,0.5435992673992676,0.5117595200344893,0.4582064461311613,0.19166666666666668,S3B20_N16_B04_surrogate_top
option_a_native_batch32,R38_N16_C00718,N16_R38_N16_C00718_hybrid_gnn_surrogate_agreement,16,b359deef0cbe62d0,False,False,False,False,hybrid_gnn_surrogate_agreement,hybrid_gnn_surrogate_agreement,0.5175757587650446,0.5272016211503554,0.44596964368830244,0.175,N16_A02_odd_even_interlaced
option_a_native_batch32,R38_N16_C00774,N16_R38_N16_C00774_hybrid_gnn_surrogate_disagreement,16,50b26356c65fe1b6,False,False,False,False,hybrid_gnn_surrogate_disagreement,hybrid_gnn_surrogate_disagreement,0.48935199630764514,0.5199328085172215,0.45316835565849567,0.3416666666666667,S3R24L64_N16_B04_uncertainty_calibration
option_a_native_batch32,R38_N24_C02564,N24_R38_N24_C02564_surrogate_top_predicted,24,bb2e7a738851594b,False,False,False,False,surrogate_top_predicted,surrogate_top_predicted,0.5717082455738703,0.5573416653715675,0.48231157695126664,0.15579710144927536,S3R34N32INF_N24_B02_surrogate_top
option_a_native_batch32,R38_N24_C02959,N24_R38_N24_C02959_hybrid_gnn_surrogate_agreement,24,7da24d41d6d01496,False,False,False,False,hybrid_gnn_surrogate_agreement,hybrid_gnn_surrogate_agreement,0.6197696695665447,0.6115739227730117,0.5184686889938502,0.17391304347826086,S3R34N32INF_N24_B08_n24_calibration
option_a_native_batch32,R38_N24_C01537,N24_R38_N24_C01537_hybrid_gnn_surrogate_disagreement,24,c097a4d09903f4e1,False,False,False,False,hybrid_gnn_surrogate_disagreement,hybrid_gnn_surrogate_disagreement,0.578983237942613,0.59158125864028,0.49354681754678564,0.17753623188405798,S3R34N32INF_N24_B04_hybrid_disagree
