regime,target,feature_set,model_name,macro_spearman_leave_N_out,macro_top5_overlap_leave_N_out,macro_top10_overlap_leave_N_out,n24_spearman,n32_spearman,n40_spearman
native_combined204,target_reward_combined204_plus_N32_mapped_u2_primary,F01_basic_order,MeanBaseline,nan,0.5,1.5,nan,nan,nan
native_combined204,target_reward_combined204_plus_N32_mapped_u2_primary,F01_basic_order,Ridge,0.7598918133379836,1.0,4.25,0.7177228280288265,nan,0.8571100548255698
native_combined204,target_reward_combined204_plus_N32_mapped_u2_primary,F01_basic_order,RandomForestRegressor,0.848464597259218,2.0,6.0,0.8288258207795366,nan,0.8994759877662317
native_combined204,target_reward_combined204_plus_N32_mapped_u2_primary,F01_basic_order,ExtraTreesRegressor,0.8588806570797799,1.75,6.25,0.8368213950417542,nan,0.9102296500528984
native_combined204,target_reward_combined204_plus_N32_mapped_u2_primary,F03_family_plus_features,MeanBaseline,nan,0.5,1.5,nan,nan,nan
native_combined204,target_reward_combined204_plus_N32_mapped_u2_primary,F03_family_plus_features,Ridge,0.8242485107103265,2.0,5.25,0.7881723011837432,nan,0.8527084855443064
native_combined204,target_reward_combined204_plus_N32_mapped_u2_primary,F03_family_plus_features,RandomForestRegressor,0.8264203468605743,1.25,5.75,0.8354625918503674,nan,0.8866924120655464
native_combined204,target_reward_combined204_plus_N32_mapped_u2_primary,F03_family_plus_features,ExtraTreesRegressor,0.8518200965130271,1.75,6.0,0.85312291249165,nan,0.9122012316042167
native_combined204,target_reward_combined204_plus_N32_mapped_u2_primary,F05_n_agnostic,MeanBaseline,nan,0.5,1.5,nan,nan,nan
native_combined204,target_reward_combined204_plus_N32_mapped_u2_primary,F05_n_agnostic,Ridge,0.8154833654629905,1.0,5.25,0.7872746819621179,nan,0.8721636572382842
native_combined204,target_reward_combined204_plus_N32_mapped_u2_primary,F05_n_agnostic,RandomForestRegressor,0.8160021252300775,1.0,5.75,0.8367150968603875,nan,0.8752531051038513
native_combined204,target_reward_combined204_plus_N32_mapped_u2_primary,F05_n_agnostic,ExtraTreesRegressor,0.8416159278396559,1.0,5.5,0.8440543164463138,nan,0.8957196088538081
native_combined204,target_reward_combined204_plus_N32_mapped_u2_primary,F07_F01_no_n,MeanBaseline,nan,0.5,1.5,nan,nan,nan
native_combined204,target_reward_combined204_plus_N32_mapped_u2_primary,F07_F01_no_n,Ridge,0.7627241368968466,1.0,4.5,0.718578751122171,nan,0.8585714174482751
native_combined204,target_reward_combined204_plus_N32_mapped_u2_primary,F07_F01_no_n,RandomForestRegressor,0.8487620325164433,1.75,6.25,0.8240869295066295,nan,0.896135625728292
native_combined204,target_reward_combined204_plus_N32_mapped_u2_primary,F07_F01_no_n,ExtraTreesRegressor,0.8680565944557831,2.0,6.0,0.8355479484882418,nan,0.8992901927907947
native_combined204,target_u2_score_combined204_plus_N32_rank,F01_basic_order,MeanBaseline,nan,0.25,1.5,nan,nan,nan
native_combined204,target_u2_score_combined204_plus_N32_rank,F01_basic_order,Ridge,0.7870157606278727,0.5,4.25,0.7428917387538847,nan,0.8704084546921883
native_combined204,target_u2_score_combined204_plus_N32_rank,F01_basic_order,ExtraTreesRegressor,0.8388402275541206,1.0,5.75,0.8442236248863906,nan,0.907369524776356
native_combined204,target_u2_score_combined204_plus_N32_rank,F07_F01_no_n,MeanBaseline,nan,0.25,1.5,nan,nan,nan
native_combined204,target_u2_score_combined204_plus_N32_rank,F07_F01_no_n,Ridge,0.7845018444720194,0.25,4.5,0.7392175706534889,nan,0.8699491692964809
native_combined204,target_u2_score_combined204_plus_N32_rank,F07_F01_no_n,ExtraTreesRegressor,0.8435992321879644,1.0,5.5,0.8413009911701667,nan,0.9092484391916028
native_combined204,target_peeq_score_combined204_plus_N32_rank,F01_basic_order,MeanBaseline,nan,0.0,1.0,nan,nan,nan
native_combined204,target_peeq_score_combined204_plus_N32_rank,F01_basic_order,Ridge,0.5961348812032823,1.0,4.75,0.5901841270811857,nan,0.5218108393502805
native_combined204,target_peeq_score_combined204_plus_N32_rank,F01_basic_order,ExtraTreesRegressor,0.6970675955318453,0.75,3.0,0.6202037505378284,nan,0.6306054314105011
native_combined204,target_peeq_score_combined204_plus_N32_rank,F07_F01_no_n,MeanBaseline,nan,0.0,1.0,nan,nan,nan
native_combined204,target_peeq_score_combined204_plus_N32_rank,F07_F01_no_n,Ridge,0.6065863226597814,1.25,4.75,0.5518558734884208,nan,0.5630630185283623
native_combined204,target_peeq_score_combined204_plus_N32_rank,F07_F01_no_n,ExtraTreesRegressor,0.6976521583104024,0.75,3.75,0.627176319546534,nan,0.6290605462246315
native_combined204,target_surfaceT_score_combined204_plus_N32_rank,F01_basic_order,MeanBaseline,nan,0.25,1.5,nan,nan,nan
native_combined204,target_surfaceT_score_combined204_plus_N32_rank,F01_basic_order,Ridge,0.18117935342364902,0.0,2.25,0.12500521923391955,nan,0.3403304782191748
native_combined204,target_surfaceT_score_combined204_plus_N32_rank,F01_basic_order,ExtraTreesRegressor,0.4169567051022863,1.75,4.0,0.4457016417241454,nan,0.45294363503549734
native_combined204,target_surfaceT_score_combined204_plus_N32_rank,F07_F01_no_n,MeanBaseline,nan,0.25,1.5,nan,nan,nan
native_combined204,target_surfaceT_score_combined204_plus_N32_rank,F07_F01_no_n,Ridge,0.06725985073814426,0.5,1.0,0.07807607213341002,nan,0.23306646171260378
native_combined204,target_surfaceT_score_combined204_plus_N32_rank,F07_F01_no_n,ExtraTreesRegressor,0.3750732437775671,1.75,4.0,0.4437393019432522,nan,0.4027139896678993
