comparison,n,metric,baseline_best_strategy,baseline_best_source,baseline_best_value,run41_best_strategy,run41_best_source,run41_best_value,run41_beats_baseline,absolute_improvement,relative_improvement_fraction,combined264_best_strategy,combined264_best_source,combined264_best_value
run41_vs_combined204,24,U2,S3R34N32INF_N24_B10_n24_calibration,run36_N32_informed_native_batch32,3.273940910730744e-05,S3R39N2440B60_N24_B08_n24_u2_near,run41_native_N24_N40_focused_batch60,3.7988751273587695e-05,False,-5.2493421662802575e-06,-0.16033710776742774,S3R34N32INF_N24_B10_n24_calibration,run36_N32_informed_native_batch32,3.273940910730744e-05
run41_vs_combined204,24,PEEQ,S3R19B28_N24_B07_control_sentinel,batch28_run20,0.149288535118103,S3R39N2440B60_N24_B12_surrogate_top,run41_native_N24_N40_focused_batch60,0.1496064215898513,False,-0.00031788647174829654,-0.0021293428292856833,S3R19B28_N24_B07_control_sentinel,batch28_run20,0.149288535118103
run41_vs_combined204,24,SurfaceT,S3R24L64_N24_B06_model_disagreement,shortlist64_run27,580875968.0,S3R39N2440B60_N24_B17_diversity,run41_native_N24_N40_focused_batch60,581337792.0,False,-461824.0,-0.0007950475238114861,S3R24L64_N24_B06_model_disagreement,shortlist64_run27,580875968.0
run41_vs_combined204,24,Mises,N24_A06_edge_in_alternating,probe60_run08,579942784.0,S3R39N2440B60_N24_B17_diversity,run41_native_N24_N40_focused_batch60,579942848.0,False,-64.0,-1.1035571398712325e-07,N24_A06_edge_in_alternating,probe60_run08,579942784.0
run41_vs_combined204,24,combined_reward,S3R34N32INF_N24_B11_n24_calibration,run36_N32_informed_native_batch32,0.8415384615384615,S3R39N2440B60_N24_B07_n24_u2_near,run41_native_N24_N40_focused_batch60,0.8379310344827586,False,-0.0036074270557028276,-0.004286704910798607,S3R34N32INF_N24_B11_n24_calibration,run36_N32_informed_native_batch32,0.8386842105263157
run41_vs_combined204,40,U2,S3R34N32INF_N40_B08_n40_best_near,run36_N32_informed_native_batch32,5.696606240235269e-05,S3R39N2440B60_N40_B04_n40_u2_near,run41_native_N24_N40_focused_batch60,6.792713247705251e-05,False,-1.0961070074699819e-05,-0.19241403762965945,S3R34N32INF_N40_B08_n40_best_near,run36_N32_informed_native_batch32,5.696606240235269e-05
run41_vs_combined204,40,PEEQ,S3R19B28_N40_B05_diversity_top,batch28_run20,0.1442238241434097,S3R39N2440B60_N40_B10_surrogate_top,run41_native_N24_N40_focused_batch60,0.1440253555774688,True,0.00019846856594091244,0.001376114987379368,S3R39N2440B60_N40_B10_surrogate_top,run41_native_N24_N40_focused_batch60,0.1440253555774688
run41_vs_combined204,40,SurfaceT,S3R19B28_N40_B06_uncertainty_calibration,batch28_run20,581119040.0,S3R39N2440B60_N40_B01_n40_u2_near,run41_native_N24_N40_focused_batch60,581616832.0,False,-497792.0,-0.0008566093446189613,S3R19B28_N40_B06_uncertainty_calibration,batch28_run20,581119040.0
run41_vs_combined204,40,Mises,N40_A07_regular_jump_coprime,probe60_run08,579924032.0,S3R39N2440B60_N40_B25_diversity,run41_native_N24_N40_focused_batch60,579924352.0,False,-320.0,-5.517964118445086e-07,N40_A07_regular_jump_coprime,probe60_run08,579924032.0
run41_vs_combined204,40,combined_reward,S3R24L64_N40_B23_exploitation_reference,shortlist64_run27,0.8992307692307693,S3R39N2440B60_N40_B04_n40_u2_near,run41_native_N24_N40_focused_batch60,0.85,False,-0.0492307692307693,-0.05474764756201889,S3R24L64_N40_B23_exploitation_reference,shortlist64_run27,0.8797368421052632
