regime,n,teacher_action_nll,reward_weighted_nll,count
native_combined264,12,1.4008421891791685,1.2353127751069433,36
native_combined264,16,1.4129367943021343,1.155907113165609,36
native_combined264,24,1.6859468544174276,1.334233010606593,96
native_combined264,40,2.00154336163277,1.5972966305773706,96
plus_N32_unweighted,12,1.4008421891791685,1.2353127751069433,36
plus_N32_unweighted,16,1.4129367943021343,1.155907113165609,36
plus_N32_unweighted,24,1.6859468544174276,1.334233010606593,96
plus_N32_unweighted,32,2.0231339408719937,1.6278446934498727,332
plus_N32_unweighted,40,2.00154336163277,1.5972966305773706,96
plus_N32_balanced,12,1.4008421891791685,1.2353127751069433,36
plus_N32_balanced,16,1.4129367943021343,1.155907113165609,36
plus_N32_balanced,24,1.6859468544174276,1.334233010606593,96
plus_N32_balanced,32,2.0231339408719937,1.6278446934498727,332
plus_N32_balanced,40,2.00154336163277,1.5972966305773706,96
