run_id,batch_name,n,handoff_strategy_name,job_name,case_dir,scan_order_json,cae_path,inp_path,jnl_path,generation_status,inp_check_status,teacher_validated,solver_status,notes
run_45_constrained_N24_N40_batch32_cae_inp_generation,stage3_run44_constrained_N24_N40_batch32_v01,24,S3R44CNS_N24_B01_reward_balanced,J2D_S3R44CNS_N24_B01_reward_balanced,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B01_reward_balanced,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B01_reward_balanced\scan_order_S3R44CNS_N24_B01_reward_balanced.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B01_reward_balanced\J2D_S3R44CNS_N24_B01_reward_balanced.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B01_reward_balanced\J2D_S3R44CNS_N24_B01_reward_balanced.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B01_reward_balanced\J2D_S3R44CNS_N24_B01_reward_balanced.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run45 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_45_constrained_N24_N40_batch32_cae_inp_generation,stage3_run44_constrained_N24_N40_batch32_v01,24,S3R44CNS_N24_B02_reward_balanced,J2D_S3R44CNS_N24_B02_reward_balanced,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B02_reward_balanced,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B02_reward_balanced\scan_order_S3R44CNS_N24_B02_reward_balanced.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B02_reward_balanced\J2D_S3R44CNS_N24_B02_reward_balanced.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B02_reward_balanced\J2D_S3R44CNS_N24_B02_reward_balanced.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B02_reward_balanced\J2D_S3R44CNS_N24_B02_reward_balanced.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run45 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_45_constrained_N24_N40_batch32_cae_inp_generation,stage3_run44_constrained_N24_N40_batch32_v01,24,S3R44CNS_N24_B03_constr_surrogate,J2D_S3R44CNS_N24_B03_constr_surrogate,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B03_constr_surrogate,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B03_constr_surrogate\scan_order_S3R44CNS_N24_B03_constr_surrogate.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B03_constr_surrogate\J2D_S3R44CNS_N24_B03_constr_surrogate.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B03_constr_surrogate\J2D_S3R44CNS_N24_B03_constr_surrogate.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B03_constr_surrogate\J2D_S3R44CNS_N24_B03_constr_surrogate.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run45 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_45_constrained_N24_N40_batch32_cae_inp_generation,stage3_run44_constrained_N24_N40_batch32_v01,24,S3R44CNS_N24_B04_constr_surrogate,J2D_S3R44CNS_N24_B04_constr_surrogate,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B04_constr_surrogate,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B04_constr_surrogate\scan_order_S3R44CNS_N24_B04_constr_surrogate.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B04_constr_surrogate\J2D_S3R44CNS_N24_B04_constr_surrogate.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B04_constr_surrogate\J2D_S3R44CNS_N24_B04_constr_surrogate.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B04_constr_surrogate\J2D_S3R44CNS_N24_B04_constr_surrogate.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run45 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_45_constrained_N24_N40_batch32_cae_inp_generation,stage3_run44_constrained_N24_N40_batch32_v01,24,S3R44CNS_N24_B05_peeq_guarded,J2D_S3R44CNS_N24_B05_peeq_guarded,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B05_peeq_guarded,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B05_peeq_guarded\scan_order_S3R44CNS_N24_B05_peeq_guarded.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B05_peeq_guarded\J2D_S3R44CNS_N24_B05_peeq_guarded.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B05_peeq_guarded\J2D_S3R44CNS_N24_B05_peeq_guarded.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B05_peeq_guarded\J2D_S3R44CNS_N24_B05_peeq_guarded.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run45 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_45_constrained_N24_N40_batch32_cae_inp_generation,stage3_run44_constrained_N24_N40_batch32_v01,24,S3R44CNS_N24_B06_peeq_guarded,J2D_S3R44CNS_N24_B06_peeq_guarded,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B06_peeq_guarded,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B06_peeq_guarded\scan_order_S3R44CNS_N24_B06_peeq_guarded.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B06_peeq_guarded\J2D_S3R44CNS_N24_B06_peeq_guarded.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B06_peeq_guarded\J2D_S3R44CNS_N24_B06_peeq_guarded.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B06_peeq_guarded\J2D_S3R44CNS_N24_B06_peeq_guarded.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run45 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_45_constrained_N24_N40_batch32_cae_inp_generation,stage3_run44_constrained_N24_N40_batch32_v01,24,S3R44CNS_N24_B07_surfacet_guarded,J2D_S3R44CNS_N24_B07_surfacet_guarded,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B07_surfacet_guarded,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B07_surfacet_guarded\scan_order_S3R44CNS_N24_B07_surfacet_guarded.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B07_surfacet_guarded\J2D_S3R44CNS_N24_B07_surfacet_guarded.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B07_surfacet_guarded\J2D_S3R44CNS_N24_B07_surfacet_guarded.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B07_surfacet_guarded\J2D_S3R44CNS_N24_B07_surfacet_guarded.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run45 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_45_constrained_N24_N40_batch32_cae_inp_generation,stage3_run44_constrained_N24_N40_batch32_v01,24,S3R44CNS_N24_B08_surfacet_guarded,J2D_S3R44CNS_N24_B08_surfacet_guarded,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B08_surfacet_guarded,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B08_surfacet_guarded\scan_order_S3R44CNS_N24_B08_surfacet_guarded.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B08_surfacet_guarded\J2D_S3R44CNS_N24_B08_surfacet_guarded.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B08_surfacet_guarded\J2D_S3R44CNS_N24_B08_surfacet_guarded.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B08_surfacet_guarded\J2D_S3R44CNS_N24_B08_surfacet_guarded.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run45 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_45_constrained_N24_N40_batch32_cae_inp_generation,stage3_run44_constrained_N24_N40_batch32_v01,24,S3R44CNS_N24_B09_u2_guarded,J2D_S3R44CNS_N24_B09_u2_guarded,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B09_u2_guarded,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B09_u2_guarded\scan_order_S3R44CNS_N24_B09_u2_guarded.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B09_u2_guarded\J2D_S3R44CNS_N24_B09_u2_guarded.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B09_u2_guarded\J2D_S3R44CNS_N24_B09_u2_guarded.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B09_u2_guarded\J2D_S3R44CNS_N24_B09_u2_guarded.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run45 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_45_constrained_N24_N40_batch32_cae_inp_generation,stage3_run44_constrained_N24_N40_batch32_v01,24,S3R44CNS_N24_B10_u2_guarded,J2D_S3R44CNS_N24_B10_u2_guarded,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B10_u2_guarded,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B10_u2_guarded\scan_order_S3R44CNS_N24_B10_u2_guarded.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B10_u2_guarded\J2D_S3R44CNS_N24_B10_u2_guarded.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B10_u2_guarded\J2D_S3R44CNS_N24_B10_u2_guarded.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B10_u2_guarded\J2D_S3R44CNS_N24_B10_u2_guarded.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run45 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_45_constrained_N24_N40_batch32_cae_inp_generation,stage3_run44_constrained_N24_N40_batch32_v01,24,S3R44CNS_N24_B11_hybrid_agree,J2D_S3R44CNS_N24_B11_hybrid_agree,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B11_hybrid_agree,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B11_hybrid_agree\scan_order_S3R44CNS_N24_B11_hybrid_agree.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B11_hybrid_agree\J2D_S3R44CNS_N24_B11_hybrid_agree.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B11_hybrid_agree\J2D_S3R44CNS_N24_B11_hybrid_agree.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run44_constrained_N24_N40_batch32_v01\N24S3R44CNS_N24_B11_hybrid_agree\J2D_S3R44CNS_N24_B11_hybrid_agree.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run45 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
