regime,n,teacher_action_nll,reward_weighted_nll,count
native_combined296,12,1.4008421891791685,1.2353127751069433,36
native_combined296,16,1.4129367943021343,1.155907113165609,36
native_combined296,24,1.5851105789960829,1.209271462275994,112
native_combined296,40,1.8457617588564124,1.4085254244520529,112
plus_N32_unweighted,12,1.4008421891791685,1.2353127751069433,36
plus_N32_unweighted,16,1.4129367943021343,1.155907113165609,36
plus_N32_unweighted,24,1.5851105789960829,1.209271462275994,112
plus_N32_unweighted,32,2.0231339408719937,1.6278446934498727,332
plus_N32_unweighted,40,1.8457617588564124,1.4085254244520529,112
plus_N32_balanced,12,1.4008421891791685,1.2353127751069433,36
plus_N32_balanced,16,1.4129367943021343,1.155907113165609,36
plus_N32_balanced,24,1.5851105789960829,1.209271462275994,112
plus_N32_balanced,32,2.0231339408719937,1.6278446934498727,332
plus_N32_balanced,40,1.8457617588564124,1.4085254244520529,112
