run_id,batch_name,n,handoff_strategy_name,job_name,case_dir,scan_order_json,cae_path,inp_path,jnl_path,generation_status,inp_check_status,teacher_validated,solver_status,notes
run_50_stricter_constrained_N24_N40_batch32_cae_inp_generation,stage3_run49_stricter_constrained_N24_N40_batch32_v01,24,S3R49SCN_N24_B01_strict_guard,J2D_S3R49SCN_N24_B01_strict_guard,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B01_strict_guard,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B01_strict_guard\scan_order_S3R49SCN_N24_B01_strict_guard.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B01_strict_guard\J2D_S3R49SCN_N24_B01_strict_guard.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B01_strict_guard\J2D_S3R49SCN_N24_B01_strict_guard.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B01_strict_guard\J2D_S3R49SCN_N24_B01_strict_guard.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run50 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_50_stricter_constrained_N24_N40_batch32_cae_inp_generation,stage3_run49_stricter_constrained_N24_N40_batch32_v01,24,S3R49SCN_N24_B02_strict_guard,J2D_S3R49SCN_N24_B02_strict_guard,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B02_strict_guard,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B02_strict_guard\scan_order_S3R49SCN_N24_B02_strict_guard.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B02_strict_guard\J2D_S3R49SCN_N24_B02_strict_guard.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B02_strict_guard\J2D_S3R49SCN_N24_B02_strict_guard.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B02_strict_guard\J2D_S3R49SCN_N24_B02_strict_guard.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run50 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_50_stricter_constrained_N24_N40_batch32_cae_inp_generation,stage3_run49_stricter_constrained_N24_N40_batch32_v01,24,S3R49SCN_N24_B03_strict_guard,J2D_S3R49SCN_N24_B03_strict_guard,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B03_strict_guard,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B03_strict_guard\scan_order_S3R49SCN_N24_B03_strict_guard.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B03_strict_guard\J2D_S3R49SCN_N24_B03_strict_guard.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B03_strict_guard\J2D_S3R49SCN_N24_B03_strict_guard.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B03_strict_guard\J2D_S3R49SCN_N24_B03_strict_guard.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run50 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_50_stricter_constrained_N24_N40_batch32_cae_inp_generation,stage3_run49_stricter_constrained_N24_N40_batch32_v01,24,S3R49SCN_N24_B04_strict_guard,J2D_S3R49SCN_N24_B04_strict_guard,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B04_strict_guard,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B04_strict_guard\scan_order_S3R49SCN_N24_B04_strict_guard.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B04_strict_guard\J2D_S3R49SCN_N24_B04_strict_guard.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B04_strict_guard\J2D_S3R49SCN_N24_B04_strict_guard.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B04_strict_guard\J2D_S3R49SCN_N24_B04_strict_guard.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run50 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_50_stricter_constrained_N24_N40_batch32_cae_inp_generation,stage3_run49_stricter_constrained_N24_N40_batch32_v01,24,S3R49SCN_N24_B05_two_stage,J2D_S3R49SCN_N24_B05_two_stage,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B05_two_stage,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B05_two_stage\scan_order_S3R49SCN_N24_B05_two_stage.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B05_two_stage\J2D_S3R49SCN_N24_B05_two_stage.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B05_two_stage\J2D_S3R49SCN_N24_B05_two_stage.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B05_two_stage\J2D_S3R49SCN_N24_B05_two_stage.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run50 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_50_stricter_constrained_N24_N40_batch32_cae_inp_generation,stage3_run49_stricter_constrained_N24_N40_batch32_v01,24,S3R49SCN_N24_B06_two_stage,J2D_S3R49SCN_N24_B06_two_stage,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B06_two_stage,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B06_two_stage\scan_order_S3R49SCN_N24_B06_two_stage.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B06_two_stage\J2D_S3R49SCN_N24_B06_two_stage.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B06_two_stage\J2D_S3R49SCN_N24_B06_two_stage.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B06_two_stage\J2D_S3R49SCN_N24_B06_two_stage.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run50 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_50_stricter_constrained_N24_N40_batch32_cae_inp_generation,stage3_run49_stricter_constrained_N24_N40_batch32_v01,24,S3R49SCN_N24_B07_two_stage,J2D_S3R49SCN_N24_B07_two_stage,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B07_two_stage,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B07_two_stage\scan_order_S3R49SCN_N24_B07_two_stage.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B07_two_stage\J2D_S3R49SCN_N24_B07_two_stage.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B07_two_stage\J2D_S3R49SCN_N24_B07_two_stage.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B07_two_stage\J2D_S3R49SCN_N24_B07_two_stage.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run50 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_50_stricter_constrained_N24_N40_batch32_cae_inp_generation,stage3_run49_stricter_constrained_N24_N40_batch32_v01,24,S3R49SCN_N24_B08_two_stage,J2D_S3R49SCN_N24_B08_two_stage,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B08_two_stage,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B08_two_stage\scan_order_S3R49SCN_N24_B08_two_stage.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B08_two_stage\J2D_S3R49SCN_N24_B08_two_stage.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B08_two_stage\J2D_S3R49SCN_N24_B08_two_stage.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B08_two_stage\J2D_S3R49SCN_N24_B08_two_stage.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run50 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_50_stricter_constrained_N24_N40_batch32_cae_inp_generation,stage3_run49_stricter_constrained_N24_N40_batch32_v01,24,S3R49SCN_N24_B09_median_guard,J2D_S3R49SCN_N24_B09_median_guard,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B09_median_guard,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B09_median_guard\scan_order_S3R49SCN_N24_B09_median_guard.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B09_median_guard\J2D_S3R49SCN_N24_B09_median_guard.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B09_median_guard\J2D_S3R49SCN_N24_B09_median_guard.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B09_median_guard\J2D_S3R49SCN_N24_B09_median_guard.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run50 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_50_stricter_constrained_N24_N40_batch32_cae_inp_generation,stage3_run49_stricter_constrained_N24_N40_batch32_v01,24,S3R49SCN_N24_B10_median_guard,J2D_S3R49SCN_N24_B10_median_guard,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B10_median_guard,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B10_median_guard\scan_order_S3R49SCN_N24_B10_median_guard.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B10_median_guard\J2D_S3R49SCN_N24_B10_median_guard.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B10_median_guard\J2D_S3R49SCN_N24_B10_median_guard.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B10_median_guard\J2D_S3R49SCN_N24_B10_median_guard.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run50 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_50_stricter_constrained_N24_N40_batch32_cae_inp_generation,stage3_run49_stricter_constrained_N24_N40_batch32_v01,24,S3R49SCN_N24_B11_peeq_repair,J2D_S3R49SCN_N24_B11_peeq_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B11_peeq_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B11_peeq_repair\scan_order_S3R49SCN_N24_B11_peeq_repair.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B11_peeq_repair\J2D_S3R49SCN_N24_B11_peeq_repair.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B11_peeq_repair\J2D_S3R49SCN_N24_B11_peeq_repair.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run49_stricter_constrained_N24_N40_batch32_v01\N24S3R49SCN_N24_B11_peeq_repair\J2D_S3R49SCN_N24_B11_peeq_repair.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run50 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
