regime,target,feature_set,model,macro_spearman,macro_top5_overlap,macro_top10_overlap,mean_mae,protocols
native_combined328,target_reward_combined328_u2_primary,F01_basic_order,ExtraTreesRegressor,0.8349863849292928,1.5,4.0,0.09893450888761607,4
plus_N32_balanced,target_reward_combined328_plus_N32_mapped_u2_primary,F07_F01_no_n,ExtraTreesRegressor,0.8286129655470909,1.0,4.0,0.10742575614613477,5
native_combined328,target_reward_combined328_u2_primary,F07_F01_no_n,ExtraTreesRegressor,0.8258473125643677,1.5,3.75,0.09676611948548039,4
plus_N32_unweighted,target_reward_combined328_plus_N32_mapped_u2_primary,F07_F01_no_n,ExtraTreesRegressor,0.8254338798295795,1.0,3.6,0.1096240812230378,5
plus_N32_balanced,target_reward_combined328_plus_N32_mapped_u2_primary,F07_F01_no_n,GradientBoostingRegressor,0.8173546359408537,0.8,4.2,0.11350036334815357,5
native_combined328,target_reward_combined328_u2_primary,F05_n_agnostic,ExtraTreesRegressor,0.8165591936966533,0.75,4.25,0.09994927972497632,4
plus_N32_balanced,target_reward_combined328_plus_N32_mapped_u2_primary,F07_F01_no_n,RandomForestRegressor,0.8161920024985957,1.0,3.0,0.10727511548092536,5
plus_N32_balanced,target_reward_combined328_plus_N32_mapped_u2_primary,F01_basic_order,RandomForestRegressor,0.8150033820048987,1.0,3.6,0.10879023318503656,5
native_combined328,target_reward_combined328_u2_primary,F03_family_plus_features,ExtraTreesRegressor,0.8125161042134584,0.25,3.25,0.0984196581890378,4
plus_N32_unweighted,target_reward_combined328_plus_N32_mapped_u2_primary,F01_basic_order,ExtraTreesRegressor,0.8117690005665571,1.4,3.8,0.11408923293980293,5
native_combined328,target_reward_combined328_no_penalty_worse_than_median,F07_F01_no_n,ExtraTreesRegressor,0.811069642120699,1.25,4.25,0.06001656596313641,4
plus_N32_unweighted,target_reward_combined328_plus_N32_mapped_u2_primary,F07_F01_no_n,GradientBoostingRegressor,0.8092469873159557,0.8,3.6,0.11204095898349704,5
native_combined328,target_reward_combined328_u2_primary,F02_full_handcrafted,ExtraTreesRegressor,0.8084973017107422,0.25,3.25,0.09760974634042835,4
native_combined328,target_reward_combined328_u2_primary,F04_no_family_generalization,ExtraTreesRegressor,0.8084973017107422,0.25,3.25,0.09760974634042836,4
native_combined328,target_reward_combined328_u2_primary,F06_no_dataset_source,ExtraTreesRegressor,0.8084973017107422,0.25,3.25,0.09760974634042835,4
plus_N32_unweighted,target_reward_combined328_plus_N32_strict_u2_surfaceT,F07_F01_no_n,ExtraTreesRegressor,0.8065736560364444,1.2,3.2,0.128211884602053,5
plus_N32_unweighted,target_reward_combined328_plus_N32_mapped_u2_primary,F07_F01_no_n,RandomForestRegressor,0.8062592723714154,1.2,3.0,0.1085788093406856,5
native_combined328,target_reward_combined328_u2_primary,F07_F01_no_n,RandomForestRegressor,0.8057117661447002,0.5,3.25,0.09919816590630164,4
plus_N32_balanced,target_reward_combined328_plus_N32_mapped_u2_primary,F01_basic_order,ExtraTreesRegressor,0.8054106992545546,1.0,2.8,0.11344735341922033,5
plus_N32_unweighted,target_reward_combined328_plus_N32_mapped_u2_primary,F05_n_agnostic,ExtraTreesRegressor,0.8053562793207165,0.8,3.0,0.11035102189426575,5
