regime,n,teacher_action_nll,reward_weighted_nll,count
native_combined328,12,1.4008421891791685,1.2353127751069433,36
native_combined328,16,1.4129367943021343,1.155907113165609,36
native_combined328,24,1.5096743497106107,1.1350913591746987,128
native_combined328,40,1.714755045767247,1.2558420735168785,128
plus_N32_unweighted,12,1.4008421891791685,1.2353127751069433,36
plus_N32_unweighted,16,1.4129367943021343,1.155907113165609,36
plus_N32_unweighted,24,1.5096743497106107,1.1350913591746987,128
plus_N32_unweighted,32,2.0231339408719937,1.6278446934498727,332
plus_N32_unweighted,40,1.714755045767247,1.2558420735168785,128
plus_N32_balanced,12,1.4008421891791685,1.2353127751069433,36
plus_N32_balanced,16,1.4129367943021343,1.155907113165609,36
plus_N32_balanced,24,1.5096743497106107,1.1350913591746987,128
plus_N32_balanced,32,2.0231339408719937,1.6278446934498727,332
plus_N32_balanced,40,1.714755045767247,1.2558420735168785,128
