run_id,batch_name,n,handoff_strategy_name,job_name,case_dir,scan_order_json,cae_path,inp_path,jnl_path,generation_status,inp_check_status,teacher_validated,solver_status,notes
run_55_calibrated_N24_N40_batch64_cae_inp_generation,stage3_run54_calibrated_N24_N40_batch64_v01,24,S3R54CAL64_N24_B01_n24_u2ret_top,J2D_S3R54CAL64_N24_B01_n24_u2ret_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B01_n24_u2ret_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B01_n24_u2ret_top\scan_order_S3R54CAL64_N24_B01_n24_u2ret_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B01_n24_u2ret_top\J2D_S3R54CAL64_N24_B01_n24_u2ret_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B01_n24_u2ret_top\J2D_S3R54CAL64_N24_B01_n24_u2ret_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B01_n24_u2ret_top\J2D_S3R54CAL64_N24_B01_n24_u2ret_top.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run55 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_55_calibrated_N24_N40_batch64_cae_inp_generation,stage3_run54_calibrated_N24_N40_batch64_v01,24,S3R54CAL64_N24_B02_n24_u2ret_top,J2D_S3R54CAL64_N24_B02_n24_u2ret_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B02_n24_u2ret_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B02_n24_u2ret_top\scan_order_S3R54CAL64_N24_B02_n24_u2ret_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B02_n24_u2ret_top\J2D_S3R54CAL64_N24_B02_n24_u2ret_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B02_n24_u2ret_top\J2D_S3R54CAL64_N24_B02_n24_u2ret_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B02_n24_u2ret_top\J2D_S3R54CAL64_N24_B02_n24_u2ret_top.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run55 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_55_calibrated_N24_N40_batch64_cae_inp_generation,stage3_run54_calibrated_N24_N40_batch64_v01,24,S3R54CAL64_N24_B03_n24_u2ret_top,J2D_S3R54CAL64_N24_B03_n24_u2ret_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B03_n24_u2ret_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B03_n24_u2ret_top\scan_order_S3R54CAL64_N24_B03_n24_u2ret_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B03_n24_u2ret_top\J2D_S3R54CAL64_N24_B03_n24_u2ret_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B03_n24_u2ret_top\J2D_S3R54CAL64_N24_B03_n24_u2ret_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B03_n24_u2ret_top\J2D_S3R54CAL64_N24_B03_n24_u2ret_top.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run55 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_55_calibrated_N24_N40_batch64_cae_inp_generation,stage3_run54_calibrated_N24_N40_batch64_v01,24,S3R54CAL64_N24_B04_n24_u2ret_top,J2D_S3R54CAL64_N24_B04_n24_u2ret_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B04_n24_u2ret_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B04_n24_u2ret_top\scan_order_S3R54CAL64_N24_B04_n24_u2ret_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B04_n24_u2ret_top\J2D_S3R54CAL64_N24_B04_n24_u2ret_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B04_n24_u2ret_top\J2D_S3R54CAL64_N24_B04_n24_u2ret_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B04_n24_u2ret_top\J2D_S3R54CAL64_N24_B04_n24_u2ret_top.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run55 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_55_calibrated_N24_N40_batch64_cae_inp_generation,stage3_run54_calibrated_N24_N40_batch64_v01,24,S3R54CAL64_N24_B05_n24_u2ret_repair,J2D_S3R54CAL64_N24_B05_n24_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B05_n24_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B05_n24_u2ret_repair\scan_order_S3R54CAL64_N24_B05_n24_u2ret_repair.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B05_n24_u2ret_repair\J2D_S3R54CAL64_N24_B05_n24_u2ret_repair.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B05_n24_u2ret_repair\J2D_S3R54CAL64_N24_B05_n24_u2ret_repair.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B05_n24_u2ret_repair\J2D_S3R54CAL64_N24_B05_n24_u2ret_repair.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run55 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_55_calibrated_N24_N40_batch64_cae_inp_generation,stage3_run54_calibrated_N24_N40_batch64_v01,24,S3R54CAL64_N24_B06_n24_u2ret_repair,J2D_S3R54CAL64_N24_B06_n24_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B06_n24_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B06_n24_u2ret_repair\scan_order_S3R54CAL64_N24_B06_n24_u2ret_repair.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B06_n24_u2ret_repair\J2D_S3R54CAL64_N24_B06_n24_u2ret_repair.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B06_n24_u2ret_repair\J2D_S3R54CAL64_N24_B06_n24_u2ret_repair.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B06_n24_u2ret_repair\J2D_S3R54CAL64_N24_B06_n24_u2ret_repair.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run55 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_55_calibrated_N24_N40_batch64_cae_inp_generation,stage3_run54_calibrated_N24_N40_batch64_v01,24,S3R54CAL64_N24_B07_n24_u2ret_repair,J2D_S3R54CAL64_N24_B07_n24_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B07_n24_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B07_n24_u2ret_repair\scan_order_S3R54CAL64_N24_B07_n24_u2ret_repair.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B07_n24_u2ret_repair\J2D_S3R54CAL64_N24_B07_n24_u2ret_repair.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B07_n24_u2ret_repair\J2D_S3R54CAL64_N24_B07_n24_u2ret_repair.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B07_n24_u2ret_repair\J2D_S3R54CAL64_N24_B07_n24_u2ret_repair.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run55 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_55_calibrated_N24_N40_batch64_cae_inp_generation,stage3_run54_calibrated_N24_N40_batch64_v01,24,S3R54CAL64_N24_B08_n24_u2ret_repair,J2D_S3R54CAL64_N24_B08_n24_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B08_n24_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B08_n24_u2ret_repair\scan_order_S3R54CAL64_N24_B08_n24_u2ret_repair.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B08_n24_u2ret_repair\J2D_S3R54CAL64_N24_B08_n24_u2ret_repair.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B08_n24_u2ret_repair\J2D_S3R54CAL64_N24_B08_n24_u2ret_repair.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B08_n24_u2ret_repair\J2D_S3R54CAL64_N24_B08_n24_u2ret_repair.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run55 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_55_calibrated_N24_N40_batch64_cae_inp_generation,stage3_run54_calibrated_N24_N40_batch64_v01,24,S3R54CAL64_N24_B09_penalty_repair,J2D_S3R54CAL64_N24_B09_penalty_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B09_penalty_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B09_penalty_repair\scan_order_S3R54CAL64_N24_B09_penalty_repair.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B09_penalty_repair\J2D_S3R54CAL64_N24_B09_penalty_repair.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B09_penalty_repair\J2D_S3R54CAL64_N24_B09_penalty_repair.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B09_penalty_repair\J2D_S3R54CAL64_N24_B09_penalty_repair.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run55 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_55_calibrated_N24_N40_batch64_cae_inp_generation,stage3_run54_calibrated_N24_N40_batch64_v01,24,S3R54CAL64_N24_B10_penalty_repair,J2D_S3R54CAL64_N24_B10_penalty_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B10_penalty_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B10_penalty_repair\scan_order_S3R54CAL64_N24_B10_penalty_repair.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B10_penalty_repair\J2D_S3R54CAL64_N24_B10_penalty_repair.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B10_penalty_repair\J2D_S3R54CAL64_N24_B10_penalty_repair.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B10_penalty_repair\J2D_S3R54CAL64_N24_B10_penalty_repair.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run55 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_55_calibrated_N24_N40_batch64_cae_inp_generation,stage3_run54_calibrated_N24_N40_batch64_v01,24,S3R54CAL64_N24_B11_penalty_repair,J2D_S3R54CAL64_N24_B11_penalty_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B11_penalty_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B11_penalty_repair\scan_order_S3R54CAL64_N24_B11_penalty_repair.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B11_penalty_repair\J2D_S3R54CAL64_N24_B11_penalty_repair.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B11_penalty_repair\J2D_S3R54CAL64_N24_B11_penalty_repair.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B11_penalty_repair\J2D_S3R54CAL64_N24_B11_penalty_repair.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run55 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
