n,handoff_strategy_name,inp_path,exists,size_bytes,node_section_exists,element_section_exists,node_entry_count,element_entry_count,scan_sequence_complete,cool_sequence_complete,step_final_cooling_exists,final_cooling_after_last_cool,final_cooling_controls_visible,heat_flux_entries_exist,all_expected_heat_sets_present,heat_order_text_verified,heat_order_note,n40_cool_initialInc_0p001_verified,n40_cool_initialInc_note,solver_output_count,verdict,notes
24,S3R54CAL64_N24_B01_n24_u2ret_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B01_n24_u2ret_top\J2D_S3R54CAL64_N24_B01_n24_u2ret_top.inp,True,84577,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
24,S3R54CAL64_N24_B02_n24_u2ret_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B02_n24_u2ret_top\J2D_S3R54CAL64_N24_B02_n24_u2ret_top.inp,True,84577,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
24,S3R54CAL64_N24_B03_n24_u2ret_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B03_n24_u2ret_top\J2D_S3R54CAL64_N24_B03_n24_u2ret_top.inp,True,84577,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
24,S3R54CAL64_N24_B04_n24_u2ret_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B04_n24_u2ret_top\J2D_S3R54CAL64_N24_B04_n24_u2ret_top.inp,True,84577,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
24,S3R54CAL64_N24_B05_n24_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B05_n24_u2ret_repair\J2D_S3R54CAL64_N24_B05_n24_u2ret_repair.inp,True,84580,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
24,S3R54CAL64_N24_B06_n24_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B06_n24_u2ret_repair\J2D_S3R54CAL64_N24_B06_n24_u2ret_repair.inp,True,84580,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
24,S3R54CAL64_N24_B07_n24_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B07_n24_u2ret_repair\J2D_S3R54CAL64_N24_B07_n24_u2ret_repair.inp,True,84580,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
24,S3R54CAL64_N24_B08_n24_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B08_n24_u2ret_repair\J2D_S3R54CAL64_N24_B08_n24_u2ret_repair.inp,True,84580,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
24,S3R54CAL64_N24_B09_penalty_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B09_penalty_repair\J2D_S3R54CAL64_N24_B09_penalty_repair.inp,True,84578,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
24,S3R54CAL64_N24_B10_penalty_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B10_penalty_repair\J2D_S3R54CAL64_N24_B10_penalty_repair.inp,True,84578,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
24,S3R54CAL64_N24_B11_penalty_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B11_penalty_repair\J2D_S3R54CAL64_N24_B11_penalty_repair.inp,True,84578,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
24,S3R54CAL64_N24_B12_penalty_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B12_penalty_repair\J2D_S3R54CAL64_N24_B12_penalty_repair.inp,True,84578,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
24,S3R54CAL64_N24_B13_penalty_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B13_penalty_repair\J2D_S3R54CAL64_N24_B13_penalty_repair.inp,True,84578,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
24,S3R54CAL64_N24_B14_penalty_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B14_penalty_repair\J2D_S3R54CAL64_N24_B14_penalty_repair.inp,True,84578,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
