group_type,group_value,count,median_u2_rank_combined392,best_u2_rank_combined392,median_reward_rank_combined392,best_reward_rank_combined392,median_strict_guard_rank_combined392,best_strict_guard_rank_combined392,top5_u2_count,top10_u2_count,top5_reward_count,top10_reward_count,top5_strict_guard_count,top10_strict_guard_count
n,24,32,43.0,5.0,38.0,2.0,32.5,2.0,1,3,4,7,4,8
n,40,32,41.0,1.0,45.5,1.0,51.75,1.0,2,5,3,3,3,5
candidate_source,Mises_repair_candidates,4,31.5,20.0,42.5,14.0,68.5,12.0,0,0,0,0,0,0
candidate_source,N24_u2_retention_local_repair,4,29.5,9.0,30.0,5.0,53.5,3.0,0,1,1,1,1,1
candidate_source,N24_u2_retention_top,4,8.5,5.0,9.75,3.0,20.5,10.0,1,2,2,2,0,1
candidate_source,N40_strict_reward_local_repair,4,75.0,42.0,84.0,52.0,95.5,49.5,0,0,0,0,0,0
candidate_source,N40_strict_reward_retention_top,4,60.0,21.0,59.0,35.0,70.0,44.0,0,0,0,0,0,0
candidate_source,PEEQ_repair_candidates,6,22.0,5.0,20.0,2.0,30.5,2.0,1,2,1,2,2,2
candidate_source,SurfaceT_repair_candidates,4,34.5,9.0,44.0,30.5,69.0,41.0,0,1,0,0,0,0
candidate_source,diversity_coverage,1,104.0,104.0,76.0,76.0,62.0,62.0,0,0,0,0,0,0
candidate_source,median_guard_repair,4,54.5,27.0,42.0,22.0,40.0,5.0,0,0,0,0,1,1
candidate_source,no_penalty_worse_than_median,4,41.0,15.0,43.5,7.0,47.75,9.0,0,0,0,1,0,1
candidate_source,penalty_repair_local_search,6,44.25,1.0,36.25,3.0,20.0,4.5,1,1,1,1,1,2
candidate_source,penalty_repair_top,6,30.0,10.0,24.0,1.0,9.0,1.0,0,1,2,2,2,4
candidate_source,sentinel_control,1,155.0,155.0,157.0,157.0,159.0,159.0,0,0,0,0,0,0
candidate_source,two_stage_penalty_repair,10,49.5,11.0,50.0,9.0,44.0,6.0,0,0,0,1,0,1
candidate_source,uncertainty_calibration,2,25.5,12.0,28.75,27.0,38.5,27.0,0,0,0,0,0,0
generation_method,existing_pool_selection,14,30.0,5.0,32.0,1.0,32.0,1.0,1,3,4,4,2,5
generation_method,offline_mutation_or_pointer_proxy,50,45.5,1.0,45.5,2.0,49.75,2.0,2,5,3,6,5,8
selection_bucket,Mises_repair_candidates,4,31.5,20.0,42.5,14.0,68.5,12.0,0,0,0,0,0,0
selection_bucket,N24_u2_retention_local_repair,4,29.5,9.0,30.0,5.0,53.5,3.0,0,1,1,1,1,1
selection_bucket,N24_u2_retention_top,4,8.5,5.0,9.75,3.0,20.5,10.0,1,2,2,2,0,1
selection_bucket,N40_strict_reward_local_repair,4,75.0,42.0,84.0,52.0,95.5,49.5,0,0,0,0,0,0
selection_bucket,N40_strict_reward_retention_top,4,60.0,21.0,59.0,35.0,70.0,44.0,0,0,0,0,0,0
selection_bucket,PEEQ_repair_candidates,6,22.0,5.0,20.0,2.0,30.5,2.0,1,2,1,2,2,2
selection_bucket,SurfaceT_repair_candidates,4,34.5,9.0,44.0,30.5,69.0,41.0,0,1,0,0,0,0
selection_bucket,diversity_coverage,1,104.0,104.0,76.0,76.0,62.0,62.0,0,0,0,0,0,0
selection_bucket,median_guard_repair,4,54.5,27.0,42.0,22.0,40.0,5.0,0,0,0,0,1,1
selection_bucket,no_penalty_worse_than_median,4,41.0,15.0,43.5,7.0,47.75,9.0,0,0,0,1,0,1
selection_bucket,penalty_repair_local_search,6,44.25,1.0,36.25,3.0,20.0,4.5,1,1,1,1,1,2
selection_bucket,penalty_repair_top,6,30.0,10.0,24.0,1.0,9.0,1.0,0,1,2,2,2,4
selection_bucket,sentinel_control,1,155.0,155.0,157.0,157.0,159.0,159.0,0,0,0,0,0,0
selection_bucket,two_stage_penalty_repair,10,49.5,11.0,50.0,9.0,44.0,6.0,0,0,0,1,0,1
selection_bucket,uncertainty_calibration,2,25.5,12.0,28.75,27.0,38.5,27.0,0,0,0,0,0,0
priority_role,constrained_reward_balance,62,39.5,1.0,40.0,1.0,40.5,1.0,3,8,7,10,7,13
priority_role,diversity_coverage,1,104.0,104.0,76.0,76.0,62.0,62.0,0,0,0,0,0,0
priority_role,sentinel_control,1,155.0,155.0,157.0,157.0,159.0,159.0,0,0,0,0,0,0
