regime,target,feature_set,model,macro_spearman,macro_top5_overlap,macro_top10_overlap,mean_mae,protocols
plus_N32_unweighted,target_reward_combined392_plus_N32_mapped_u2_primary,F07_F01_no_n,ExtraTreesRegressor,0.8015235406959332,1.0,3.4,0.12336767818908598,5
native_combined392,target_reward_combined392_u2_primary,F01_basic_order,ExtraTreesRegressor,0.8006031299400806,1.25,3.75,0.10507856095565274,4
plus_N32_balanced,target_reward_combined392_plus_N32_mapped_u2_primary,F07_F01_no_n,RandomForestRegressor,0.797938480665327,0.6,3.4,0.1264411208606071,5
plus_N32_unweighted,target_reward_combined392_plus_N32_mapped_u2_primary,F01_basic_order,RandomForestRegressor,0.7919643649475698,1.0,3.2,0.12410903121755372,5
plus_N32_unweighted,target_reward_combined392_plus_N32_strict_u2_surfaceT,F07_F01_no_n,RandomForestRegressor,0.7911298437195524,1.0,2.8,0.1446523446119178,5
native_combined392,target_reward_combined392_u2_primary,F07_F01_no_n,ExtraTreesRegressor,0.7906318350887669,1.0,4.0,0.10711599023846961,4
plus_N32_unweighted,target_reward_combined392_plus_N32_mapped_u2_primary,F07_F01_no_n,RandomForestRegressor,0.7880889709813369,1.0,3.6,0.12113055458990965,5
plus_N32_unweighted,target_reward_combined392_plus_N32_strict_u2_surfaceT,F03_family_plus_features,GradientBoostingRegressor,0.7823919113635834,0.6,2.6,0.14257595565001308,5
plus_N32_balanced,target_reward_combined392_plus_N32_mapped_u2_primary,F07_F01_no_n,GradientBoostingRegressor,0.7820262297993451,0.6,2.8,0.12286804425154889,5
plus_N32_balanced,target_reward_combined392_plus_N32_mapped_u2_primary,F07_F01_no_n,ExtraTreesRegressor,0.7818915099895888,0.8,3.4,0.12431244299395136,5
native_combined392,target_reward_combined392_no_penalty_worse_than_median,F07_F01_no_n,ExtraTreesRegressor,0.7815393072578622,1.25,4.5,0.061718919268030484,4
plus_N32_balanced,target_reward_combined392_plus_N32_mapped_u2_primary,F01_basic_order,GradientBoostingRegressor,0.7765546160458492,0.6,3.4,0.12642727665174874,5
plus_N32_balanced,target_reward_combined392_plus_N32_mapped_u2_primary,F01_basic_order,RandomForestRegressor,0.7755010599838237,0.6,2.2,0.12827808269321334,5
plus_N32_unweighted,target_reward_combined392_plus_N32_mapped_u2_primary,F05_n_agnostic,RandomForestRegressor,0.7750342167493249,1.0,3.2,0.12024888349280716,5
plus_N32_balanced,target_reward_combined392_plus_N32_strict_u2_surfaceT,F07_F01_no_n,ExtraTreesRegressor,0.774377280903558,1.4,3.4,0.14714316219039353,5
plus_N32_unweighted,target_reward_combined392_plus_N32_strict_u2_surfaceT,F01_basic_order,GradientBoostingRegressor,0.7742838296464157,0.6,2.8,0.15455309586862626,5
plus_N32_balanced,target_reward_combined392_plus_N32_strict_u2_surfaceT,F03_family_plus_features,Ridge,0.7724224536013422,0.4,3.6,0.15057729800651476,5
plus_N32_unweighted,target_reward_combined392_plus_N32_strict_u2_surfaceT,F03_family_plus_features,Ridge,0.7724224536013422,0.4,3.6,0.15057729800651476,5
plus_N32_unweighted,target_reward_combined392_plus_N32_mapped_u2_primary,F01_basic_order,ExtraTreesRegressor,0.7720947877860033,0.8,3.2,0.12663340467000314,5
plus_N32_balanced,target_reward_combined392_plus_N32_strict_u2_surfaceT,F03_family_plus_features,ExtraTreesRegressor,0.7717608313357045,0.4,2.8,0.14723994733178292,5
