regime,n,teacher_action_nll,reward_weighted_nll,count
native_combined392,12,1.4008421891791685,1.2353127751069433,36
native_combined392,16,1.4129367943021343,1.155907113165609,36
native_combined392,24,1.403516376815386,1.0252664403571445,160
native_combined392,40,1.529832383686146,1.0636464162768193,160
plus_N32_unweighted,12,1.4008421891791685,1.2353127751069433,36
plus_N32_unweighted,16,1.4129367943021343,1.155907113165609,36
plus_N32_unweighted,24,1.403516376815386,1.0252664403571445,160
plus_N32_unweighted,32,2.0231339408719937,1.6278446934498727,332
plus_N32_unweighted,40,1.529832383686146,1.0636464162768193,160
plus_N32_balanced,12,1.4008421891791685,1.2353127751069433,36
plus_N32_balanced,16,1.4129367943021343,1.155907113165609,36
plus_N32_balanced,24,1.403516376815386,1.0252664403571445,160
plus_N32_balanced,32,2.0231339408719937,1.6278446934498727,332
plus_N32_balanced,40,1.529832383686146,1.0636464162768193,160
