candidate_id,strategy_name,n,candidate_source,generation_method,selection_bucket,priority_role,surrogate_prediction,predicted_u2_guarded_score,predicted_peeq_guarded_score,predicted_surfaceT_guarded_score,predicted_mises_guarded_score,strict_penalty_guard_score,penalty_repair_score,two_stage_guarded_score,two_stage_penalty_repair_score,no_penalty_worse_than_median_score,N24_maintenance_score,N40_u2_reward_retention_score,N40_penalty_repair_score,gnn_reward_prediction,graph_pointer_policy_score,hybrid_score,constrained_score,uncertainty_score,gnn_vs_surrogate_disagreement,novelty_distance,nearest_existing_teacher_strategy,order_json,order_compact,order_hash,first_track_norm,last_track_norm,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,odd_even_transition_count,mean_signed_jump,jump_std_norm,edge_visit_early_fraction,center_visit_early_fraction,pred_rank_constrained_within_n,batch_option,handoff_strategy_name,teacher_validated,teacher_validation_status,source_from_original_option_A,added_as_extra_N24,custom_batch_source
R58_N24_C02529,N24_R58_N24_C02529_N24_u2_reward_maintenance,24.0,N24_u2_reward_maintenance,offline_mutation_or_pointer_proxy,N24_u2_reward_maintenance,constrained_reward_balance,0.8163522012578619,0.8152936001236464,0.7938522012578619,0.8163522012578619,0.8163522012578619,0.8091787608041756,0.8092846209175971,0.8112137206340434,0.8101316908608864,0.7938522012578619,0.8130101880253477,0.8101979006907541,0.8092846209175971,0.7854372436423299,0.7996219281663516,0.8137846209175972,0.8089220027701493,0.0380095531858839,0.0309149576155319,0.1666666666666666,S3R49SCN_N24_B09_median_guard,"[22,21,19,11,1,3,5,7,15,13,9,17,23,0,2,4,10,8,6,12,14,16,18,20]",22-21-19-11-1-3-5-7-15-13-9-17-23-0-2-4-10-8-6-12-14-16-18-20,23cf60e76bb66347,0.9565217391304348,0.8695652173913043,0.2003780718336484,1.0,1.0,1.0,0.0869565217391304,0.0434782608695652,7.0,2.0,-0.0037807183364839,0.2046308342457699,0.0,0.1666666666666666,1.0,N40_focused_calibrated_penalty_repair_batch32,S3R58N40_N24_B01_n24_u2_reward_maintenance,False,NOT_RUN,True,False,run58_option_A
R58_N24_C00513,N24_R58_N24_C00513_N24_u2_reward_maintenance,24.0,N24_u2_reward_maintenance,offline_mutation_or_pointer_proxy,N24_u2_reward_maintenance,constrained_reward_balance,0.8163522012578619,0.8149911426567277,0.7938522012578619,0.8163522012578619,0.8163522012578619,0.8090577778174082,0.8091938836775215,0.8110473690272382,0.810025830747465,0.7938522012578619,0.8127881842446294,0.8100466719572947,0.8091938836775215,0.7854372436423299,0.7920604914933838,0.8136938836775216,0.8087919460593741,0.0272671549816852,0.0309149576155319,0.1666666666666666,S3R49SCN_N24_B09_median_guard,"[22,21,19,11,1,3,5,7,9,13,15,17,23,0,10,12,6,8,2,4,14,16,18,20]",22-21-19-11-1-3-5-7-9-13-15-17-23-0-10-12-6-8-2-4-14-16-18-20,ca3ea4f9584d6dd0,0.9565217391304348,0.8695652173913043,0.2079395085066162,1.0,1.0,1.0,0.0869565217391304,0.0434782608695652,7.0,2.0,-0.0037807183364839,0.2114331026348648,0.0,0.1666666666666666,2.0,N40_focused_calibrated_penalty_repair_batch32,S3R58N40_N24_B02_n24_u2_reward_maintenance,False,NOT_RUN,True,False,run58_option_A
R58_N24_C00853,N24_R58_N24_C00853_N24_u2_reward_maintenance,24.0,N24_u2_reward_maintenance,offline_mutation_or_pointer_proxy,N24_u2_reward_maintenance,constrained_reward_balance,0.8163522012578619,0.8149911426567277,0.7938522012578619,0.8163522012578619,0.8163522012578619,0.8090577778174082,0.8091938836775215,0.8110473690272382,0.810025830747465,0.7938522012578619,0.8127881842446294,0.8100466719572947,0.8091938836775215,0.7854372436423299,0.7920604914933838,0.8136938836775216,0.8087919460593741,0.0234662890585089,0.0309149576155319,0.1666666666666666,S3R49SCN_N24_B09_median_guard,"[22,21,19,11,1,3,5,7,9,13,15,17,23,0,2,4,14,16,10,12,6,8,18,20]",22-21-19-11-1-3-5-7-9-13-15-17-23-0-2-4-14-16-10-12-6-8-18-20,3a1f8675972559a5,0.9565217391304348,0.8695652173913043,0.2079395085066162,1.0,1.0,1.0,0.0869565217391304,0.0434782608695652,7.0,2.0,-0.0037807183364839,0.2114331026348648,0.0,0.1666666666666666,3.0,N40_focused_calibrated_penalty_repair_batch32,S3R58N40_N24_B03_n24_u2_reward_maintenance,False,NOT_RUN,True,False,run58_option_A
R58_N24_C02717,N24_R58_N24_C02717_N24_penalty_repair_diagnostic,24.0,N24_penalty_repair_diagnostic,offline_mutation_or_pointer_proxy,N24_penalty_repair_diagnostic,constrained_reward_balance,0.8099056603773584,0.809754431643899,0.7874056603773585,0.8099056603773584,0.8099056603773584,0.8030951688839747,0.8031102917573205,0.8052662345739559,0.8040027303206477,0.7874056603773585,0.8072296584869992,0.8042050460106287,0.8031102917573205,0.7792485643970467,0.8223062381852552,0.8076102917573207,0.8028656320219709,0.0298025695395442,0.0306570959803117,0.1666666666666666,S3R44CNS_N24_B16_uncertainty,"[22,17,15,13,9,5,7,3,1,11,19,21,23,0,2,4,6,10,8,12,14,16,18,20]",22-17-15-13-9-5-7-3-1-11-19-21-23-0-2-4-6-10-8-12-14-16-18-20,f957b5762108e291,0.9565217391304348,0.8695652173913043,0.1776937618147448,1.0,0.0,1.0,0.0869565217391304,0.0,7.0,2.0,-0.0037807183364839,0.1965064498285984,0.0,0.0,6.0,N40_focused_calibrated_penalty_repair_batch32,S3R58N40_N24_B04_n24_penalty_diagnostic,False,NOT_RUN,True,False,run58_option_A
R58_N24_C02934,N24_R58_N24_C02934_N24_penalty_repair_diagnostic,24.0,N24_penalty_repair_diagnostic,offline_mutation_or_pointer_proxy,N24_penalty_repair_diagnostic,constrained_reward_balance,0.8099056603773584,0.809754431643899,0.7874056603773585,0.8099056603773584,0.8099056603773584,0.8030951688839747,0.8031102917573205,0.8052662345739559,0.8040027303206477,0.7874056603773585,0.8072296584869992,0.8042050460106287,0.8031102917573205,0.7792485643970467,0.8223062381852552,0.8076102917573207,0.8028656320219709,0.024849024122997,0.0306570959803117,0.1666666666666666,S3R44CNS_N24_B16_uncertainty,"[22,17,15,13,9,7,3,5,1,11,19,21,23,0,2,4,6,8,12,10,14,16,18,20]",22-17-15-13-9-7-3-5-1-11-19-21-23-0-2-4-6-8-12-10-14-16-18-20,c813a3795568c13e,0.9565217391304348,0.8695652173913043,0.1776937618147448,1.0,0.0,1.0,0.0869565217391304,0.0,7.0,2.0,-0.0037807183364839,0.1965064498285983,0.0,0.0,7.0,N40_focused_calibrated_penalty_repair_batch32,S3R58N40_N24_B05_n24_penalty_diagnostic,False,NOT_RUN,True,False,run58_option_A
R58_N24_C02665,N24_R58_N24_C02665_N24_uncertainty_calibration,24.0,N24_uncertainty_calibration,offline_mutation_or_pointer_proxy,N24_uncertainty_calibration,constrained_reward_balance,0.7101119721473497,0.713817076117104,0.6876119721473497,0.7101119721473497,0.7101119721473497,0.7048440137352514,0.704473503338276,0.7075935293307146,0.7055587585367638,0.6876119721473497,0.7102665184611493,0.7063395241322268,0.704473503338276,0.6843161889136296,0.831758034026465,0.7089735033382759,0.7047301668543441,0.0325537283312551,0.0257957832337201,0.1666666666666666,S3R44CNS_N24_B16_uncertainty,"[22,20,15,13,9,7,5,3,1,11,19,21,23,0,4,2,6,8,10,12,14,16,18,17]",22-20-15-13-9-7-5-3-1-11-19-21-23-0-4-2-6-8-10-12-14-16-18-17,173735b4864ea3a7,0.9565217391304348,0.7391304347826086,0.1682419659735349,1.0,1.0,1.0,0.1304347826086956,0.0434782608695652,6.0,3.0,-0.0094517958412098,0.1991616966512805,0.0,0.0,109.0,N40_focused_calibrated_penalty_repair_batch32,S3R58N40_N24_B06_n24_uncertainty_calibration,False,NOT_RUN,True,False,run58_option_A
R58_N24_C01099,N24_R58_N24_C01099_N24_diversity_coverage,24.0,N24_diversity_coverage,offline_mutation_or_pointer_proxy,N24_diversity_coverage,constrained_reward_balance,0.3580267295597486,0.4250966728489735,0.3442223817336616,0.3576176386506577,0.3580267295597486,0.3806315843457943,0.3739041354714173,0.1062741682122433,0.0850193345697947,0.3442223817336616,0.4056435086455022,0.3880492506114756,0.3739041354714173,0.3637056603773587,0.6767485822306238,0.3767263686729982,0.3825199573480284,0.0956088668273986,0.00567893081761,0.75,S3R39N2440B60_N24_B29_uncertainty,"[1,6,11,16,21,2,7,12,17,22,3,8,13,18,23,4,9,14,19,0,5,10,15,20]",1-6-11-16-21-2-7-12-17-22-3-8-13-18-23-4-9-14-19-0-5-10-15-20,e0e1ba69329bec9f,0.0434782608695652,0.8695652173913043,0.3232514177693762,0.8260869565217391,0.0,4.0,1.0,0.0,8.0,23.0,0.0359168241965973,0.2307167682781453,0.0,0.1666666666666666,1740.0,N40_focused_calibrated_penalty_repair_batch32,S3R58N40_N24_B07_n24_diversity_coverage,False,NOT_RUN,True,False,run58_option_A
R58_N24_C00004,N24_R58_N24_C00004_N24_sentinel_control,24.0,N24_sentinel_control,offline_mutation_or_pointer_proxy,N24_sentinel_control,constrained_reward_balance,0.0466981132075471,0.1249589827727645,0.0466981132075471,0.0466981132075471,0.0466981132075471,0.078002461033634,0.0701763740771123,0.0312397456931911,0.0249917965545529,0.0466981132075471,0.1041415914684166,0.0858285479901558,0.0701763740771123,0.0648301886792452,0.9565217391304348,0.0701763740771123,0.0611502871205906,0.0813803357615813,0.0181320754716981,0.0,N24_A01_raster_left_to_right,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23,1285a2fd4be5bc11,0.0,1.0,0.0434782608695652,0.0434782608695652,23.0,0.0,1.0,1.0,0.0,23.0,0.0434782608695652,0.0,0.1666666666666666,0.0,3000.0,N40_focused_calibrated_penalty_repair_batch32,S3R58N40_N24_B08_n24_sentinel_control,False,NOT_RUN,True,False,run58_option_A
R58_N24_C01753,N24_R58_N24_C01753_N24_u2_reward_maintenance,24.0,N24_u2_reward_maintenance,offline_mutation_or_pointer_proxy,N24_u2_reward_maintenance,constrained_reward_balance,0.7437657232704404,0.743614494536981,0.7212657232704405,0.7437657232704404,0.7437657232704404,0.7369552317770567,0.7369703546504026,0.7391262974670378,0.7378627932137297,0.7212657232704405,0.7410897213800812,0.7380651089037108,0.7369703546504026,0.7157542247744054,0.8223062381852552,0.7414703546504027,0.7367256949150528,0.0306959893967916,0.028011498496035,0.7083333333333334,S3R44CNS_N24_B14_hybrid_disagree,"[10,8,6,4,2,0,23,17,15,13,9,7,5,3,1,11,19,21,22,12,14,16,18,20]",10-8-6-4-2-0-23-17-15-13-9-7-5-3-1-11-19-21-22-12-14-16-18-20,b00cd524dca86995,0.4347826086956521,0.8695652173913043,0.1776937618147448,1.0,1.0,1.0,0.0869565217391304,0.0434782608695652,5.0,2.0,0.0189035916824196,0.2078879468638415,0.1666666666666666,0.0,71.0,,,,,False,True,run58_candidate_pool_extra_N24
R58_N24_C02293,N24_R58_N24_C02293_N24_u2_reward_maintenance,24.0,N24_u2_reward_maintenance,offline_mutation_or_pointer_proxy,N24_u2_reward_maintenance,constrained_reward_balance,0.7434777628032345,0.7439314490036125,0.7209777628032346,0.7434777628032345,0.7434777628032345,0.7369092372833856,0.7368638686633479,0.7391710402134425,0.7377865529733669,0.7209777628032346,0.7412457684743119,0.7380796059034235,0.7368638686633479,0.7154777827258877,0.8374291115311909,0.7413638686633478,0.736697847869397,0.0424040386948654,0.0279999800773468,0.5416666666666666,S3R44CNS_N24_B01_reward_balanced,"[20,18,16,14,12,10,8,6,4,2,0,23,17,15,13,9,7,5,3,1,11,19,21,22]",20-18-16-14-12-10-8-6-4-2-0-23-17-15-13-9-7-5-3-1-11-19-21-22,a50a84f9178306d9,0.8695652173913043,0.9565217391304348,0.162570888468809,1.0,1.0,1.0,0.0869565217391304,0.0434782608695652,3.0,2.0,0.0037807183364839,0.2011789821835691,0.0,0.1666666666666666,72.0,,,,,False,True,run58_candidate_pool_extra_N24
