batch_name,n,handoff_strategy_name,expected_future_case_root,expected_future_case_dir,expected_future_job_name,expected_future_inp_path,cae_inp_generated,teacher_validated
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,24,S3R59N40PR40_N24_B01_n24_diversity,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B01_n24_diversity,J2D_S3R59N40PR40_N24_B01_n24_diversity,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B01_n24_diversity\J2D_S3R59N40PR40_N24_B01_n24_diversity.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,24,S3R59N40PR40_N24_B02_n24_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B02_n24_penalty,J2D_S3R59N40PR40_N24_B02_n24_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B02_n24_penalty\J2D_S3R59N40PR40_N24_B02_n24_penalty.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,24,S3R59N40PR40_N24_B03_n24_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B03_n24_penalty,J2D_S3R59N40PR40_N24_B03_n24_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B03_n24_penalty\J2D_S3R59N40PR40_N24_B03_n24_penalty.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,24,S3R59N40PR40_N24_B04_n24_sentinel,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B04_n24_sentinel,J2D_S3R59N40PR40_N24_B04_n24_sentinel,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B04_n24_sentinel\J2D_S3R59N40PR40_N24_B04_n24_sentinel.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,24,S3R59N40PR40_N24_B05_n24_maint,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B05_n24_maint,J2D_S3R59N40PR40_N24_B05_n24_maint,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B05_n24_maint\J2D_S3R59N40PR40_N24_B05_n24_maint.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,24,S3R59N40PR40_N24_B06_n24_maint,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B06_n24_maint,J2D_S3R59N40PR40_N24_B06_n24_maint,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B06_n24_maint\J2D_S3R59N40PR40_N24_B06_n24_maint.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,24,S3R59N40PR40_N24_B07_n24_maint,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B07_n24_maint,J2D_S3R59N40PR40_N24_B07_n24_maint,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B07_n24_maint\J2D_S3R59N40PR40_N24_B07_n24_maint.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,24,S3R59N40PR40_N24_B08_n24_uncertainty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B08_n24_uncertainty,J2D_S3R59N40PR40_N24_B08_n24_uncertainty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B08_n24_uncertainty\J2D_S3R59N40PR40_N24_B08_n24_uncertainty.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,24,S3R59N40PR40_N24_B09_n24_diversity,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B09_n24_diversity,J2D_S3R59N40PR40_N24_B09_n24_diversity,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B09_n24_diversity\J2D_S3R59N40PR40_N24_B09_n24_diversity.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,24,S3R59N40PR40_N24_B10_n24_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B10_n24_penalty,J2D_S3R59N40PR40_N24_B10_n24_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B10_n24_penalty\J2D_S3R59N40PR40_N24_B10_n24_penalty.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,24,S3R59N40PR40_N24_B11_n24_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B11_n24_penalty,J2D_S3R59N40PR40_N24_B11_n24_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B11_n24_penalty\J2D_S3R59N40PR40_N24_B11_n24_penalty.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,24,S3R59N40PR40_N24_B12_n24_maint,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B12_n24_maint,J2D_S3R59N40PR40_N24_B12_n24_maint,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B12_n24_maint\J2D_S3R59N40PR40_N24_B12_n24_maint.inp,False,False
