n,metric,strategy_name,dataset_source,value
24,U2,S3R59N40PR40_N24_B03_n24_penalty,run61_custom_N40_focused_batch40,4.353990880190395e-05
24,PEEQ,S3R59N40PR40_N24_B09_n24_diversity,run61_custom_N40_focused_batch40,0.1492166519165039
24,SurfaceT,S3R59N40PR40_N24_B13_n24_maint,run61_custom_N40_focused_batch40,581617920.0
24,Mises,S3R59N40PR40_N24_B01_n24_diversity,run61_custom_N40_focused_batch40,579942912.0
24,reward_run61_u2_primary,S3R59N40PR40_N24_B02_n24_penalty,run61_custom_N40_focused_batch40,0.8983333333333333
24,reward_run61_constrained_u2_reward_balanced,S3R59N40PR40_N24_B02_n24_penalty,run61_custom_N40_focused_batch40,0.8766666666666667
24,reward_run61_strict_penalty_guard,S3R59N40PR40_N24_B02_n24_penalty,run61_custom_N40_focused_batch40,0.87
24,reward_run61_penalty_repair,S3R59N40PR40_N24_B02_n24_penalty,run61_custom_N40_focused_batch40,0.8516666666666667
40,U2,S3R59N40PR40_N40_B17_n40_two_stage,run61_custom_N40_focused_batch40,5.130235695105512e-05
40,PEEQ,S3R59N40PR40_N40_B06_n40_no_median,run61_custom_N40_focused_batch40,0.1516209989786148
40,SurfaceT,S3R59N40PR40_N40_B09_n40_penalty_repair,run61_custom_N40_focused_batch40,582004416.0
40,Mises,S3R59N40PR40_N40_B02_n40_peeq_repair,run61_custom_N40_focused_batch40,579926528.0
40,reward_run61_u2_primary,S3R59N40PR40_N40_B17_n40_two_stage,run61_custom_N40_focused_batch40,0.923913043478261
40,reward_run61_constrained_u2_reward_balanced,S3R59N40PR40_N40_B17_n40_two_stage,run61_custom_N40_focused_batch40,0.8760869565217392
40,reward_run61_strict_penalty_guard,S3R59N40PR40_N40_B17_n40_two_stage,run61_custom_N40_focused_batch40,0.8652173913043478
40,reward_run61_penalty_repair,S3R59N40PR40_N40_B08_n40_penalty_repair,run61_custom_N40_focused_batch40,0.8478260869565217
