record_set,dataset_source,n,count,best_U2_strategy,best_U2_value,best_PEEQ_strategy,best_PEEQ_value,best_SurfaceT_strategy,best_SurfaceT_value,best_Mises_strategy,best_Mises_value,best_target_reward_combined432_u2_primary_strategy,best_target_reward_combined432_u2_primary_value,best_target_reward_combined432_constrained_u2_reward_balanced_strategy,best_target_reward_combined432_constrained_u2_reward_balanced_value,best_target_reward_combined432_strict_penalty_guard_strategy,best_target_reward_combined432_strict_penalty_guard_value,best_target_reward_combined432_penalty_repair_strategy,best_target_reward_combined432_penalty_repair_value,top5_reward_entries_in_combined432,top10_reward_entries_in_combined432
Run61,run61_custom_N40_focused_batch40,24,16,S3R59N40PR40_N24_B03_n24_penalty,4.353990880190395e-05,S3R59N40PR40_N24_B09_n24_diversity,0.1492166519165039,S3R59N40PR40_N24_B13_n24_maint,581617920.0,S3R59N40PR40_N24_B01_n24_diversity,579942912.0,S3R59N40PR40_N24_B02_n24_penalty,0.7780000000000001,S3R59N40PR40_N24_B02_n24_penalty,0.764,S3R59N40PR40_N24_B02_n24_penalty,0.756,S3R59N40PR40_N24_B02_n24_penalty,0.7477142857142857,0,0
Run56,run56_calibrated_N24_N40_batch64,24,32,S3R54CAL64_N24_B04_n24_u2ret_top,3.356376646479475e-05,S3R54CAL64_N24_B20_median_guard,0.1517210751771927,S3R54CAL64_N24_B10_penalty_repair,580972224.0,S3R54CAL64_N24_B14_penalty_repair,579943488.0,S3R54CAL64_N24_B09_penalty_repair,0.8482857142857143,S3R54CAL64_N24_B09_penalty_repair,0.8422857142857143,S3R54CAL64_N24_B09_penalty_repair,0.844,S3R54CAL64_N24_B09_penalty_repair,0.8345714285714286,4,7
Run51,run51_stricter_constrained_N24_N40_batch32,24,16,S3R49SCN_N24_B09_median_guard,2.9523077955673216e-05,S3R49SCN_N24_B07_two_stage,0.1539869755506515,S3R49SCN_N24_B03_strict_guard,581865344.0,S3R49SCN_N24_B15_mises_repair,579943488.0,S3R49SCN_N24_B09_median_guard,0.820857142857143,S3R49SCN_N24_B09_median_guard,0.7557142857142858,S3R49SCN_N24_B09_median_guard,0.7005714285714286,S3R49SCN_N24_B06_two_stage,0.6748571428571428,0,1
Run46,run46_constrained_N24_N40_batch32,24,16,S3R44CNS_N24_B14_hybrid_disagree,3.166340729876538e-05,S3R44CNS_N24_B16_uncertainty,0.1528085321187973,S3R44CNS_N24_B07_surfacet_guarded,581497728.0,S3R44CNS_N24_B03_constr_surrogate,579943360.0,S3R44CNS_N24_B16_uncertainty,0.8734285714285716,S3R44CNS_N24_B16_uncertainty,0.8591428571428572,S3R44CNS_N24_B16_uncertainty,0.8548571428571429,S3R44CNS_N24_B16_uncertainty,0.8402857142857142,1,2
Run41,run41_native_N24_N40_focused_batch60,24,30,S3R39N2440B60_N24_B08_n24_u2_near,3.7988751273587695e-05,S3R39N2440B60_N24_B12_surrogate_top,0.1496064215898513,S3R39N2440B60_N24_B17_diversity,581337792.0,S3R39N2440B60_N24_B17_diversity,579942848.0,S3R39N2440B60_N24_B07_n24_u2_near,0.7674285714285716,S3R39N2440B60_N24_B07_n24_u2_near,0.7242857142857142,S3R39N2440B60_N24_B07_n24_u2_near,0.7217142857142856,S3R39N2440B60_N24_B07_n24_u2_near,0.6862857142857143,0,0
Run36,run36_N32_informed_native_batch32,24,12,S3R34N32INF_N24_B10_n24_calibration,3.273940910730744e-05,S3R34N32INF_N24_B02_surrogate_top,0.1497802585363388,S3R34N32INF_N24_B01_graph_pointer,581126080.0,S3R34N32INF_N24_B05_uncertainty,579943296.0,S3R34N32INF_N24_B10_n24_calibration,0.7872857142857144,S3R34N32INF_N24_B11_n24_calibration,0.7234285714285715,S3R34N32INF_N24_B01_graph_pointer,0.6891428571428572,S3R34N32INF_N24_B01_graph_pointer,0.6945714285714285,0,0
Run61,run61_custom_N40_focused_batch40,40,24,S3R59N40PR40_N40_B17_n40_two_stage,5.130235695105512e-05,S3R59N40PR40_N40_B06_n40_no_median,0.1516209989786148,S3R59N40PR40_N40_B09_n40_penalty_repair,582004416.0,S3R59N40PR40_N40_B02_n40_peeq_repair,579926528.0,S3R59N40PR40_N40_B17_n40_two_stage,0.926775956284153,S3R59N40PR40_N40_B17_n40_two_stage,0.8775956284153005,S3R59N40PR40_N40_B08_n40_penalty_repair,0.868306010928962,S3R59N40PR40_N40_B08_n40_penalty_repair,0.8523224043715847,3,5
Run56,run56_calibrated_N24_N40_batch64,40,32,S3R54CAL64_N40_B12_penalty_repair,5.201993008085992e-05,S3R54CAL64_N40_B32_diversity,0.1480723470449447,S3R54CAL64_N40_B14_penalty_repair,582003392.0,S3R54CAL64_N40_B21_median_guard,579925888.0,S3R54CAL64_N40_B11_penalty_repair,0.8916666666666667,S3R54CAL64_N40_B11_penalty_repair,0.8728142076502732,S3R54CAL64_N40_B11_penalty_repair,0.8693989071038253,S3R54CAL64_N40_B11_penalty_repair,0.8525956284153005,2,3
Run51,run51_stricter_constrained_N24_N40_batch32,40,16,S3R49SCN_N40_B04_strict_guard,6.170961933094077e-05,S3R49SCN_N40_B09_median_guard,0.1534324586391449,S3R49SCN_N40_B05_two_stage,581980672.0,S3R49SCN_N40_B11_peeq_repair,579926528.0,S3R49SCN_N40_B09_median_guard,0.8523224043715848,S3R49SCN_N40_B09_median_guard,0.8377049180327869,S3R49SCN_N40_B09_median_guard,0.8363387978142076,S3R49SCN_N40_B09_median_guard,0.8247267759562841,0,1
Run46,run46_constrained_N24_N40_batch32,40,16,S3R44CNS_N40_B01_reward_balanced,5.7689914683578536e-05,S3R44CNS_N40_B08_surfacet_guarded,0.1534235626459121,S3R44CNS_N40_B05_peeq_guarded,581921728.0,S3R44CNS_N40_B04_constr_surrogate,579926528.0,S3R44CNS_N40_B05_peeq_guarded,0.85,S3R44CNS_N40_B05_peeq_guarded,0.7978142076502732,S3R44CNS_N40_B08_surfacet_guarded,0.7939890710382516,S3R44CNS_N40_B08_surfacet_guarded,0.76775956284153,0,0
Run41,run41_native_N24_N40_focused_batch60,40,30,S3R39N2440B60_N40_B04_n40_u2_near,6.792713247705251e-05,S3R39N2440B60_N40_B10_surrogate_top,0.1440253555774688,S3R39N2440B60_N40_B01_n40_u2_near,581616832.0,S3R39N2440B60_N40_B25_diversity,579924352.0,S3R39N2440B60_N40_B04_n40_u2_near,0.8342896174863389,S3R39N2440B60_N40_B04_n40_u2_near,0.8065573770491803,S3R39N2440B60_N40_B02_n40_u2_near,0.8103825136612022,S3R39N2440B60_N40_B02_n40_u2_near,0.8095628415300546,0,0
Run36,run36_N32_informed_native_batch32,40,12,S3R34N32INF_N40_B08_n40_best_near,5.696606240235269e-05,S3R34N32INF_N40_B06_diversity,0.1472502499818802,S3R34N32INF_N40_B10_n40_best_near,581764736.0,S3R34N32INF_N40_B06_diversity,579925120.0,S3R34N32INF_N40_B08_n40_best_near,0.8329234972677596,S3R34N32INF_N40_B08_n40_best_near,0.7803278688524589,S3R34N32INF_N40_B10_n40_best_near,0.7521857923497268,S3R34N32INF_N40_B10_n40_best_near,0.7173497267759562,0,0
