candidate_id,strategy_name,n,candidate_source,generation_method,selection_bucket,priority_role,surrogate_prediction,predicted_u2_guarded_score,predicted_peeq_guarded_score,predicted_surfaceT_guarded_score,predicted_mises_guarded_score,strict_penalty_guard_score,penalty_repair_score,two_stage_guarded_score,two_stage_penalty_repair_score,no_penalty_worse_than_median_score,N24_maintenance_score,N40_u2_reward_retention_score,N40_penalty_repair_score,N12_recovery_score,N16_recovery_score,variable_N_recovery_score,N40_followup_score,gnn_reward_prediction,graph_pointer_policy_score,hybrid_score,constrained_score,uncertainty_score,gnn_vs_surrogate_disagreement,novelty_distance,nearest_existing_teacher_strategy,order_json,order_compact,order_hash,first_track_norm,last_track_norm,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,odd_even_transition_count,mean_signed_jump,jump_std_norm,edge_visit_early_fraction,center_visit_early_fraction,pred_rank_constrained_within_n,batch_option,handoff_strategy_name,teacher_validated,teacher_validation_status
R63_N12_C00420,N12_R63_N12_C00420_N12_recovery_anchor_top,12.0,N12_recovery_anchor_top,existing_pool_selection,N12_recovery_anchor_top,constrained_reward_balance,0.7814285714285716,0.7784533648170013,0.7634740259740261,0.7814285714285716,0.7814285714285716,0.77485212514758,0.7751496458087368,0.7761564123376625,0.7757190672963402,0.7634740259740261,0.7754523317591501,0.7754523317591501,0.7751496458087368,0.7759314639905551,0.7756318772136956,0.7757966499409684,0.7753997387839434,0.7519896103896105,0.743801652892562,0.778740554899646,0.756552465023613,0.01887631780165438,0.029438961038961042,0.0,S3B20_N12_B02_diversity_top,"[1,11,9,7,5,3,0,2,4,6,8,10]",1-11-9-7-5-3-0-2-4-6-8-10,cea9436fc85171ab,0.09090909090909091,0.9090909090909091,0.25619834710743805,0.9090909090909091,0.0,1.0,0.09090909090909091,0.0,2.0,1.0,0.0743801652892562,0.20809385639692846,0.3333333333333333,0.0,4.0,smallN_recovery_batch32,S3R63REC_N12_B01_n12_anchor_top,False,NOT_RUN
R63_N12_C00045,N12_R63_N12_C00045_N12_recovery_anchor_top,12.0,N12_recovery_anchor_top,existing_pool_selection,N12_recovery_anchor_top,constrained_reward_balance,0.689145042935207,0.6855086792988434,0.6711904974806615,0.687645042935207,0.689145042935207,0.6820041338442979,0.6822927702079343,0.6832729974806615,0.6828628838442979,0.6711904974806615,0.6826132247533887,0.6826132247533887,0.6822927702079343,0.683064133844298,0.6827777702079343,0.6829352702079343,0.6825509974806615,0.6633974230359805,0.7272727272727273,0.6861086792988433,0.6828925474806615,0.02321282701655209,0.02574761989922647,0.16666666666666666,S3B20_N12_B02_diversity_top,"[1,11,9,7,5,3,4,2,0,6,8,10]",1-11-9-7-5-3-4-2-0-6-8-10,278b20a302510f0d,0.09090909090909091,0.9090909090909091,0.2727272727272727,0.9090909090909091,1.0,2.0,0.09090909090909091,0.09090909090909091,4.0,1.0,0.0743801652892562,0.22932953595886954,0.3333333333333333,0.0,19.0,smallN_recovery_batch32,S3R63REC_N12_B02_n12_anchor_top,False,NOT_RUN
R63_N12_C01649,N12_R63_N12_C01649_N12_recovery_anchor_top,12.0,N12_recovery_anchor_top,existing_pool_selection,N12_recovery_anchor_top,constrained_reward_balance,0.6710523028883684,0.6667547822272114,0.6710523028883684,0.6695523028883683,0.6710523028883684,0.6690332946239056,0.6693880466900213,0.6684524165247321,0.6692069206569634,0.6695523028883683,0.6686785425577899,0.6686785425577899,0.6693880466900213,0.6685775921445667,0.6686635425577899,0.6686162698305171,0.6690325446239056,0.6460283925910154,0.7107438016528926,0.6696130466900213,0.6686591865660544,0.006035996798441929,0.025023910297352958,0.3333333333333333,S3R19B28_N12_B02_u2_primary_top,"[1,7,11,9,3,5,0,2,4,6,8,10]",1-7-11-9-3-5-0-2-4-6-8-10,1060a2785b03891f,0.09090909090909091,0.9090909090909091,0.2892561983471074,0.5454545454545454,0.0,2.0,0.09090909090909091,0.0,4.0,1.0,0.0743801652892562,0.14921876103527099,0.3333333333333333,0.0,24.0,smallN_recovery_batch32,S3R63REC_N12_B03_n12_anchor_top,False,NOT_RUN
R63_N12_C02236,N12_R63_N12_C02236_N12_recovery_anchor_top,12.0,N12_recovery_anchor_top,existing_pool_selection,N12_recovery_anchor_top,constrained_reward_balance,0.6710523028883684,0.6667547822272114,0.6710523028883684,0.6695523028883683,0.6710523028883684,0.6690332946239056,0.6693880466900213,0.6684524165247321,0.6692069206569634,0.6695523028883683,0.6686785425577899,0.6686785425577899,0.6693880466900213,0.6685775921445667,0.6686635425577899,0.6686162698305171,0.6690325446239056,0.6460283925910154,0.7107438016528926,0.6696130466900213,0.6686591865660544,0.023298240338669216,0.025023910297352958,0.3333333333333333,S3B20_N12_B02_diversity_top,"[1,7,9,11,5,3,0,2,4,8,6,10]",1-7-9-11-5-3-0-2-4-8-6-10,f2a9674773c2199d,0.09090909090909091,0.9090909090909091,0.2892561983471074,0.5454545454545454,0.0,2.0,0.09090909090909091,0.0,4.0,1.0,0.0743801652892562,0.13878393077476583,0.0,0.0,25.0,smallN_recovery_batch32,S3R63REC_N12_B04_n12_anchor_top,False,NOT_RUN
R63_N12_C00234,N12_R63_N12_C00234_N12_recovery_anchor_local_search,12.0,N12_recovery_anchor_local_search,offline_mutation_or_pointer_proxy,N12_recovery_anchor_local_search,constrained_reward_balance,0.7814285714285716,0.7784533648170013,0.7589285714285716,0.7814285714285716,0.7814285714285716,0.7734884887839436,0.7737860094451005,0.7752359577922081,0.774537249114522,0.7589285714285716,0.7743159681227865,0.7743159681227865,0.7737860094451005,0.7749314639905551,0.7745409681227865,0.7747557408500593,0.7741747387839435,0.7519896103896105,0.743801652892562,0.7782860094451006,0.7746917832054311,0.025694187716637278,0.029438961038961042,0.3333333333333333,S3B20_N12_B02_diversity_top,"[1,3,5,7,9,11,0,2,4,6,8,10]",1-3-5-7-9-11-0-2-4-6-8-10,8aadf6f90209956f,0.09090909090909091,0.9090909090909091,0.25619834710743805,1.0,0.0,1.0,0.09090909090909091,0.0,2.0,1.0,0.0743801652892562,0.2352107350538464,0.0,0.3333333333333333,2.0,smallN_recovery_batch32,S3R63REC_N12_B05_n12_anchor,False,NOT_RUN
R63_N12_C00171,N12_R63_N12_C00171_N12_recovery_anchor_local_search,12.0,N12_recovery_anchor_local_search,offline_mutation_or_pointer_proxy,N12_recovery_anchor_local_search,constrained_reward_balance,0.6714285714285713,0.668453364817001,0.6625649350649349,0.6714285714285713,0.6714285714285713,0.6675793978748523,0.6678769185360093,0.6679973214285713,0.6680827036599761,0.6625649350649349,0.6677250590318771,0.6677250590318771,0.6678769185360093,0.6679314639905548,0.6678136953955135,0.6678784681227863,0.6678497387839432,0.6463896103896102,0.743801652892562,0.6696496458087366,0.6486738286599764,0.017784960704231214,0.025038961038961083,0.0,S3R19B28_N12_B02_u2_primary_top,"[1,5,7,9,11,3,0,2,4,6,8,10]",1-5-7-9-11-3-0-2-4-6-8-10,1290c1124ec55cac,0.09090909090909091,0.9090909090909091,0.25619834710743805,0.7272727272727273,0.0,1.0,0.09090909090909091,0.0,2.0,1.0,0.0743801652892562,0.1589701162121599,0.0,0.3333333333333333,39.0,smallN_recovery_batch32,S3R63REC_N12_B06_n12_anchor,False,NOT_RUN
R63_N12_C02709,N12_R63_N12_C02709_N12_recovery_anchor_local_search,12.0,N12_recovery_anchor_local_search,offline_mutation_or_pointer_proxy,N12_recovery_anchor_local_search,constrained_reward_balance,0.6458571428571427,0.6435430932703659,0.6458571428571427,0.6458571428571427,0.6458571428571427,0.644931523022432,0.6451629279811095,0.6445844155844155,0.6450472255017707,0.6458571428571427,0.6447001180637543,0.6447001180637543,0.6451629279811095,0.6446538370720187,0.6447001180637543,0.6446746635182997,0.6449315230224318,0.6218410389610388,0.7603305785123967,0.6451629279811095,0.6447010436835889,0.02102345864780244,0.02401610389610387,0.3333333333333333,S3B20_N12_B02_diversity_top,"[11,5,9,7,3,1,0,2,4,6,8,10]",11-5-9-7-3-1-0-2-4-6-8-10,2ba6511276b95246,1.0,0.9090909090909091,0.23966942148760328,0.5454545454545454,1.0,1.0,0.09090909090909091,0.09090909090909091,3.0,1.0,-0.008264462809917356,0.12424211882952818,0.3333333333333333,0.3333333333333333,42.0,smallN_recovery_batch32,S3R63REC_N12_B07_n12_anchor,False,NOT_RUN
R63_N12_C00066,N12_R63_N12_C00066_N12_u2_safe_exploitation,12.0,N12_u2_safe_exploitation,offline_mutation_or_pointer_proxy,N12_u2_safe_exploitation,constrained_reward_balance,0.7756999999999998,0.773385950413223,0.7577454545454544,0.7756999999999998,0.7756999999999998,0.7693880165289255,0.7696194214876031,0.7707914772727271,0.7702219008264461,0.7577454545454544,0.7700543388429751,0.7700543388429751,0.7696194214876031,0.770546694214876,0.7702338842975206,0.770405929752066,0.7699356301652891,0.7464901818181816,0.7603305785123967,0.7732103305785123,0.770354207644628,0.023330242826634963,0.029209818181818226,0.16666666666666666,S3R19B28_N12_B02_u2_primary_top,"[3,5,7,9,11,1,0,2,4,6,8,10]",3-5-7-9-11-1-0-2-4-6-8-10,f5f1bd4e7fe9e016,0.2727272727272727,0.9090909090909091,0.23966942148760328,0.9090909090909091,1.0,1.0,0.09090909090909091,0.09090909090909091,2.0,1.0,0.05785123966942149,0.2132807917448585,0.0,0.3333333333333333,3.0,smallN_recovery_batch32,S3R63REC_N12_B08_n12_u2_safe_exploitation,False,NOT_RUN
R63_N12_C00002,N12_R63_N12_C00002_N12_u2_safe_exploitation,12.0,N12_u2_safe_exploitation,offline_mutation_or_pointer_proxy,N12_u2_safe_exploitation,constrained_reward_balance,0.6850593286494927,0.6801006509635423,0.6671047831949473,0.6835593286494928,0.6850593286494927,0.677389493938749,0.677810361707344,0.6784600104676746,0.6783143596412282,0.6671047831949473,0.6778663534428813,0.6778663534428813,0.677810361707344,0.6782908162527985,0.6780308988974266,0.6781738534428812,0.6779363575751126,0.6594751373216948,0.6942148760330578,0.681626270798253,0.6781462050957737,0.02285896848481587,0.02558419132779788,0.3333333333333333,S3B20_N12_B02_diversity_top,"[1,11,9,7,5,3,4,6,0,2,8,10]",1-11-9-7-5-3-4-6-0-2-8-10,3fe2634252d0c710,0.09090909090909091,0.9090909090909091,0.3057851239669422,0.9090909090909091,1.0,3.0,0.09090909090909091,0.09090909090909091,4.0,1.0,0.0743801652892562,0.23981186989333736,0.3333333333333333,0.0,20.0,smallN_recovery_batch32,S3R63REC_N12_B09_n12_u2_safe_exploitation,False,NOT_RUN
R63_N12_C00165,N12_R63_N12_C00165_N12_penalty_aware_repair,12.0,N12_penalty_aware_repair,offline_mutation_or_pointer_proxy,N12_penalty_aware_repair,constrained_reward_balance,0.7442857142857146,0.7399881936245576,0.7263311688311691,0.7427857142857146,0.7442857142857146,0.7368803423848882,0.7372350944510038,0.7380500324675328,0.7377721502361279,0.7263311688311691,0.7374233175914997,0.7374233175914997,0.7372350944510038,0.7378610035419129,0.7375878630460451,0.7377380903187724,0.7374272060212518,0.7163324675324678,0.7107438016528926,0.7410510035419129,0.7377029047815823,0.025254152343006285,0.02795324675324673,0.16666666666666666,S3R19B28_N12_B01_surrogate_top,"[1,11,7,9,5,3,2,0,4,6,8,10]",1-11-7-9-5-3-2-0-4-6-8-10,1e2231ce84496ca8,0.09090909090909091,0.9090909090909091,0.2892561983471074,0.9090909090909091,1.0,1.0,0.09090909090909091,0.09090909090909091,4.0,1.0,0.0743801652892562,0.21519366225275272,0.3333333333333333,0.0,5.0,smallN_recovery_batch32,S3R63REC_N12_B10_n12_penalty_aware_repair,False,NOT_RUN
