run_id,batch_name,n,handoff_strategy_name,job_name,case_dir,scan_order_json,cae_path,inp_path,jnl_path,generation_status,inp_check_status,teacher_validated,solver_status,notes
run_65_variable_N_recovery_anchor_batch48_cae_inp_generation,stage3_run64_variable_N_recovery_anchor_batch48_v01,12,S3R64VNR_N12_B01_n12_diversity,J2D_S3R64VNR_N12_B01_n12_diversity,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B01_n12_diversity,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B01_n12_diversity\scan_order_S3R64VNR_N12_B01_n12_diversity.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B01_n12_diversity\J2D_S3R64VNR_N12_B01_n12_diversity.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B01_n12_diversity\J2D_S3R64VNR_N12_B01_n12_diversity.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B01_n12_diversity\J2D_S3R64VNR_N12_B01_n12_diversity.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run65 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_65_variable_N_recovery_anchor_batch48_cae_inp_generation,stage3_run64_variable_N_recovery_anchor_batch48_v01,12,S3R64VNR_N12_B02_n12_penalty,J2D_S3R64VNR_N12_B02_n12_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B02_n12_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B02_n12_penalty\scan_order_S3R64VNR_N12_B02_n12_penalty.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B02_n12_penalty\J2D_S3R64VNR_N12_B02_n12_penalty.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B02_n12_penalty\J2D_S3R64VNR_N12_B02_n12_penalty.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B02_n12_penalty\J2D_S3R64VNR_N12_B02_n12_penalty.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run65 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_65_variable_N_recovery_anchor_batch48_cae_inp_generation,stage3_run64_variable_N_recovery_anchor_batch48_v01,12,S3R64VNR_N12_B03_n12_anchor_local,J2D_S3R64VNR_N12_B03_n12_anchor_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B03_n12_anchor_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B03_n12_anchor_local\scan_order_S3R64VNR_N12_B03_n12_anchor_local.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B03_n12_anchor_local\J2D_S3R64VNR_N12_B03_n12_anchor_local.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B03_n12_anchor_local\J2D_S3R64VNR_N12_B03_n12_anchor_local.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B03_n12_anchor_local\J2D_S3R64VNR_N12_B03_n12_anchor_local.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run65 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_65_variable_N_recovery_anchor_batch48_cae_inp_generation,stage3_run64_variable_N_recovery_anchor_batch48_v01,12,S3R64VNR_N12_B04_n12_anchor_local,J2D_S3R64VNR_N12_B04_n12_anchor_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B04_n12_anchor_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B04_n12_anchor_local\scan_order_S3R64VNR_N12_B04_n12_anchor_local.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B04_n12_anchor_local\J2D_S3R64VNR_N12_B04_n12_anchor_local.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B04_n12_anchor_local\J2D_S3R64VNR_N12_B04_n12_anchor_local.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B04_n12_anchor_local\J2D_S3R64VNR_N12_B04_n12_anchor_local.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run65 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_65_variable_N_recovery_anchor_batch48_cae_inp_generation,stage3_run64_variable_N_recovery_anchor_batch48_v01,12,S3R64VNR_N12_B05_n12_anchor_local,J2D_S3R64VNR_N12_B05_n12_anchor_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B05_n12_anchor_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B05_n12_anchor_local\scan_order_S3R64VNR_N12_B05_n12_anchor_local.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B05_n12_anchor_local\J2D_S3R64VNR_N12_B05_n12_anchor_local.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B05_n12_anchor_local\J2D_S3R64VNR_N12_B05_n12_anchor_local.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B05_n12_anchor_local\J2D_S3R64VNR_N12_B05_n12_anchor_local.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run65 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_65_variable_N_recovery_anchor_batch48_cae_inp_generation,stage3_run64_variable_N_recovery_anchor_batch48_v01,12,S3R64VNR_N12_B06_n12_anchor_top,J2D_S3R64VNR_N12_B06_n12_anchor_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B06_n12_anchor_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B06_n12_anchor_top\scan_order_S3R64VNR_N12_B06_n12_anchor_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B06_n12_anchor_top\J2D_S3R64VNR_N12_B06_n12_anchor_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B06_n12_anchor_top\J2D_S3R64VNR_N12_B06_n12_anchor_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B06_n12_anchor_top\J2D_S3R64VNR_N12_B06_n12_anchor_top.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run65 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_65_variable_N_recovery_anchor_batch48_cae_inp_generation,stage3_run64_variable_N_recovery_anchor_batch48_v01,12,S3R64VNR_N12_B07_n12_anchor_top,J2D_S3R64VNR_N12_B07_n12_anchor_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B07_n12_anchor_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B07_n12_anchor_top\scan_order_S3R64VNR_N12_B07_n12_anchor_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B07_n12_anchor_top\J2D_S3R64VNR_N12_B07_n12_anchor_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B07_n12_anchor_top\J2D_S3R64VNR_N12_B07_n12_anchor_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B07_n12_anchor_top\J2D_S3R64VNR_N12_B07_n12_anchor_top.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run65 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_65_variable_N_recovery_anchor_batch48_cae_inp_generation,stage3_run64_variable_N_recovery_anchor_batch48_v01,12,S3R64VNR_N12_B08_n12_anchor_top,J2D_S3R64VNR_N12_B08_n12_anchor_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B08_n12_anchor_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B08_n12_anchor_top\scan_order_S3R64VNR_N12_B08_n12_anchor_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B08_n12_anchor_top\J2D_S3R64VNR_N12_B08_n12_anchor_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B08_n12_anchor_top\J2D_S3R64VNR_N12_B08_n12_anchor_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B08_n12_anchor_top\J2D_S3R64VNR_N12_B08_n12_anchor_top.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run65 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_65_variable_N_recovery_anchor_batch48_cae_inp_generation,stage3_run64_variable_N_recovery_anchor_batch48_v01,12,S3R64VNR_N12_B09_n12_anchor_top,J2D_S3R64VNR_N12_B09_n12_anchor_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B09_n12_anchor_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B09_n12_anchor_top\scan_order_S3R64VNR_N12_B09_n12_anchor_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B09_n12_anchor_top\J2D_S3R64VNR_N12_B09_n12_anchor_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B09_n12_anchor_top\J2D_S3R64VNR_N12_B09_n12_anchor_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B09_n12_anchor_top\J2D_S3R64VNR_N12_B09_n12_anchor_top.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run65 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_65_variable_N_recovery_anchor_batch48_cae_inp_generation,stage3_run64_variable_N_recovery_anchor_batch48_v01,12,S3R64VNR_N12_B10_n12_u2_safe,J2D_S3R64VNR_N12_B10_n12_u2_safe,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B10_n12_u2_safe,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B10_n12_u2_safe\scan_order_S3R64VNR_N12_B10_n12_u2_safe.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B10_n12_u2_safe\J2D_S3R64VNR_N12_B10_n12_u2_safe.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B10_n12_u2_safe\J2D_S3R64VNR_N12_B10_n12_u2_safe.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B10_n12_u2_safe\J2D_S3R64VNR_N12_B10_n12_u2_safe.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run65 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
run_65_variable_N_recovery_anchor_batch48_cae_inp_generation,stage3_run64_variable_N_recovery_anchor_batch48_v01,12,S3R64VNR_N12_B11_n12_u2_safe,J2D_S3R64VNR_N12_B11_n12_u2_safe,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B11_n12_u2_safe,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B11_n12_u2_safe\scan_order_S3R64VNR_N12_B11_n12_u2_safe.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B11_n12_u2_safe\J2D_S3R64VNR_N12_B11_n12_u2_safe.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B11_n12_u2_safe\J2D_S3R64VNR_N12_B11_n12_u2_safe.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run64_variable_N_recovery_anchor_batch48_v01\N12S3R64VNR_N12_B11_n12_u2_safe\J2D_S3R64VNR_N12_B11_n12_u2_safe.jnl,GENERATED,PASS,False,NOT_SUBMITTED,run65 constrained N24/N40 batch32 CAE/INP generation only; not teacher-validated.
