n,metric,run66_top5_entries,run66_top10_entries,run66_best_rank
12,U2,2,4,1.5
12,PEEQ,1,2,5.0
12,SurfaceT,1,4,3.0
12,Mises,0,0,13.0
12,target_reward_combined480_u2_primary,2,4,1.0
12,target_reward_combined480_constrained_u2_reward_balanced,3,3,1.0
12,target_reward_combined480_strict_penalty_guard,2,3,1.0
12,target_reward_combined480_penalty_repair,2,5,1.5
16,U2,4,6,1.0
16,PEEQ,2,5,1.0
16,SurfaceT,2,3,2.0
16,Mises,0,0,12.5
16,target_reward_combined480_u2_primary,4,7,1.0
16,target_reward_combined480_constrained_u2_reward_balanced,5,8,1.0
16,target_reward_combined480_strict_penalty_guard,4,7,1.0
16,target_reward_combined480_penalty_repair,4,7,1.0
24,U2,0,0,20.0
24,PEEQ,0,1,7.0
24,SurfaceT,0,0,32.0
24,Mises,0,0,37.5
24,target_reward_combined480_u2_primary,0,0,12.0
24,target_reward_combined480_constrained_u2_reward_balanced,0,0,12.0
24,target_reward_combined480_strict_penalty_guard,0,0,12.0
24,target_reward_combined480_penalty_repair,0,0,11.0
40,U2,2,4,1.0
40,PEEQ,0,0,22.0
40,SurfaceT,0,1,9.0
40,Mises,0,0,53.0
40,target_reward_combined480_u2_primary,4,7,1.0
40,target_reward_combined480_constrained_u2_reward_balanced,4,6,1.0
40,target_reward_combined480_strict_penalty_guard,4,6,1.0
40,target_reward_combined480_penalty_repair,4,6,1.0
