n,metric,strategy_name,dataset_source,value
12,U2,S3R64VNR_N12_B06_n12_anchor_top,run66_variable_N_recovery_anchor_batch48,2.3353248252533376e-05
12,PEEQ,S3R64VNR_N12_B07_n12_anchor_top,run66_variable_N_recovery_anchor_batch48,0.1438055485486984
12,SurfaceT,S3R64VNR_N12_B11_n12_u2_safe,run66_variable_N_recovery_anchor_batch48,580957120.0
12,Mises,S3R64VNR_N12_B01_n12_diversity,run66_variable_N_recovery_anchor_batch48,579938432.0
12,reward_run66_u2_primary,S3R64VNR_N12_B06_n12_anchor_top,run66_variable_N_recovery_anchor_batch48,0.8704545454545456
12,reward_run66_constrained_u2_reward_balanced,S3R64VNR_N12_B06_n12_anchor_top,run66_variable_N_recovery_anchor_batch48,0.8
12,reward_run66_strict_penalty_guard,S3R64VNR_N12_B05_n12_anchor_local,run66_variable_N_recovery_anchor_batch48,0.7681818181818182
12,reward_run66_penalty_repair,S3R64VNR_N12_B12_n12_uncertainty,run66_variable_N_recovery_anchor_batch48,0.7727272727272727
16,U2,S3R64VNR_N16_B06_n16_anchor_top,run66_variable_N_recovery_anchor_batch48,3.5666283110913355e-05
16,PEEQ,S3R64VNR_N16_B02_n16_penalty,run66_variable_N_recovery_anchor_batch48,0.1477783918380737
16,SurfaceT,S3R64VNR_N16_B12_n16_uncertainty,run66_variable_N_recovery_anchor_batch48,581026496.0
16,Mises,S3R64VNR_N16_B10_n16_u2_safe,run66_variable_N_recovery_anchor_batch48,579947520.0
16,reward_run66_u2_primary,S3R64VNR_N16_B12_n16_uncertainty,run66_variable_N_recovery_anchor_batch48,0.8409090909090907
16,reward_run66_constrained_u2_reward_balanced,S3R64VNR_N16_B12_n16_uncertainty,run66_variable_N_recovery_anchor_batch48,0.8545454545454545
16,reward_run66_strict_penalty_guard,S3R64VNR_N16_B12_n16_uncertainty,run66_variable_N_recovery_anchor_batch48,0.8636363636363636
16,reward_run66_penalty_repair,S3R64VNR_N16_B12_n16_uncertainty,run66_variable_N_recovery_anchor_batch48,0.8772727272727272
24,U2,S3R64VNR_N24_B07_n24_uncertainty,run66_variable_N_recovery_anchor_batch48,4.171763998783717e-05
24,PEEQ,S3R64VNR_N24_B01_n24_diversity,run66_variable_N_recovery_anchor_batch48,0.1511800736188888
24,SurfaceT,S3R64VNR_N24_B08_n24_uncertainty,run66_variable_N_recovery_anchor_batch48,581858048.0
24,Mises,S3R64VNR_N24_B04_n24_frozen_ref,run66_variable_N_recovery_anchor_batch48,579943552.0
24,reward_run66_u2_primary,S3R64VNR_N24_B07_n24_uncertainty,run66_variable_N_recovery_anchor_batch48,0.7714285714285715
24,reward_run66_constrained_u2_reward_balanced,S3R64VNR_N24_B07_n24_uncertainty,run66_variable_N_recovery_anchor_batch48,0.6642857142857144
24,reward_run66_strict_penalty_guard,S3R64VNR_N24_B07_n24_uncertainty,run66_variable_N_recovery_anchor_batch48,0.6000000000000001
24,reward_run66_penalty_repair,S3R64VNR_N24_B05_n24_frozen_ref,run66_variable_N_recovery_anchor_batch48,0.6428571428571429
40,U2,S3R64VNR_N40_B15_n40_u2ret_anchor,run66_variable_N_recovery_anchor_batch48,4.5779268475598656e-05
40,PEEQ,S3R64VNR_N40_B12_n40_u2ret_anchor,run66_variable_N_recovery_anchor_batch48,0.1525734812021255
40,SurfaceT,S3R64VNR_N40_B07_n40_penalty_anchor,run66_variable_N_recovery_anchor_batch48,581830016.0
40,Mises,S3R64VNR_N40_B16_n40_u2ret_anchor,run66_variable_N_recovery_anchor_batch48,579926336.0
40,reward_run66_u2_primary,S3R64VNR_N40_B03_n40_penalty_anchor,run66_variable_N_recovery_anchor_batch48,0.85
40,reward_run66_constrained_u2_reward_balanced,S3R64VNR_N40_B12_n40_u2ret_anchor,run66_variable_N_recovery_anchor_batch48,0.8166666666666668
40,reward_run66_strict_penalty_guard,S3R64VNR_N40_B12_n40_u2ret_anchor,run66_variable_N_recovery_anchor_batch48,0.8000000000000002
40,reward_run66_penalty_repair,S3R64VNR_N40_B03_n40_penalty_anchor,run66_variable_N_recovery_anchor_batch48,0.7733333333333333
