record_set,dataset_source,n,count,best_U2_strategy,best_U2_value,best_PEEQ_strategy,best_PEEQ_value,best_SurfaceT_strategy,best_SurfaceT_value,best_Mises_strategy,best_Mises_value,best_target_reward_combined480_u2_primary_strategy,best_target_reward_combined480_u2_primary_value,best_target_reward_combined480_constrained_u2_reward_balanced_strategy,best_target_reward_combined480_constrained_u2_reward_balanced_value,best_target_reward_combined480_strict_penalty_guard_strategy,best_target_reward_combined480_strict_penalty_guard_value,best_target_reward_combined480_penalty_repair_strategy,best_target_reward_combined480_penalty_repair_value,top5_reward_entries_in_combined480,top10_reward_entries_in_combined480
Run66,run66_variable_N_recovery_anchor_batch48,12,12,S3R64VNR_N12_B06_n12_anchor_top,2.3353248252533376e-05,S3R64VNR_N12_B07_n12_anchor_top,0.1438055485486984,S3R64VNR_N12_B11_n12_u2_safe,580957120.0,S3R64VNR_N12_B01_n12_diversity,579938432.0,S3R64VNR_N12_B05_n12_anchor_local,0.8643617021276595,S3R64VNR_N12_B05_n12_anchor_local,0.8234042553191488,S3R64VNR_N12_B05_n12_anchor_local,0.8095744680851064,S3R64VNR_N12_B12_n12_uncertainty,0.7904255319148935,2,4
Run36,run36_N32_informed_native_batch32,12,4,S3R34N32INF_N12_B02_surrogate_top,3.5468697433316265e-05,S3R34N32INF_N12_B04_hybrid_disagree,0.1500022262334823,S3R34N32INF_N12_B03_hybrid_agree,581436224.0,S3R34N32INF_N12_B04_hybrid_disagree,579938432.0,S3R34N32INF_N12_B02_surrogate_top,0.7154255319148937,S3R34N32INF_N12_B02_surrogate_top,0.6585106382978723,S3R34N32INF_N12_B02_surrogate_top,0.6138297872340426,S3R34N32INF_N12_B02_surrogate_top,0.5845744680851064,0,1
Run27,shortlist64_run27,12,8,S3R24L64_N12_B05_diversity_coverage,3.9774539800419006e-05,S3R24L64_N12_B08_exploitation_reference,0.1451154500246048,S3R24L64_N12_B08_exploitation_reference,581017728.0,S3R24L64_N12_B07_sentinel_control,579938304.0,S3R24L64_N12_B01_top_region,0.6952127659574469,S3R24L64_N12_B01_top_region,0.7,S3R24L64_N12_B08_exploitation_reference,0.7148936170212766,S3R24L64_N12_B08_exploitation_reference,0.7329787234042553,0,0
Run66,run66_variable_N_recovery_anchor_batch48,16,12,S3R64VNR_N16_B06_n16_anchor_top,3.5666283110913355e-05,S3R64VNR_N16_B02_n16_penalty,0.1477783918380737,S3R64VNR_N16_B12_n16_uncertainty,581026496.0,S3R64VNR_N16_B10_n16_u2_safe,579947520.0,S3R64VNR_N16_B12_n16_uncertainty,0.9367021276595746,S3R64VNR_N16_B12_n16_uncertainty,0.924468085106383,S3R64VNR_N16_B12_n16_uncertainty,0.9223404255319149,S3R64VNR_N16_B12_n16_uncertainty,0.9132978723404255,4,7
Run36,run36_N32_informed_native_batch32,16,4,S3R34N32INF_N16_B01_graph_pointer,5.834493731526891e-05,S3R34N32INF_N16_B04_hybrid_disagree,0.1514548659324646,S3R34N32INF_N16_B04_hybrid_disagree,581461312.0,S3R34N32INF_N16_B02_surrogate_top,579947136.0,S3R34N32INF_N16_B04_hybrid_disagree,0.4670212765957447,S3R34N32INF_N16_B04_hybrid_disagree,0.5159574468085106,S3R34N32INF_N16_B04_hybrid_disagree,0.5553191489361703,S3R34N32INF_N16_B04_hybrid_disagree,0.5851063829787234,0,0
Run27,shortlist64_run27,16,8,S3R24L64_N16_B02_top_region,4.0733349123911466e-05,S3R24L64_N16_B03_model_disagreement,0.1496467143297195,S3R24L64_N16_B03_model_disagreement,581315072.0,S3R24L64_N16_B06_tradeoff_probe,579947136.0,S3R24L64_N16_B02_top_region,0.7984042553191489,S3R24L64_N16_B02_top_region,0.7308510638297873,S3R24L64_N16_B02_top_region,0.7074468085106383,S3R24L64_N16_B03_model_disagreement,0.7106382978723405,0,2
Run66,run66_variable_N_recovery_anchor_batch48,24,8,S3R64VNR_N24_B07_n24_uncertainty,4.171763998783717e-05,S3R64VNR_N24_B01_n24_diversity,0.1511800736188888,S3R64VNR_N24_B08_n24_uncertainty,581858048.0,S3R64VNR_N24_B04_n24_frozen_ref,579943552.0,S3R64VNR_N24_B07_n24_uncertainty,0.7862021857923498,S3R64VNR_N24_B04_n24_frozen_ref,0.7546448087431694,S3R64VNR_N24_B04_n24_frozen_ref,0.7308743169398907,S3R64VNR_N24_B08_n24_uncertainty,0.7260928961748633,0,0
Run61,run61_custom_N40_focused_batch40,24,16,S3R59N40PR40_N24_B03_n24_penalty,4.353990880190395e-05,S3R59N40PR40_N24_B09_n24_diversity,0.1492166519165039,S3R59N40PR40_N24_B13_n24_maint,581617920.0,S3R59N40PR40_N24_B01_n24_diversity,579942912.0,S3R59N40PR40_N24_B02_n24_penalty,0.7748633879781422,S3R59N40PR40_N24_B02_n24_penalty,0.7609289617486339,S3R59N40PR40_N24_B02_n24_penalty,0.7530054644808744,S3R59N40PR40_N24_B02_n24_penalty,0.7450819672131148,0,0
Run56,run56_calibrated_N24_N40_batch64,24,32,S3R54CAL64_N24_B04_n24_u2ret_top,3.356376646479475e-05,S3R54CAL64_N24_B20_median_guard,0.1517210751771927,S3R54CAL64_N24_B10_penalty_repair,580972224.0,S3R54CAL64_N24_B14_penalty_repair,579943488.0,S3R54CAL64_N24_B09_penalty_repair,0.8453551912568307,S3R54CAL64_N24_B09_penalty_repair,0.8398907103825137,S3R54CAL64_N24_B09_penalty_repair,0.8420765027322406,S3R54CAL64_N24_B09_penalty_repair,0.8330601092896175,4,7
Run51,run51_stricter_constrained_N24_N40_batch32,24,16,S3R49SCN_N24_B09_median_guard,2.9523077955673216e-05,S3R49SCN_N24_B07_two_stage,0.1539869755506515,S3R49SCN_N24_B03_strict_guard,581865344.0,S3R49SCN_N24_B15_mises_repair,579943488.0,S3R49SCN_N24_B09_median_guard,0.8162568306010929,S3R49SCN_N24_B09_median_guard,0.7497267759562841,S3R49SCN_N24_B09_median_guard,0.6931693989071038,S3R49SCN_N24_B06_two_stage,0.668032786885246,0,1
