run_id,batch_name,n,handoff_strategy_name,expected_future_case_root,expected_future_case_dir,expected_future_job_name,expected_future_inp_path,cae_inp_generated,ready_to_run
run_69_run68_smallN_recovery_focused_batch40_handoff_package,stage3_run69_smallN_recovery_focused_batch40_v01,12,S3R69SNR_N12_B01_n12_run66_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B01_n12_run66_local,J2D_S3R69SNR_N12_B01_n12_run66_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B01_n12_run66_local\J2D_S3R69SNR_N12_B01_n12_run66_local.inp,False,False
run_69_run68_smallN_recovery_focused_batch40_handoff_package,stage3_run69_smallN_recovery_focused_batch40_v01,12,S3R69SNR_N12_B02_n12_run66_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B02_n12_run66_local,J2D_S3R69SNR_N12_B02_n12_run66_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B02_n12_run66_local\J2D_S3R69SNR_N12_B02_n12_run66_local.inp,False,False
run_69_run68_smallN_recovery_focused_batch40_handoff_package,stage3_run69_smallN_recovery_focused_batch40_v01,12,S3R69SNR_N12_B03_n12_run66_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B03_n12_run66_local,J2D_S3R69SNR_N12_B03_n12_run66_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B03_n12_run66_local\J2D_S3R69SNR_N12_B03_n12_run66_local.inp,False,False
run_69_run68_smallN_recovery_focused_batch40_handoff_package,stage3_run69_smallN_recovery_focused_batch40_v01,12,S3R69SNR_N12_B04_n12_diversity,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B04_n12_diversity,J2D_S3R69SNR_N12_B04_n12_diversity,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B04_n12_diversity\J2D_S3R69SNR_N12_B04_n12_diversity.inp,False,False
run_69_run68_smallN_recovery_focused_batch40_handoff_package,stage3_run69_smallN_recovery_focused_batch40_v01,12,S3R69SNR_N12_B05_n12_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B05_n12_penalty,J2D_S3R69SNR_N12_B05_n12_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B05_n12_penalty\J2D_S3R69SNR_N12_B05_n12_penalty.inp,False,False
run_69_run68_smallN_recovery_focused_batch40_handoff_package,stage3_run69_smallN_recovery_focused_batch40_v01,12,S3R69SNR_N12_B06_n12_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B06_n12_penalty,J2D_S3R69SNR_N12_B06_n12_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B06_n12_penalty\J2D_S3R69SNR_N12_B06_n12_penalty.inp,False,False
run_69_run68_smallN_recovery_focused_batch40_handoff_package,stage3_run69_smallN_recovery_focused_batch40_v01,12,S3R69SNR_N12_B07_n12_reward_bal,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B07_n12_reward_bal,J2D_S3R69SNR_N12_B07_n12_reward_bal,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B07_n12_reward_bal\J2D_S3R69SNR_N12_B07_n12_reward_bal.inp,False,False
run_69_run68_smallN_recovery_focused_batch40_handoff_package,stage3_run69_smallN_recovery_focused_batch40_v01,12,S3R69SNR_N12_B08_n12_reward_bal,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B08_n12_reward_bal,J2D_S3R69SNR_N12_B08_n12_reward_bal,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B08_n12_reward_bal\J2D_S3R69SNR_N12_B08_n12_reward_bal.inp,False,False
run_69_run68_smallN_recovery_focused_batch40_handoff_package,stage3_run69_smallN_recovery_focused_batch40_v01,12,S3R69SNR_N12_B09_n12_recovery_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B09_n12_recovery_top,J2D_S3R69SNR_N12_B09_n12_recovery_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B09_n12_recovery_top\J2D_S3R69SNR_N12_B09_n12_recovery_top.inp,False,False
run_69_run68_smallN_recovery_focused_batch40_handoff_package,stage3_run69_smallN_recovery_focused_batch40_v01,12,S3R69SNR_N12_B10_n12_recovery_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B10_n12_recovery_top,J2D_S3R69SNR_N12_B10_n12_recovery_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run69_smallN_recovery_focused_batch40_v01\N12S3R69SNR_N12_B10_n12_recovery_top\J2D_S3R69SNR_N12_B10_n12_recovery_top.inp,False,False
