n,metric,run71_top5_entries,run71_top10_entries,run71_best_rank
12,U2,3,6,1.0
12,PEEQ,1,4,4.0
12,SurfaceT,3,6,3.0
12,Mises,0,0,24.5
12,target_reward_combined520_u2_primary,2,5,1.0
12,target_reward_combined520_constrained_u2_reward_balanced,2,5,1.0
12,target_reward_combined520_strict_penalty_guard,4,5,1.0
12,target_reward_combined520_penalty_repair,4,6,1.0
16,U2,4,6,1.0
16,PEEQ,3,6,1.0
16,SurfaceT,4,8,1.0
16,Mises,0,0,13.0
16,target_reward_combined520_u2_primary,4,7,1.0
16,target_reward_combined520_constrained_u2_reward_balanced,4,8,1.0
16,target_reward_combined520_strict_penalty_guard,4,8,1.0
16,target_reward_combined520_penalty_repair,4,8,1.0
24,U2,0,0,38.0
24,PEEQ,0,0,16.0
24,SurfaceT,1,2,5.0
24,Mises,0,0,21.5
24,target_reward_combined520_u2_primary,0,0,13.0
24,target_reward_combined520_constrained_u2_reward_balanced,1,1,3.0
24,target_reward_combined520_strict_penalty_guard,1,2,3.0
24,target_reward_combined520_penalty_repair,2,2,1.0
40,U2,0,1,6.0
40,PEEQ,0,0,29.5
40,SurfaceT,0,1,9.0
40,Mises,0,0,61.5
40,target_reward_combined520_u2_primary,1,1,4.0
40,target_reward_combined520_constrained_u2_reward_balanced,1,1,3.0
40,target_reward_combined520_strict_penalty_guard,1,1,3.0
40,target_reward_combined520_penalty_repair,0,1,8.0
