n,metric,strategy_name,dataset_source,value
12,U2,S3R69SNR_N12_B16_n12_uncertainty,run71_smallN_recovery_focused_batch40,2.20100214392005e-05
12,PEEQ,S3R69SNR_N12_B15_n12_u2_safe,run71_smallN_recovery_focused_batch40,0.1430467814207077
12,SurfaceT,S3R69SNR_N12_B13_n12_u2_safe,run71_smallN_recovery_focused_batch40,580840256.0
12,Mises,S3R69SNR_N12_B15_n12_u2_safe,run71_smallN_recovery_focused_batch40,579939456.0
12,reward_run71_u2_primary,S3R69SNR_N12_B16_n12_uncertainty,run71_smallN_recovery_focused_batch40,0.8683333333333334
12,reward_run71_constrained_u2_reward_balanced,S3R69SNR_N12_B16_n12_uncertainty,run71_smallN_recovery_focused_batch40,0.82
12,reward_run71_strict_penalty_guard,S3R69SNR_N12_B04_n12_diversity,run71_smallN_recovery_focused_batch40,0.81
12,reward_run71_penalty_repair,S3R69SNR_N12_B04_n12_diversity,run71_smallN_recovery_focused_batch40,0.7849999999999999
16,U2,S3R69SNR_N16_B09_n16_recovery_top,run71_smallN_recovery_focused_batch40,3.467050373728853e-05
16,PEEQ,S3R69SNR_N16_B16_n16_uncertainty,run71_smallN_recovery_focused_batch40,0.1472253948450088
16,SurfaceT,S3R69SNR_N16_B08_n16_reward_bal,run71_smallN_recovery_focused_batch40,580893440.0
16,Mises,S3R69SNR_N16_B03_n16_run66_local,run71_smallN_recovery_focused_batch40,579947520.0
16,reward_run71_u2_primary,S3R69SNR_N16_B02_n16_run66_local,run71_smallN_recovery_focused_batch40,0.775
16,reward_run71_constrained_u2_reward_balanced,S3R69SNR_N16_B02_n16_run66_local,run71_smallN_recovery_focused_batch40,0.77
16,reward_run71_strict_penalty_guard,S3R69SNR_N16_B02_n16_run66_local,run71_smallN_recovery_focused_batch40,0.7633333333333334
16,reward_run71_penalty_repair,S3R69SNR_N16_B02_n16_run66_local,run71_smallN_recovery_focused_batch40,0.765
24,U2,S3R69SNR_N24_B01_n24_anchor_ref,run71_smallN_recovery_focused_batch40,5.2054501793463714e-05
24,PEEQ,S3R69SNR_N24_B03_n24_uncertainty,run71_smallN_recovery_focused_batch40,0.152449369430542
24,SurfaceT,S3R69SNR_N24_B04_n24_uncertainty,run71_smallN_recovery_focused_batch40,581044032.0
24,Mises,S3R69SNR_N24_B03_n24_uncertainty,run71_smallN_recovery_focused_batch40,579943488.0
24,reward_run71_u2_primary,S3R69SNR_N24_B01_n24_anchor_ref,run71_smallN_recovery_focused_batch40,0.75
24,reward_run71_constrained_u2_reward_balanced,S3R69SNR_N24_B01_n24_anchor_ref,run71_smallN_recovery_focused_batch40,0.6333333333333334
24,reward_run71_strict_penalty_guard,S3R69SNR_N24_B04_n24_uncertainty,run71_smallN_recovery_focused_batch40,0.5833333333333335
24,reward_run71_penalty_repair,S3R69SNR_N24_B04_n24_uncertainty,run71_smallN_recovery_focused_batch40,0.625
40,U2,S3R69SNR_N40_B01_n40_anchor_ref,run71_smallN_recovery_focused_batch40,5.276091178529896e-05
40,PEEQ,S3R69SNR_N40_B01_n40_anchor_ref,run71_smallN_recovery_focused_batch40,0.1530022174119949
40,SurfaceT,S3R69SNR_N40_B02_n40_anchor_ref,run71_smallN_recovery_focused_batch40,581827520.0
40,Mises,S3R69SNR_N40_B02_n40_anchor_ref,run71_smallN_recovery_focused_batch40,579926464.0
40,reward_run71_u2_primary,S3R69SNR_N40_B01_n40_anchor_ref,run71_smallN_recovery_focused_batch40,0.9333333333333335
40,reward_run71_constrained_u2_reward_balanced,S3R69SNR_N40_B01_n40_anchor_ref,run71_smallN_recovery_focused_batch40,0.8833333333333333
40,reward_run71_strict_penalty_guard,S3R69SNR_N40_B01_n40_anchor_ref,run71_smallN_recovery_focused_batch40,0.8666666666666666
40,reward_run71_penalty_repair,S3R69SNR_N40_B01_n40_anchor_ref,run71_smallN_recovery_focused_batch40,0.8166666666666667
