comparison,n,metric,combined480_best_strategy,combined480_best_value,run71_best_strategy,run71_best_value,run71_beats_baseline,absolute_improvement,relative_improvement_pct,combined480_new_best_strategy,combined480_new_best_source
Run71_vs_combined480,12,U2,S3B20_N12_B02_diversity_top,2.3353248252533376e-05,S3R69SNR_N12_B16_n12_uncertainty,2.20100214392005e-05,True,1.3432268133328762e-06,5.751777220914706,S3R69SNR_N12_B16_n12_uncertainty,run71_smallN_recovery_focused_batch40
Run71_vs_combined480,12,PEEQ,N12_A13_graph_pointer_policy_anti_odd_even_novelty,0.1403219699859619,S3R69SNR_N12_B15_n12_u2_safe,0.1430467814207077,False,-0.0027248114347458163,-1.9418280936466419,N12_A13_graph_pointer_policy_anti_odd_even_novelty,probe60_run08
Run71_vs_combined480,12,SurfaceT,N12_A09_center_edge_alternating,580752832.0,S3R69SNR_N12_B13_n12_u2_safe,580840256.0,False,-87424.0,-0.015053564129670917,N12_A09_center_edge_alternating,probe60_run08
Run71_vs_combined480,12,Mises,N12_A06_edge_in_alternating,579937984.0,S3R69SNR_N12_B15_n12_u2_safe,579939456.0,False,-1472.0,-0.0002538202429589437,N12_A06_edge_in_alternating,probe60_run08
Run71_vs_combined480,12,u2_primary,S3R64VNR_N12_B06_n12_anchor_top,0.8341269841269842,S3R69SNR_N12_B16_n12_uncertainty,0.89484126984127,True,0.06071428571428583,7.278782112274039,S3R69SNR_N12_B16_n12_uncertainty,run71_smallN_recovery_focused_batch40
Run71_vs_combined480,12,constrained_u2_reward_balanced,S3R64VNR_N12_B05_n12_anchor_local,0.7817460317460319,S3R69SNR_N12_B04_n12_diversity,0.8476190476190476,True,0.06587301587301575,8.426395939086277,S3R69SNR_N12_B04_n12_diversity,run71_smallN_recovery_focused_batch40
Run71_vs_combined480,12,strict_penalty_guard,S3R64VNR_N12_B05_n12_anchor_local,0.7690476190476192,S3R69SNR_N12_B04_n12_diversity,0.8428571428571429,True,0.07380952380952366,9.59752321981422,S3R69SNR_N12_B04_n12_diversity,run71_smallN_recovery_focused_batch40
Run71_vs_combined480,12,penalty_repair,S3R64VNR_N12_B05_n12_anchor_local,0.7440476190476191,S3R69SNR_N12_B04_n12_diversity,0.8055555555555556,True,0.06150793650793651,8.266666666666666,S3R69SNR_N12_B04_n12_diversity,run71_smallN_recovery_focused_batch40
Run71_vs_combined480,16,U2,S3R64VNR_N16_B06_n16_anchor_top,3.5666283110913355e-05,S3R69SNR_N16_B09_n16_recovery_top,3.467050373728853e-05,True,9.957793736248277e-07,2.7919348100507113,S3R69SNR_N16_B09_n16_recovery_top,run71_smallN_recovery_focused_batch40
Run71_vs_combined480,16,PEEQ,S3R64VNR_N16_B02_n16_penalty,0.1477783918380737,S3R69SNR_N16_B16_n16_uncertainty,0.1472253948450088,True,0.0005529969930649081,0.37420693660738136,S3R69SNR_N16_B16_n16_uncertainty,run71_smallN_recovery_focused_batch40
Run71_vs_combined480,16,SurfaceT,N16_A09_center_edge_alternating,580899648.0,S3R69SNR_N16_B08_n16_reward_bal,580893440.0,True,6208.0,0.0010686871684935158,S3R69SNR_N16_B08_n16_reward_bal,run71_smallN_recovery_focused_batch40
Run71_vs_combined480,16,Mises,N16_A07_regular_jump_coprime,579946752.0,S3R69SNR_N16_B03_n16_run66_local,579947520.0,False,-768.0,-0.0001324259507190067,N16_A07_regular_jump_coprime,probe60_run08
Run71_vs_combined480,16,u2_primary,S3R64VNR_N16_B12_n16_uncertainty,0.8706349206349205,S3R69SNR_N16_B02_n16_run66_local,0.9107142857142858,True,0.04007936507936527,4.603463992707406,S3R69SNR_N16_B02_n16_run66_local,run71_smallN_recovery_focused_batch40
Run71_vs_combined480,16,constrained_u2_reward_balanced,S3R64VNR_N16_B12_n16_uncertainty,0.8626984126984126,S3R69SNR_N16_B02_n16_run66_local,0.8968253968253967,True,0.03412698412698412,3.955841766329346,S3R69SNR_N16_B02_n16_run66_local,run71_smallN_recovery_focused_batch40
Run71_vs_combined480,16,strict_penalty_guard,S3R64VNR_N16_B12_n16_uncertainty,0.8587301587301588,S3R69SNR_N16_B02_n16_run66_local,0.8928571428571428,True,0.034126984126984006,3.9741219963031282,S3R69SNR_N16_B02_n16_run66_local,run71_smallN_recovery_focused_batch40
Run71_vs_combined480,16,penalty_repair,S3R64VNR_N16_B12_n16_uncertainty,0.8539682539682539,S3R69SNR_N16_B02_n16_run66_local,0.8829365079365081,True,0.0289682539682542,3.3921933085502127,S3R69SNR_N16_B02_n16_run66_local,run71_smallN_recovery_focused_batch40
Run71_vs_combined480,24,U2,S3R49SCN_N24_B09_median_guard,2.9523077955673216e-05,S3R69SNR_N24_B01_n24_anchor_ref,5.2054501793463714e-05,False,-2.25314238377905e-05,-76.31800407674231,S3R49SCN_N24_B09_median_guard,run51_stricter_constrained_N24_N40_batch32
Run71_vs_combined480,24,PEEQ,S3R59N40PR40_N24_B09_n24_diversity,0.1492166519165039,S3R69SNR_N24_B03_n24_uncertainty,0.152449369430542,False,-0.003232717514038086,-2.1664589524813858,S3R59N40PR40_N24_B09_n24_diversity,run61_custom_N40_focused_batch40
Run71_vs_combined480,24,SurfaceT,S3R24L64_N24_B06_model_disagreement,580875968.0,S3R69SNR_N24_B04_n24_uncertainty,581044032.0,False,-168064.0,-0.028932854732940164,S3R24L64_N24_B06_model_disagreement,shortlist64_run27
Run71_vs_combined480,24,Mises,N24_A06_edge_in_alternating,579942784.0,S3R69SNR_N24_B03_n24_uncertainty,579943488.0,False,-704.0,-0.00012139128538583557,N24_A06_edge_in_alternating,probe60_run08
Run71_vs_combined480,24,u2_primary,S3R44CNS_N24_B16_uncertainty,0.8704545454545456,S3R69SNR_N24_B04_n24_uncertainty,0.785427807486631,False,-0.0850267379679146,-9.768084779603765,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32
Run71_vs_combined480,24,constrained_u2_reward_balanced,S3R44CNS_N24_B16_uncertainty,0.8542780748663101,S3R69SNR_N24_B04_n24_uncertainty,0.810427807486631,False,-0.04385026737967912,-5.133020344287948,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32
Run71_vs_combined480,24,strict_penalty_guard,S3R44CNS_N24_B16_uncertainty,0.8489304812834224,S3R69SNR_N24_B04_n24_uncertainty,0.8318181818181819,False,-0.01711229946524051,-2.0157480314960474,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32
Run71_vs_combined480,24,penalty_repair,S3R44CNS_N24_B16_uncertainty,0.8332887700534759,S3R69SNR_N24_B04_n24_uncertainty,0.8482620320855615,True,0.0149732620320856,1.7968875340927368,S3R69SNR_N24_B04_n24_uncertainty,run71_smallN_recovery_focused_batch40
Run71_vs_combined480,40,U2,S3R64VNR_N40_B15_n40_u2ret_anchor,4.5779268475598656e-05,S3R69SNR_N40_B01_n40_anchor_ref,5.276091178529896e-05,False,-6.981643309700303e-06,-15.250665950290731,S3R64VNR_N40_B15_n40_u2ret_anchor,run66_variable_N_recovery_anchor_batch48
Run71_vs_combined480,40,PEEQ,S3R39N2440B60_N40_B10_surrogate_top,0.1440253555774688,S3R69SNR_N40_B01_n40_anchor_ref,0.1530022174119949,False,-0.008976861834526118,-6.2328343495722995,S3R39N2440B60_N40_B10_surrogate_top,run41_native_N24_N40_focused_batch60
Run71_vs_combined480,40,SurfaceT,S3R19B28_N40_B06_uncertainty_calibration,581119040.0,S3R69SNR_N40_B02_n40_anchor_ref,581827520.0,False,-708480.0,-0.12191650096338265,S3R19B28_N40_B06_uncertainty_calibration,batch28_run20
