record_set,dataset_source,n,count,best_U2_strategy,best_U2_value,best_PEEQ_strategy,best_PEEQ_value,best_SurfaceT_strategy,best_SurfaceT_value,best_Mises_strategy,best_Mises_value,best_target_reward_combined520_u2_primary_strategy,best_target_reward_combined520_u2_primary_value,best_target_reward_combined520_constrained_u2_reward_balanced_strategy,best_target_reward_combined520_constrained_u2_reward_balanced_value,best_target_reward_combined520_strict_penalty_guard_strategy,best_target_reward_combined520_strict_penalty_guard_value,best_target_reward_combined520_penalty_repair_strategy,best_target_reward_combined520_penalty_repair_value,top5_reward_entries_in_combined480,top10_reward_entries_in_combined480
Run71,run71_smallN_recovery_focused_batch40,12,16,S3R69SNR_N12_B16_n12_uncertainty,2.20100214392005e-05,S3R69SNR_N12_B15_n12_u2_safe,0.1430467814207077,S3R69SNR_N12_B13_n12_u2_safe,580840256.0,S3R69SNR_N12_B15_n12_u2_safe,579939456.0,S3R69SNR_N12_B16_n12_uncertainty,0.89484126984127,S3R69SNR_N12_B04_n12_diversity,0.8476190476190476,S3R69SNR_N12_B04_n12_diversity,0.8428571428571429,S3R69SNR_N12_B04_n12_diversity,0.8055555555555556,2,5
Run36,run36_N32_informed_native_batch32,12,4,S3R34N32INF_N12_B02_surrogate_top,3.5468697433316265e-05,S3R34N32INF_N12_B04_hybrid_disagree,0.1500022262334823,S3R34N32INF_N12_B03_hybrid_agree,581436224.0,S3R34N32INF_N12_B04_hybrid_disagree,579938432.0,S3R34N32INF_N12_B02_surrogate_top,0.6059523809523809,S3R34N32INF_N12_B02_surrogate_top,0.5666666666666667,S3R34N32INF_N12_B02_surrogate_top,0.5277777777777778,S3R34N32INF_N12_B02_surrogate_top,0.5115079365079365,0,0
Run27,shortlist64_run27,12,8,S3R24L64_N12_B05_diversity_coverage,3.9774539800419006e-05,S3R24L64_N12_B08_exploitation_reference,0.1451154500246048,S3R24L64_N12_B08_exploitation_reference,581017728.0,S3R24L64_N12_B07_sentinel_control,579938304.0,S3R24L64_N12_B01_top_region,0.601984126984127,S3R24L64_N12_B01_top_region,0.6246031746031746,S3R24L64_N12_B08_exploitation_reference,0.6611111111111111,S3R24L64_N12_B08_exploitation_reference,0.690873015873016,0,0
Run71,run71_smallN_recovery_focused_batch40,16,16,S3R69SNR_N16_B09_n16_recovery_top,3.467050373728853e-05,S3R69SNR_N16_B16_n16_uncertainty,0.1472253948450088,S3R69SNR_N16_B08_n16_reward_bal,580893440.0,S3R69SNR_N16_B03_n16_run66_local,579947520.0,S3R69SNR_N16_B02_n16_run66_local,0.9107142857142858,S3R69SNR_N16_B02_n16_run66_local,0.8968253968253967,S3R69SNR_N16_B02_n16_run66_local,0.8928571428571428,S3R69SNR_N16_B02_n16_run66_local,0.8829365079365081,4,7
Run36,run36_N32_informed_native_batch32,16,4,S3R34N32INF_N16_B01_graph_pointer,5.834493731526891e-05,S3R34N32INF_N16_B04_hybrid_disagree,0.1514548659324646,S3R34N32INF_N16_B04_hybrid_disagree,581461312.0,S3R34N32INF_N16_B02_surrogate_top,579947136.0,S3R34N32INF_N16_B04_hybrid_disagree,0.3825396825396825,S3R34N32INF_N16_B04_hybrid_disagree,0.4357142857142857,S3R34N32INF_N16_B04_hybrid_disagree,0.473015873015873,S3R34N32INF_N16_B04_hybrid_disagree,0.5071428571428571,0,0
Run27,shortlist64_run27,16,8,S3R24L64_N16_B02_top_region,4.0733349123911466e-05,S3R24L64_N16_B03_model_disagreement,0.1496467143297195,S3R24L64_N16_B03_model_disagreement,581315072.0,S3R24L64_N16_B06_tradeoff_probe,579947136.0,S3R24L64_N16_B02_top_region,0.7150793650793651,S3R24L64_N16_B02_top_region,0.6468253968253967,S3R24L64_N16_B02_top_region,0.6190476190476191,S3R24L64_N16_B03_model_disagreement,0.6238095238095238,0,0
Run71,run71_smallN_recovery_focused_batch40,24,4,S3R69SNR_N24_B01_n24_anchor_ref,5.2054501793463714e-05,S3R69SNR_N24_B03_n24_uncertainty,0.152449369430542,S3R69SNR_N24_B04_n24_uncertainty,581044032.0,S3R69SNR_N24_B03_n24_uncertainty,579943488.0,S3R69SNR_N24_B04_n24_uncertainty,0.785427807486631,S3R69SNR_N24_B04_n24_uncertainty,0.810427807486631,S3R69SNR_N24_B04_n24_uncertainty,0.8318181818181819,S3R69SNR_N24_B04_n24_uncertainty,0.8482620320855615,0,0
Run61,run61_custom_N40_focused_batch40,24,16,S3R59N40PR40_N24_B03_n24_penalty,4.353990880190395e-05,S3R59N40PR40_N24_B09_n24_diversity,0.1492166519165039,S3R59N40PR40_N24_B13_n24_maint,581617920.0,S3R59N40PR40_N24_B01_n24_diversity,579942912.0,S3R59N40PR40_N24_B02_n24_penalty,0.7750000000000001,S3R59N40PR40_N24_B02_n24_penalty,0.7590909090909091,S3R59N40PR40_N24_B02_n24_penalty,0.75,S3R59N40PR40_N24_B02_n24_penalty,0.7405080213903743,0,0
Run56,run56_calibrated_N24_N40_batch64,24,32,S3R54CAL64_N24_B04_n24_u2ret_top,3.356376646479475e-05,S3R54CAL64_N24_B20_median_guard,0.1517210751771927,S3R54CAL64_N24_B10_penalty_repair,580972224.0,S3R54CAL64_N24_B14_penalty_repair,579943488.0,S3R54CAL64_N24_B09_penalty_repair,0.8455882352941176,S3R54CAL64_N24_B09_penalty_repair,0.8385026737967914,S3R54CAL64_N24_B09_penalty_repair,0.8398395721925134,S3R54CAL64_N24_B09_penalty_repair,0.8295454545454545,4,7
Run51,run51_stricter_constrained_N24_N40_batch32,24,16,S3R49SCN_N24_B09_median_guard,2.9523077955673216e-05,S3R49SCN_N24_B07_two_stage,0.1539869755506515,S3R49SCN_N24_B03_strict_guard,581865344.0,S3R49SCN_N24_B15_mises_repair,579943488.0,S3R49SCN_N24_B09_median_guard,0.8143048128342246,S3R49SCN_N24_B09_median_guard,0.7467914438502675,S3R49SCN_N24_B09_median_guard,0.689572192513369,S3R49SCN_N24_B06_two_stage,0.6635026737967914,0,1
Run46,run46_constrained_N24_N40_batch32,24,16,S3R44CNS_N24_B14_hybrid_disagree,3.166340729876538e-05,S3R44CNS_N24_B16_uncertainty,0.1528085321187973,S3R44CNS_N24_B07_surfacet_guarded,581497728.0,S3R44CNS_N24_B03_constr_surrogate,579943360.0,S3R44CNS_N24_B16_uncertainty,0.8704545454545456,S3R44CNS_N24_B16_uncertainty,0.8542780748663101,S3R44CNS_N24_B16_uncertainty,0.8489304812834224,S3R44CNS_N24_B16_uncertainty,0.8332887700534759,1,2
Run41,run41_native_N24_N40_focused_batch60,24,30,S3R39N2440B60_N24_B08_n24_u2_near,3.7988751273587695e-05,S3R39N2440B60_N24_B12_surrogate_top,0.1496064215898513,S3R39N2440B60_N24_B17_diversity,581337792.0,S3R39N2440B60_N24_B17_diversity,579942848.0,S3R39N2440B60_N24_B07_n24_u2_near,0.7647058823529412,S3R39N2440B60_N24_B07_n24_u2_near,0.7205882352941176,S3R39N2440B60_N24_B07_n24_u2_near,0.7171122994652407,S3R39N2440B60_N24_B07_n24_u2_near,0.681283422459893,0,0
Run36,run36_N32_informed_native_batch32,24,12,S3R34N32INF_N24_B10_n24_calibration,3.273940910730744e-05,S3R34N32INF_N24_B02_surrogate_top,0.1497802585363388,S3R34N32INF_N24_B01_graph_pointer,581126080.0,S3R34N32INF_N24_B05_uncertainty,579943296.0,S3R34N32INF_N24_B10_n24_calibration,0.7814171122994653,S3R34N32INF_N24_B11_n24_calibration,0.7189839572192513,S3R34N32INF_N24_B01_graph_pointer,0.6775401069518716,S3R34N32INF_N24_B01_graph_pointer,0.6842245989304813,0,0
