regime,target,feature_set,model,macro_spearman,macro_top5_overlap,macro_top10_overlap,mean_mae,protocols
plus_N32_balanced,target_reward_combined520_plus_N32_N12_final_diagnostic,F07_F01_no_n,ExtraTreesRegressor,0.749023722101642,1.2,2.2,0.12586970558540278,5
plus_N32_balanced,target_reward_combined520_plus_N32_N16_final_diagnostic,F07_F01_no_n,ExtraTreesRegressor,0.749023722101642,1.2,2.2,0.12586970558540278,5
plus_N32_balanced,target_reward_combined520_plus_N32_mapped_u2_primary,F01_basic_order,ExtraTreesRegressor,0.7419255626953974,0.6,2.0,0.13213996367941455,5
plus_N32_unweighted,target_reward_combined520_plus_N32_mapped_u2_primary,F07_F01_no_n,ExtraTreesRegressor,0.7403079458519188,0.8,1.8,0.13198603829535355,5
plus_N32_unweighted,target_reward_combined520_plus_N32_strict_u2_surfaceT,F01_basic_order,ExtraTreesRegressor,0.7401943920142046,1.2,2.4,0.16374399837010503,5
native_combined520,target_reward_combined520_variable_N_bounded,F01_basic_order,ExtraTreesRegressor,0.7370454245203283,1.75,3.0,0.08902802737817876,4
native_combined520,target_reward_combined520_u2_primary,F07_F01_no_n,Ridge,0.7353335268421517,1.25,2.0,0.1405517347465853,4
native_combined520,target_reward_combined520_u2_primary,F07_F01_no_n,ElasticNet,0.734289669931349,1.25,1.75,0.14020694922155463,4
plus_N32_balanced,target_reward_combined520_plus_N32_strict_u2_surfaceT,F01_basic_order,ExtraTreesRegressor,0.7305986263805756,0.4,2.2,0.15828396065427353,5
plus_N32_unweighted,target_reward_combined520_plus_N32_N12_final_diagnostic,F02_full_handcrafted,ExtraTreesRegressor,0.7295580657727812,1.0,2.4,0.1337383819169456,5
plus_N32_unweighted,target_reward_combined520_plus_N32_N16_final_diagnostic,F02_full_handcrafted,ExtraTreesRegressor,0.7295580657727812,1.0,2.4,0.13373838191694556,5
native_combined520,target_reward_combined520_u2_primary,F01_basic_order,ExtraTreesRegressor,0.7256917719499372,0.5,1.0,0.1160600131634116,4
plus_N32_unweighted,target_reward_combined520_plus_N32_strict_u2_surfaceT,F01_basic_order,GradientBoostingRegressor,0.7245522308048165,1.2,2.6,0.16993724460463958,5
plus_N32_balanced,target_reward_combined520_plus_N32_strict_u2_surfaceT,F07_F01_no_n,ExtraTreesRegressor,0.7235410182316332,1.4,2.8,0.15806212951291992,5
plus_N32_unweighted,target_reward_combined520_plus_N32_variable_N_bounded,F07_F01_no_n,ExtraTreesRegressor,0.7212365405219895,1.2,2.2,0.10835635849605345,5
plus_N32_balanced,target_reward_combined520_plus_N32_strict_u2_surfaceT,F02_full_handcrafted,ExtraTreesRegressor,0.7211505701083468,0.6,1.4,0.16340414710019222,5
native_combined520,target_reward_combined520_u2_primary,F01_basic_order,ElasticNet,0.7188193379563923,1.25,1.75,0.14778243410687802,4
native_combined520,target_reward_combined520_u2_primary,F07_F01_no_n,ExtraTreesRegressor,0.7144707133729108,0.75,1.75,0.11867832189026074,4
native_combined520,target_reward_combined520_N12_final_diagnostic,F07_F01_no_n,Ridge,0.7134747049753849,1.25,2.25,0.13085149925211448,4
native_combined520,target_reward_combined520_N16_final_diagnostic,F07_F01_no_n,Ridge,0.7134747049753849,1.25,2.25,0.13085149925211448,4
