candidate_id,strategy_name,n,candidate_source,generation_method,selection_bucket,priority_role,surrogate_prediction,predicted_u2_guarded_score,predicted_peeq_guarded_score,predicted_surfaceT_guarded_score,predicted_mises_guarded_score,strict_penalty_guard_score,penalty_repair_score,two_stage_guarded_score,two_stage_penalty_repair_score,no_penalty_worse_than_median_score,N24_maintenance_score,N40_u2_reward_retention_score,N40_penalty_repair_score,N12_recovery_score,N16_recovery_score,variable_N_recovery_score,N40_followup_score,gnn_reward_prediction,graph_pointer_policy_score,hybrid_score,constrained_score,uncertainty_score,gnn_vs_surrogate_disagreement,novelty_distance,nearest_existing_teacher_strategy,order_json,order_compact,order_hash,first_track_norm,last_track_norm,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,odd_even_transition_count,mean_signed_jump,jump_std_norm,edge_visit_early_fraction,center_visit_early_fraction,pred_rank_constrained_within_n,batch_option,handoff_strategy_name,teacher_validated,teacher_validation_status
R73_N12_C00034,N12_R73_N12_C00034_N12_final_diag_surrogate_top,12.0,N12_final_diag_surrogate_top,existing_pool_selection,N12_final_diag_surrogate_top,constrained_reward_balance,0.8422222222222221,0.8405693296602387,0.8422222222222221,0.8407222222222221,0.8422222222222221,0.8412610651974287,0.841351354453627,0.8410768813131313,0.8413024598255279,0.8407222222222221,0.8411707759412304,0.8411707759412304,0.841351354453627,0.8410881313131313,0.8410881313131313,0.8410881313131313,0.8412603151974287,0.810351515151515,0.7768595041322314,0.8415763544536271,0.8411053497015611,0.015008520356776231,0.03187070707070705,0.16666666666666666,S3R69SNR_N12_B05_n12_penalty,"[9,11,5,7,3,1,0,2,4,6,8,10]",9-11-5-7-3-1-0-2-4-6-8-10,c75d73d24181c03b,0.8181818181818182,0.9090909090909091,0.2231404958677686,0.5454545454545454,1.0,1.0,0.09090909090909091,0.09090909090909091,4.0,1.0,0.008264462809917356,0.11861735615212664,0.3333333333333333,0.3333333333333333,5.0,final_smallN_diagnostic_batch24,S3R73FSD_N12_B01_n12_final_diag_surrogate_top,False,NOT_RUN
R73_N12_C03645,N12_R73_N12_C03645_N12_final_diag_surrogate_top,12.0,N12_final_diag_surrogate_top,existing_pool_selection,N12_final_diag_surrogate_top,constrained_reward_balance,0.7444444444444445,0.7408080808080809,0.7444444444444445,0.7399444444444445,0.7444444444444445,0.7420898989898991,0.7422285353535355,0.7417356944444445,0.7421479671717173,0.7399444444444445,0.7419512626262628,0.7419512626262628,0.7422285353535355,0.7417694444444446,0.7417694444444446,0.7417694444444447,0.7420876489898992,0.7164848484848485,0.7272727272727273,0.7429035353535354,0.74180126489899,0.009537028642307491,0.027959595959595962,0.16666666666666666,S3R69SNR_N12_B03_n12_run66_local,"[11,9,5,3,7,1,0,2,6,4,8,10]",11-9-5-3-7-1-0-2-6-4-8-10,1c50cb6f081481e7,1.0,0.9090909090909091,0.2727272727272727,0.5454545454545454,1.0,1.0,0.09090909090909091,0.09090909090909091,5.0,1.0,-0.008264462809917356,0.128564869306645,0.3333333333333333,0.3333333333333333,23.0,final_smallN_diagnostic_batch24,S3R73FSD_N12_B02_n12_final_diag_surrogate_top,False,NOT_RUN
R73_N12_C01206,N12_R73_N12_C01206_N12_final_diag_surrogate_top,12.0,N12_final_diag_surrogate_top,existing_pool_selection,N12_final_diag_surrogate_top,constrained_reward_balance,0.7338888888888889,0.7302525252525254,0.7338888888888889,0.729388888888889,0.7338888888888889,0.7315343434343435,0.7316729797979798,0.731180138888889,0.7315924116161617,0.729388888888889,0.7313957070707071,0.7313957070707071,0.7316729797979798,0.731213888888889,0.731213888888889,0.731213888888889,0.7315320934343434,0.7063515151515152,0.7272727272727273,0.7323479797979799,0.7312457093434346,0.018133786263855776,0.02753737373737375,0.3333333333333333,S3R69SNR_N12_B07_n12_reward_bal,"[11,9,3,5,7,1,0,2,4,8,6,10]",11-9-3-5-7-1-0-2-4-8-6-10,b7c7f0804a7f58d9,1.0,0.9090909090909091,0.2727272727272727,0.5454545454545454,1.0,2.0,0.09090909090909091,0.09090909090909091,5.0,1.0,-0.008264462809917356,0.150131422517231,0.3333333333333333,0.0,28.0,final_smallN_diagnostic_batch24,S3R73FSD_N12_B03_n12_final_diag_surrogate_top,False,NOT_RUN
R73_N12_C00198,N12_R73_N12_C00198_N12_final_diag_surrogate_top,12.0,N12_final_diag_surrogate_top,existing_pool_selection,N12_final_diag_surrogate_top,constrained_reward_balance,0.7055555555555555,0.71910927456382,0.7055555555555555,0.7055555555555555,0.7055555555555555,0.7109770431588613,0.7096216712580349,0.7130101010101011,0.7102993572084481,0.7055555555555555,0.7123324150596878,0.7123324150596878,0.7096216712580349,0.7130101010101011,0.7130101010101011,0.7130101010101011,0.7109770431588613,0.6827878787878787,0.7933884297520661,0.709621671258035,0.712806795224977,0.02796842297438226,0.02276767676767677,0.6666666666666666,S3R69SNR_N12_B03_n12_run66_local,"[11,9,6,4,2,0,1,3,7,5,8,10]",11-9-6-4-2-0-1-3-7-5-8-10,bda90c8cf3c364ec,1.0,0.9090909090909091,0.2066115702479339,0.36363636363636365,1.0,0.0,0.2727272727272727,0.09090909090909091,3.0,3.0,-0.008264462809917356,0.06815050620855638,0.3333333333333333,0.3333333333333333,35.0,final_smallN_diagnostic_batch24,S3R73FSD_N12_B04_n12_final_diag_surrogate_top,False,NOT_RUN
R73_N12_C01766,N12_R73_N12_C01766_N12_local_search_around_Run71_best,12.0,N12_local_search_around_Run71_best,offline_mutation_or_pointer_proxy,N12_local_search_around_Run71_best,constrained_reward_balance,0.7626190476190475,0.7616273120818575,0.7626190476190475,0.7626190476190475,0.7626190476190475,0.7622223534041715,0.7623215269578905,0.7620735930735931,0.762271940181031,0.7626190476190475,0.7621231798504525,0.7621231798504525,0.7623215269578905,0.762073593073593,0.762073593073593,0.762073593073593,0.7622223534041714,0.7339324675324674,0.7933884297520661,0.7623215269578905,0.7620884691066507,0.011797565917975322,0.028686580086580094,0.3333333333333333,S3R69SNR_N12_B16_n12_uncertainty,"[11,9,7,5,3,1,0,2,4,10,8,6]",11-9-7-5-3-1-0-2-4-10-8-6,ec4ebefb3a22cb53,1.0,0.5454545454545454,0.2066115702479339,0.5454545454545454,1.0,1.0,0.09090909090909091,0.09090909090909091,2.0,1.0,-0.04132231404958678,0.11026168648038291,0.3333333333333333,0.0,15.0,final_smallN_diagnostic_batch24,S3R73FSD_N12_B05_n12_around_Run71_best,False,NOT_RUN
R73_N12_C00083,N12_R73_N12_C00083_N12_local_search_around_Run71_best,12.0,N12_local_search_around_Run71_best,offline_mutation_or_pointer_proxy,N12_local_search_around_Run71_best,constrained_reward_balance,0.7333333333333334,0.73168044077135,0.7333333333333334,0.7333333333333334,0.7333333333333334,0.7326721763085401,0.7328374655647384,0.7324242424242425,0.7327548209366392,0.7333333333333334,0.7325068870523417,0.7325068870523417,0.7328374655647384,0.7324242424242425,0.7324242424242425,0.7324242424242426,0.7326721763085401,0.7058181818181819,0.7768595041322314,0.7328374655647384,0.7324490358126723,0.002899435837895894,0.027515151515151492,0.16666666666666666,S3R69SNR_N12_B05_n12_penalty,"[5,9,11,7,3,1,0,2,4,6,8,10]",5-9-11-7-3-1-0-2-4-6-8-10,6f99d8eacf831b53,0.45454545454545453,0.9090909090909091,0.2231404958677686,0.36363636363636365,1.0,0.0,0.09090909090909091,0.09090909090909091,2.0,1.0,0.04132231404958678,0.08977504538181996,0.3333333333333333,0.3333333333333333,25.0,final_smallN_diagnostic_batch24,S3R73FSD_N12_B06_n12_around_Run71_best,False,NOT_RUN
R73_N12_C00126,N12_R73_N12_C00126_N12_local_search_around_Run71_best,12.0,N12_local_search_around_Run71_best,offline_mutation_or_pointer_proxy,N12_local_search_around_Run71_best,constrained_reward_balance,0.7338888888888889,0.7302525252525254,0.7338888888888889,0.729388888888889,0.7338888888888889,0.7315343434343435,0.7316729797979798,0.731180138888889,0.7315924116161617,0.729388888888889,0.7313957070707071,0.7313957070707071,0.7316729797979798,0.731213888888889,0.731213888888889,0.731213888888889,0.7315320934343434,0.7063515151515152,0.7272727272727273,0.7323479797979799,0.7312457093434346,0.00547922478316758,0.02753737373737375,0.16666666666666666,S3R69SNR_N12_B16_n12_uncertainty,"[11,9,5,7,3,1,0,2,8,6,4,10]",11-9-5-7-3-1-0-2-8-6-4-10,6dee960c4fb162c7,1.0,0.9090909090909091,0.2727272727272727,0.5454545454545454,1.0,2.0,0.09090909090909091,0.09090909090909091,5.0,1.0,-0.008264462809917356,0.150131422517231,0.3333333333333333,0.3333333333333333,27.0,final_smallN_diagnostic_batch24,S3R73FSD_N12_B07_n12_around_Run71_best,False,NOT_RUN
R73_N12_C00047,N12_R73_N12_C00047_N12_final_diag_u2_safe,12.0,N12_final_diag_u2_safe,offline_mutation_or_pointer_proxy,N12_final_diag_u2_safe,constrained_reward_balance,0.7888888888888889,0.786574839302112,0.7888888888888889,0.7888888888888889,0.7888888888888889,0.7879632690541781,0.7881946740128557,0.7876161616161617,0.788078971533517,0.7888888888888889,0.7877318640955004,0.7877318640955004,0.7881946740128557,0.7876161616161617,0.7876161616161617,0.7876161616161617,0.787963269054178,0.7591515151515151,0.7603305785123967,0.7881946740128558,0.7876508723599633,0.01970981563828709,0.02973737373737373,0.16666666666666666,S3R69SNR_N12_B16_n12_uncertainty,"[11,9,5,3,7,1,0,2,4,6,8,10]",11-9-5-3-7-1-0-2-4-6-8-10,ed513bfc31893b88,1.0,0.9090909090909091,0.23966942148760328,0.5454545454545454,1.0,1.0,0.09090909090909091,0.09090909090909091,3.0,1.0,-0.008264462809917356,0.12424211882952818,0.3333333333333333,0.3333333333333333,10.0,final_smallN_diagnostic_batch24,S3R73FSD_N12_B08_n12_final_diag_u2_safe,False,NOT_RUN
R73_N12_C01929,N12_R73_N12_C01929_N12_final_diag_u2_safe,12.0,N12_final_diag_u2_safe,offline_mutation_or_pointer_proxy,N12_final_diag_u2_safe,constrained_reward_balance,0.7738888888888888,0.771574839302112,0.7738888888888888,0.7738888888888888,0.7738888888888888,0.7729632690541781,0.7731946740128557,0.7726161616161616,0.7730789715335169,0.7738888888888888,0.7727318640955005,0.7727318640955005,0.7731946740128557,0.7726161616161618,0.7726161616161618,0.7726161616161618,0.772963269054178,0.744751515151515,0.7603305785123967,0.7731946740128559,0.7726508723599633,0.003195695356035335,0.029137373737373795,0.16666666666666666,S3R64VNR_N12_B05_n12_anchor_local,"[11,5,7,9,3,1,0,2,4,6,8,10]",11-5-7-9-3-1-0-2-4-6-8-10,58a3781209136d95,1.0,0.9090909090909091,0.23966942148760328,0.5454545454545454,1.0,2.0,0.09090909090909091,0.09090909090909091,3.0,1.0,-0.008264462809917356,0.1464466541047054,0.3333333333333333,0.3333333333333333,13.0,final_smallN_diagnostic_batch24,S3R73FSD_N12_B09_n12_final_diag_u2_safe,False,NOT_RUN
R73_N12_C01117,N12_R73_N12_C01117_N12_final_diag_u2_safe,12.0,N12_final_diag_u2_safe,offline_mutation_or_pointer_proxy,N12_final_diag_u2_safe,constrained_reward_balance,0.7444444444444445,0.7408080808080809,0.7444444444444445,0.7399444444444445,0.7444444444444445,0.7420898989898991,0.7422285353535355,0.7417356944444445,0.7421479671717173,0.7399444444444445,0.7419512626262628,0.7419512626262628,0.7422285353535355,0.7417694444444446,0.7417694444444446,0.7417694444444447,0.7420876489898992,0.7164848484848485,0.7272727272727273,0.7429035353535354,0.74180126489899,0.007964499274999072,0.027959595959595962,0.16666666666666666,S3R69SNR_N12_B03_n12_run66_local,"[11,9,5,7,3,1,0,6,2,4,8,10]",11-9-5-7-3-1-0-6-2-4-8-10,456759ca2d4a49d6,1.0,0.9090909090909091,0.2727272727272727,0.5454545454545454,1.0,1.0,0.09090909090909091,0.09090909090909091,5.0,1.0,-0.008264462809917356,0.128564869306645,0.3333333333333333,0.3333333333333333,21.0,final_smallN_diagnostic_batch24,S3R73FSD_N12_B10_n12_final_diag_u2_safe,False,NOT_RUN
