regime,n,teacher_action_nll,reward_weighted_nll,count
native_combined520,12,1.3017617349074229,1.0914457067057648,64
native_combined520,16,1.2904360402001198,0.9646565696392737,64
native_combined520,24,1.372821747053074,1.0052087031824168,188
native_combined520,40,1.3583382475361325,0.8968936803377225,204
plus_N32_unweighted,12,1.3017617349074229,1.0914457067057648,64
plus_N32_unweighted,16,1.2904360402001198,0.9646565696392737,64
plus_N32_unweighted,24,1.372821747053074,1.0052087031824168,188
plus_N32_unweighted,32,2.0231339408719937,1.6278446934498727,332
plus_N32_unweighted,40,1.3583382475361325,0.8968936803377225,204
plus_N32_balanced,12,1.3017617349074229,1.0914457067057648,64
plus_N32_balanced,16,1.2904360402001198,0.9646565696392737,64
plus_N32_balanced,24,1.372821747053074,1.0052087031824168,188
plus_N32_balanced,32,2.0231339408719937,1.6278446934498727,332
plus_N32_balanced,40,1.3583382475361325,0.8968936803377225,204
