run_id,batch_name,n,handoff_strategy_name,expected_future_case_root,expected_future_case_dir,expected_future_job_name,expected_future_inp_path,cae_inp_generated,ready_to_run
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,12,S3R74FSD_N12_B01_n12_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B01_n12_penalty,J2D_S3R74FSD_N12_B01_n12_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B01_n12_penalty\J2D_S3R74FSD_N12_B01_n12_penalty.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,12,S3R74FSD_N12_B02_n12_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B02_n12_penalty,J2D_S3R74FSD_N12_B02_n12_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B02_n12_penalty\J2D_S3R74FSD_N12_B02_n12_penalty.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,12,S3R74FSD_N12_B03_n12_reward_bal,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B03_n12_reward_bal,J2D_S3R74FSD_N12_B03_n12_reward_bal,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B03_n12_reward_bal\J2D_S3R74FSD_N12_B03_n12_reward_bal.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,12,S3R74FSD_N12_B04_n12_reward_bal,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B04_n12_reward_bal,J2D_S3R74FSD_N12_B04_n12_reward_bal,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B04_n12_reward_bal\J2D_S3R74FSD_N12_B04_n12_reward_bal.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,12,S3R74FSD_N12_B05_n12_final_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B05_n12_final_top,J2D_S3R74FSD_N12_B05_n12_final_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B05_n12_final_top\J2D_S3R74FSD_N12_B05_n12_final_top.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,12,S3R74FSD_N12_B06_n12_final_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B06_n12_final_top,J2D_S3R74FSD_N12_B06_n12_final_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B06_n12_final_top\J2D_S3R74FSD_N12_B06_n12_final_top.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,12,S3R74FSD_N12_B07_n12_final_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B07_n12_final_top,J2D_S3R74FSD_N12_B07_n12_final_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B07_n12_final_top\J2D_S3R74FSD_N12_B07_n12_final_top.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,12,S3R74FSD_N12_B08_n12_final_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B08_n12_final_top,J2D_S3R74FSD_N12_B08_n12_final_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B08_n12_final_top\J2D_S3R74FSD_N12_B08_n12_final_top.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,12,S3R74FSD_N12_B09_n12_u2_safe,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B09_n12_u2_safe,J2D_S3R74FSD_N12_B09_n12_u2_safe,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B09_n12_u2_safe\J2D_S3R74FSD_N12_B09_n12_u2_safe.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,12,S3R74FSD_N12_B10_n12_u2_safe,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B10_n12_u2_safe,J2D_S3R74FSD_N12_B10_n12_u2_safe,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B10_n12_u2_safe\J2D_S3R74FSD_N12_B10_n12_u2_safe.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,12,S3R74FSD_N12_B11_n12_u2_safe,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B11_n12_u2_safe,J2D_S3R74FSD_N12_B11_n12_u2_safe,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B11_n12_u2_safe\J2D_S3R74FSD_N12_B11_n12_u2_safe.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,12,S3R74FSD_N12_B12_n12_run71_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B12_n12_run71_local,J2D_S3R74FSD_N12_B12_n12_run71_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B12_n12_run71_local\J2D_S3R74FSD_N12_B12_n12_run71_local.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,12,S3R74FSD_N12_B13_n12_run71_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B13_n12_run71_local,J2D_S3R74FSD_N12_B13_n12_run71_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B13_n12_run71_local\J2D_S3R74FSD_N12_B13_n12_run71_local.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,12,S3R74FSD_N12_B14_n12_run71_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B14_n12_run71_local,J2D_S3R74FSD_N12_B14_n12_run71_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B14_n12_run71_local\J2D_S3R74FSD_N12_B14_n12_run71_local.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,16,S3R74FSD_N16_B01_n16_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B01_n16_penalty,J2D_S3R74FSD_N16_B01_n16_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B01_n16_penalty\J2D_S3R74FSD_N16_B01_n16_penalty.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,16,S3R74FSD_N16_B02_n16_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B02_n16_penalty,J2D_S3R74FSD_N16_B02_n16_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B02_n16_penalty\J2D_S3R74FSD_N16_B02_n16_penalty.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,16,S3R74FSD_N16_B03_n16_reward_bal,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B03_n16_reward_bal,J2D_S3R74FSD_N16_B03_n16_reward_bal,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B03_n16_reward_bal\J2D_S3R74FSD_N16_B03_n16_reward_bal.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,16,S3R74FSD_N16_B04_n16_reward_bal,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B04_n16_reward_bal,J2D_S3R74FSD_N16_B04_n16_reward_bal,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B04_n16_reward_bal\J2D_S3R74FSD_N16_B04_n16_reward_bal.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,16,S3R74FSD_N16_B05_n16_final_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B05_n16_final_top,J2D_S3R74FSD_N16_B05_n16_final_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B05_n16_final_top\J2D_S3R74FSD_N16_B05_n16_final_top.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,16,S3R74FSD_N16_B06_n16_final_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B06_n16_final_top,J2D_S3R74FSD_N16_B06_n16_final_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B06_n16_final_top\J2D_S3R74FSD_N16_B06_n16_final_top.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,16,S3R74FSD_N16_B07_n16_final_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B07_n16_final_top,J2D_S3R74FSD_N16_B07_n16_final_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B07_n16_final_top\J2D_S3R74FSD_N16_B07_n16_final_top.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,16,S3R74FSD_N16_B08_n16_final_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B08_n16_final_top,J2D_S3R74FSD_N16_B08_n16_final_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B08_n16_final_top\J2D_S3R74FSD_N16_B08_n16_final_top.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,16,S3R74FSD_N16_B09_n16_u2_safe,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B09_n16_u2_safe,J2D_S3R74FSD_N16_B09_n16_u2_safe,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B09_n16_u2_safe\J2D_S3R74FSD_N16_B09_n16_u2_safe.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,16,S3R74FSD_N16_B10_n16_u2_safe,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B10_n16_u2_safe,J2D_S3R74FSD_N16_B10_n16_u2_safe,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B10_n16_u2_safe\J2D_S3R74FSD_N16_B10_n16_u2_safe.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,16,S3R74FSD_N16_B11_n16_u2_safe,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B11_n16_u2_safe,J2D_S3R74FSD_N16_B11_n16_u2_safe,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B11_n16_u2_safe\J2D_S3R74FSD_N16_B11_n16_u2_safe.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,16,S3R74FSD_N16_B12_n16_run71_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B12_n16_run71_local,J2D_S3R74FSD_N16_B12_n16_run71_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B12_n16_run71_local\J2D_S3R74FSD_N16_B12_n16_run71_local.inp,False,False
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,stage3_run74_final_smallN_diagnostic_batch32_v01,16,S3R74FSD_N16_B13_n16_run71_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B13_n16_run71_local,J2D_S3R74FSD_N16_B13_n16_run71_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N16S3R74FSD_N16_B13_n16_run71_local\J2D_S3R74FSD_N16_B13_n16_run71_local.inp,False,False
