n,metric,strategy_name,dataset_source,value
12,U2,S3R69SNR_N12_B16_n12_uncertainty,run71_smallN_recovery_focused_batch40,2.20100214392005e-05
12,PEEQ,N12_A13_graph_pointer_policy_anti_odd_even_novelty,probe60_run08,0.1403219699859619
12,SurfaceT,N12_A09_center_edge_alternating,probe60_run08,580752832.0
12,Mises,N12_A06_edge_in_alternating,probe60_run08,579937984.0
12,target_reward_combined552_plus_N32_u2_primary,S3R74FSD_N12_B02_n12_penalty,run76_final_smallN_diagnostic_batch32,0.8977272727272728
12,target_reward_combined552_plus_N32_constrained_u2_reward_balanced,S3R74FSD_N12_B02_n12_penalty,run76_final_smallN_diagnostic_batch32,0.859090909090909
12,target_reward_combined552_plus_N32_strict_penalty_guard,S3R74FSD_N12_B02_n12_penalty,run76_final_smallN_diagnostic_batch32,0.8538961038961039
12,target_reward_combined552_plus_N32_penalty_repair,S3R74FSD_N12_B01_n12_penalty,run76_final_smallN_diagnostic_batch32,0.8275974025974026
16,U2,S3R74FSD_N16_B13_n16_run71_local,run76_final_smallN_diagnostic_batch32,2.926077831943985e-05
16,PEEQ,S3R74FSD_N16_B01_n16_penalty,run76_final_smallN_diagnostic_batch32,0.1457871496677398
16,SurfaceT,S3R74FSD_N16_B03_n16_reward_bal,run76_final_smallN_diagnostic_batch32,580887040.0
16,Mises,N16_A07_regular_jump_coprime,probe60_run08,579946752.0
16,target_reward_combined552_plus_N32_u2_primary,S3R74FSD_N16_B01_n16_penalty,run76_final_smallN_diagnostic_batch32,0.9233766233766234
16,target_reward_combined552_plus_N32_constrained_u2_reward_balanced,S3R74FSD_N16_B01_n16_penalty,run76_final_smallN_diagnostic_batch32,0.8805194805194806
16,target_reward_combined552_plus_N32_strict_penalty_guard,S3R74FSD_N16_B01_n16_penalty,run76_final_smallN_diagnostic_batch32,0.8818181818181817
16,target_reward_combined552_plus_N32_penalty_repair,S3R74FSD_N16_B01_n16_penalty,run76_final_smallN_diagnostic_batch32,0.837012987012987
24,U2,S3R49SCN_N24_B09_median_guard,run51_stricter_constrained_N24_N40_batch32,2.9523077955673216e-05
24,PEEQ,S3R59N40PR40_N24_B09_n24_diversity,run61_custom_N40_focused_batch40,0.1492166519165039
24,SurfaceT,S3R24L64_N24_B06_model_disagreement,shortlist64_run27,580875968.0
24,Mises,N24_A06_edge_in_alternating,probe60_run08,579942784.0
24,target_reward_combined552_plus_N32_u2_primary,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32,0.8718253968253968
24,target_reward_combined552_plus_N32_constrained_u2_reward_balanced,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32,0.8558201058201058
24,target_reward_combined552_plus_N32_strict_penalty_guard,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32,0.8505291005291007
24,target_reward_combined552_plus_N32_penalty_repair,S3R69SNR_N24_B04_n24_uncertainty,run71_smallN_recovery_focused_batch40,0.8466931216931217
32,U2,RLU2M_A28_V01,stage2_n32_legacy,4.7092337e-05
32,PEEQ,RLV2O_A015_V01,stage2_n32_legacy,0.1380848805606365
32,SurfaceT,LHYB_MAXH_V01,stage2_n32_legacy,0.0010144115886554
32,Mises,RLV2O_A072_V01,stage2_n32_legacy,1.9332757333333328
32,target_reward_combined552_plus_N32_u2_primary,RL20_A15_V01,stage2_n32_legacy,0.8783232628398793
32,target_reward_combined552_plus_N32_constrained_u2_reward_balanced,RL20_A15_V01,stage2_n32_legacy,0.8422960725075529
32,target_reward_combined552_plus_N32_strict_penalty_guard,mc_extra_003,stage2_n32_legacy,0.8347432024169184
32,target_reward_combined552_plus_N32_penalty_repair,mc_extra_003,stage2_n32_legacy,0.8549848942598188
40,U2,S3R64VNR_N40_B15_n40_u2ret_anchor,run66_variable_N_recovery_anchor_batch48,4.5779268475598656e-05
40,PEEQ,S3R39N2440B60_N40_B10_surrogate_top,run41_native_N24_N40_focused_batch60,0.1440253555774688
40,SurfaceT,S3R19B28_N40_B06_uncertainty_calibration,batch28_run20,581119040.0
40,Mises,N40_A07_regular_jump_coprime,probe60_run08,579924032.0
40,target_reward_combined552_plus_N32_u2_primary,S3R64VNR_N40_B03_n40_penalty_anchor,run66_variable_N_recovery_anchor_batch48,0.9395121951219513
40,target_reward_combined552_plus_N32_constrained_u2_reward_balanced,S3R64VNR_N40_B03_n40_penalty_anchor,run66_variable_N_recovery_anchor_batch48,0.9097560975609755
40,target_reward_combined552_plus_N32_strict_penalty_guard,S3R64VNR_N40_B03_n40_penalty_anchor,run66_variable_N_recovery_anchor_batch48,0.8985365853658538
40,target_reward_combined552_plus_N32_penalty_repair,S3R64VNR_N40_B03_n40_penalty_anchor,run66_variable_N_recovery_anchor_batch48,0.8760975609756098
