n,metric,run76_best_rank_in_combined552,run76_top5_entries,run76_top10_entries,run76_mean_rank
12,U2,4.0,2,6,17.714285714285715
12,PEEQ,8.0,0,2,35.285714285714285
12,SurfaceT,5.0,1,4,24.571428571428573
12,Mises,25.0,0,0,53.25
12,u2_primary,1.0,4,6,18.214285714285715
12,constrained_u2_reward_balanced,1.0,3,5,20.678571428571427
12,strict_penalty_guard,1.0,3,5,21.607142857142858
12,penalty_repair,1.0,3,5,23.25
16,U2,1.0,3,4,30.285714285714285
16,PEEQ,1.0,1,3,24.214285714285715
16,SurfaceT,1.0,3,7,16.714285714285715
16,Mises,11.5,0,0,46.25
16,u2_primary,1.0,4,4,27.142857142857142
16,constrained_u2_reward_balanced,1.0,3,4,24.785714285714285
16,strict_penalty_guard,1.0,3,4,22.071428571428573
16,penalty_repair,1.0,2,5,20.5
24,U2,25.0,0,0,27.5
24,PEEQ,45.0,0,0,76.0
24,SurfaceT,76.0,0,0,84.5
24,Mises,126.0,0,0,134.0
24,u2_primary,12.0,0,0,27.0
24,constrained_u2_reward_balanced,16.0,0,0,34.0
24,strict_penalty_guard,19.0,0,0,42.0
24,penalty_repair,34.0,0,0,55.75
40,U2,20.0,0,0,25.5
40,PEEQ,28.0,0,0,31.75
40,SurfaceT,33.0,0,0,37.0
40,Mises,128.0,0,0,142.5
40,u2_primary,9.0,0,1,17.0
40,constrained_u2_reward_balanced,11.0,0,0,16.5
40,strict_penalty_guard,11.0,0,0,15.5
40,penalty_repair,10.0,0,1,15.5
