comparison,n,metric,combined520_best_strategy,combined520_best_value,run76_best_strategy,run76_best_value,run76_beats_combined520,absolute_improvement,relative_improvement_pct,combined552_new_best_strategy,combined552_new_best_source
Run76_vs_combined520,12,U2,S3R69SNR_N12_B16_n12_uncertainty,2.20100214392005e-05,S3R74FSD_N12_B09_n12_u2_safe,2.4175786620617146e-05,False,-2.1657651814166456e-06,-9.839904915128132,S3R69SNR_N12_B16_n12_uncertainty,run71_smallN_recovery_focused_batch40
Run76_vs_combined520,12,PEEQ,N12_A13_graph_pointer_policy_anti_odd_even_novelty,0.1403219699859619,S3R74FSD_N12_B14_n12_run71_local,0.1448495686054229,False,-0.004527598619461004,-3.226578574911651,N12_A13_graph_pointer_policy_anti_odd_even_novelty,probe60_run08
Run76_vs_combined520,12,SurfaceT,N12_A09_center_edge_alternating,580752832.0,S3R74FSD_N12_B11_n12_u2_safe,580913536.0,False,-160704.0,-0.02767166876252099,N12_A09_center_edge_alternating,probe60_run08
Run76_vs_combined520,12,Mises,N12_A06_edge_in_alternating,579937984.0,S3R74FSD_N12_B13_n12_run71_local,579939456.0,False,-1472.0,-0.0002538202429589437,N12_A06_edge_in_alternating,probe60_run08
Run76_vs_combined520,12,u2_primary,S3R69SNR_N12_B16_n12_uncertainty,0.8912337662337663,S3R74FSD_N12_B02_n12_penalty,0.8977272727272728,True,0.006493506493506551,0.7285974499089317,S3R74FSD_N12_B02_n12_penalty,run76_final_smallN_diagnostic_batch32
Run76_vs_combined520,12,constrained_u2_reward_balanced,S3R69SNR_N12_B16_n12_uncertainty,0.8428571428571429,S3R74FSD_N12_B02_n12_penalty,0.859090909090909,True,0.016233766233766156,1.926040061633273,S3R74FSD_N12_B02_n12_penalty,run76_final_smallN_diagnostic_batch32
Run76_vs_combined520,12,strict_penalty_guard,S3R69SNR_N12_B16_n12_uncertainty,0.8175324675324676,S3R74FSD_N12_B02_n12_penalty,0.8538961038961039,True,0.036363636363636376,4.4479745830023845,S3R74FSD_N12_B02_n12_penalty,run76_final_smallN_diagnostic_batch32
Run76_vs_combined520,12,penalty_repair,S3R69SNR_N12_B16_n12_uncertainty,0.7866883116883117,S3R74FSD_N12_B01_n12_penalty,0.8275974025974026,True,0.040909090909090895,5.2001650846058585,S3R74FSD_N12_B01_n12_penalty,run76_final_smallN_diagnostic_batch32
Run76_vs_combined520,16,U2,S3R69SNR_N16_B09_n16_recovery_top,3.467050373728853e-05,S3R74FSD_N16_B13_n16_run71_local,2.926077831943985e-05,True,5.4097254178486764e-06,15.6032501253521,S3R74FSD_N16_B13_n16_run71_local,run76_final_smallN_diagnostic_batch32
Run76_vs_combined520,16,PEEQ,S3R69SNR_N16_B16_n16_uncertainty,0.1472253948450088,S3R74FSD_N16_B01_n16_penalty,0.1457871496677398,True,0.001438245177268982,0.9769002003921208,S3R74FSD_N16_B01_n16_penalty,run76_final_smallN_diagnostic_batch32
Run76_vs_combined520,16,SurfaceT,S3R69SNR_N16_B08_n16_reward_bal,580893440.0,S3R74FSD_N16_B03_n16_reward_bal,580887040.0,True,6400.0,0.0011017511232352703,S3R74FSD_N16_B03_n16_reward_bal,run76_final_smallN_diagnostic_batch32
Run76_vs_combined520,16,Mises,N16_A07_regular_jump_coprime,579946752.0,S3R74FSD_N16_B02_n16_penalty,579947456.0,False,-704.0,-0.00012139045482575615,N16_A07_regular_jump_coprime,probe60_run08
Run76_vs_combined520,16,u2_primary,S3R69SNR_N16_B02_n16_run66_local,0.864935064935065,S3R74FSD_N16_B01_n16_penalty,0.9233766233766234,True,0.058441558441558406,6.756756756756752,S3R74FSD_N16_B01_n16_penalty,run76_final_smallN_diagnostic_batch32
Run76_vs_combined520,16,constrained_u2_reward_balanced,S3R69SNR_N16_B02_n16_run66_local,0.8487012987012987,S3R74FSD_N16_B01_n16_penalty,0.8805194805194806,True,0.03181818181818186,3.7490436113236463,S3R74FSD_N16_B01_n16_penalty,run76_final_smallN_diagnostic_batch32
Run76_vs_combined520,16,strict_penalty_guard,S3R69SNR_N16_B02_n16_run66_local,0.8415584415584416,S3R74FSD_N16_B01_n16_penalty,0.8818181818181817,True,0.04025974025974011,4.783950617283932,S3R74FSD_N16_B01_n16_penalty,run76_final_smallN_diagnostic_batch32
Run76_vs_combined520,16,penalty_repair,S3R69SNR_N16_B02_n16_run66_local,0.8292207792207792,S3R74FSD_N16_B01_n16_penalty,0.837012987012987,True,0.007792207792207795,0.939702427564605,S3R74FSD_N16_B01_n16_penalty,run76_final_smallN_diagnostic_batch32
Run76_vs_combined520,24,U2,S3R49SCN_N24_B09_median_guard,2.9523077955673216e-05,S3R74FSD_N24_B01_n24_anchor_ref,4.495266580306634e-05,False,-1.5429587847393123e-05,-52.26280224087591,S3R49SCN_N24_B09_median_guard,run51_stricter_constrained_N24_N40_batch32
Run76_vs_combined520,24,PEEQ,S3R59N40PR40_N24_B09_n24_diversity,0.1492166519165039,S3R74FSD_N24_B01_n24_anchor_ref,0.1542437821626663,False,-0.005027130246162387,-3.36901423641068,S3R59N40PR40_N24_B09_n24_diversity,run61_custom_N40_focused_batch40
Run76_vs_combined520,24,SurfaceT,S3R24L64_N24_B06_model_disagreement,580875968.0,S3R74FSD_N24_B02_n24_anchor_ref,582119488.0,False,-1243520.0,-0.2140766822014575,S3R24L64_N24_B06_model_disagreement,shortlist64_run27
Run76_vs_combined520,24,Mises,N24_A06_edge_in_alternating,579942784.0,S3R74FSD_N24_B01_n24_anchor_ref,579944384.0,False,-1600.0,-0.0002758892849678081,N24_A06_edge_in_alternating,probe60_run08
Run76_vs_combined520,24,u2_primary,S3R44CNS_N24_B16_uncertainty,0.8718253968253968,S3R74FSD_N24_B01_n24_anchor_ref,0.7891534391534392,False,-0.08267195767195767,-9.482627825823092,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32
Run76_vs_combined520,24,constrained_u2_reward_balanced,S3R44CNS_N24_B16_uncertainty,0.8558201058201058,S3R74FSD_N24_B01_n24_anchor_ref,0.7391534391534391,False,-0.1166666666666667,-13.632148377125198,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32
Run76_vs_combined520,24,strict_penalty_guard,S3R44CNS_N24_B16_uncertainty,0.8505291005291007,S3R74FSD_N24_B01_n24_anchor_ref,0.7158730158730159,False,-0.1346560846560848,-15.832037325038895,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32
Run76_vs_combined520,24,penalty_repair,S3R69SNR_N24_B04_n24_uncertainty,0.8466931216931217,S3R74FSD_N24_B01_n24_anchor_ref,0.6711640211640213,False,-0.17552910052910042,-20.731135760037482,S3R69SNR_N24_B04_n24_uncertainty,run71_smallN_recovery_focused_batch40
