n,record_source,count,best_U2_strategy,best_U2_value,best_PEEQ_strategy,best_PEEQ_value,best_SurfaceT_strategy,best_SurfaceT_value,best_Mises_strategy,best_Mises_value,best_target_reward_combined552_u2_primary_strategy,best_target_reward_combined552_u2_primary_value,best_target_reward_combined552_constrained_u2_reward_balanced_strategy,best_target_reward_combined552_constrained_u2_reward_balanced_value,best_target_reward_combined552_strict_penalty_guard_strategy,best_target_reward_combined552_strict_penalty_guard_value,best_target_reward_combined552_penalty_repair_strategy,best_target_reward_combined552_penalty_repair_value
12,run76_final_smallN_diagnostic_batch32,14,S3R74FSD_N12_B09_n12_u2_safe,2.4175786620617146e-05,S3R74FSD_N12_B14_n12_run71_local,0.1448495686054229,S3R74FSD_N12_B11_n12_u2_safe,580913536.0,S3R74FSD_N12_B13_n12_run71_local,579939456.0,S3R74FSD_N12_B02_n12_penalty,0.8977272727272728,S3R74FSD_N12_B02_n12_penalty,0.859090909090909,S3R74FSD_N12_B02_n12_penalty,0.8538961038961039,S3R74FSD_N12_B01_n12_penalty,0.8275974025974026
12,run71_smallN_recovery_focused_batch40,16,S3R69SNR_N12_B16_n12_uncertainty,2.20100214392005e-05,S3R69SNR_N12_B15_n12_u2_safe,0.1430467814207077,S3R69SNR_N12_B13_n12_u2_safe,580840256.0,S3R69SNR_N12_B15_n12_u2_safe,579939456.0,S3R69SNR_N12_B16_n12_uncertainty,0.8912337662337663,S3R69SNR_N12_B16_n12_uncertainty,0.8428571428571429,S3R69SNR_N12_B16_n12_uncertainty,0.8175324675324676,S3R69SNR_N12_B16_n12_uncertainty,0.7866883116883117
12,run66_variable_N_recovery_anchor_batch48,12,S3R64VNR_N12_B06_n12_anchor_top,2.3353248252533376e-05,S3R64VNR_N12_B07_n12_anchor_top,0.1438055485486984,S3R64VNR_N12_B11_n12_u2_safe,580957120.0,S3R64VNR_N12_B01_n12_diversity,579938432.0,S3R64VNR_N12_B06_n12_anchor_top,0.8324675324675326,S3R64VNR_N12_B06_n12_anchor_top,0.7597402597402597,S3R64VNR_N12_B05_n12_anchor_local,0.7305194805194806,S3R64VNR_N12_B05_n12_anchor_local,0.712012987012987
12,run36_N32_informed_native_batch32,4,S3R34N32INF_N12_B02_surrogate_top,3.5468697433316265e-05,S3R34N32INF_N12_B04_hybrid_disagree,0.1500022262334823,S3R34N32INF_N12_B03_hybrid_agree,581436224.0,S3R34N32INF_N12_B04_hybrid_disagree,579938432.0,S3R34N32INF_N12_B02_surrogate_top,0.5366883116883117,S3R34N32INF_N12_B02_surrogate_top,0.5097402597402597,S3R34N32INF_N12_B02_surrogate_top,0.475974025974026,S3R34N32INF_N12_B02_surrogate_top,0.4685064935064935
12,shortlist64_run27,8,S3R24L64_N12_B05_diversity_coverage,3.9774539800419006e-05,S3R24L64_N12_B08_exploitation_reference,0.1451154500246048,S3R24L64_N12_B08_exploitation_reference,581017728.0,S3R24L64_N12_B07_sentinel_control,579938304.0,S3R24L64_N12_B01_top_region,0.5301948051948052,S3R24L64_N12_B08_exploitation_reference,0.5766233766233766,S3R24L64_N12_B08_exploitation_reference,0.6233766233766234,S3R24L64_N12_B08_exploitation_reference,0.661038961038961
16,run76_final_smallN_diagnostic_batch32,14,S3R74FSD_N16_B13_n16_run71_local,2.926077831943985e-05,S3R74FSD_N16_B01_n16_penalty,0.1457871496677398,S3R74FSD_N16_B03_n16_reward_bal,580887040.0,S3R74FSD_N16_B02_n16_penalty,579947456.0,S3R74FSD_N16_B01_n16_penalty,0.9233766233766234,S3R74FSD_N16_B01_n16_penalty,0.8805194805194806,S3R74FSD_N16_B01_n16_penalty,0.8818181818181817,S3R74FSD_N16_B01_n16_penalty,0.837012987012987
16,run71_smallN_recovery_focused_batch40,16,S3R69SNR_N16_B09_n16_recovery_top,3.467050373728853e-05,S3R69SNR_N16_B16_n16_uncertainty,0.1472253948450088,S3R69SNR_N16_B08_n16_reward_bal,580893440.0,S3R69SNR_N16_B03_n16_run66_local,579947520.0,S3R69SNR_N16_B02_n16_run66_local,0.864935064935065,S3R69SNR_N16_B02_n16_run66_local,0.8487012987012987,S3R69SNR_N16_B02_n16_run66_local,0.8415584415584416,S3R69SNR_N16_B02_n16_run66_local,0.8292207792207792
16,run66_variable_N_recovery_anchor_batch48,12,S3R64VNR_N16_B06_n16_anchor_top,3.5666283110913355e-05,S3R64VNR_N16_B02_n16_penalty,0.1477783918380737,S3R64VNR_N16_B12_n16_uncertainty,581026496.0,S3R64VNR_N16_B10_n16_u2_safe,579947520.0,S3R64VNR_N16_B12_n16_uncertainty,0.8256493506493507,S3R64VNR_N16_B12_n16_uncertainty,0.812987012987013,S3R64VNR_N16_B12_n16_uncertainty,0.8032467532467533,S3R64VNR_N16_B12_n16_uncertainty,0.7951298701298701
16,run36_N32_informed_native_batch32,4,S3R34N32INF_N16_B01_graph_pointer,5.834493731526891e-05,S3R34N32INF_N16_B04_hybrid_disagree,0.1514548659324646,S3R34N32INF_N16_B04_hybrid_disagree,581461312.0,S3R34N32INF_N16_B02_surrogate_top,579947136.0,S3R34N32INF_N16_B04_hybrid_disagree,0.33116883116883117,S3R34N32INF_N16_B04_hybrid_disagree,0.38376623376623376,S3R34N32INF_N16_B04_hybrid_disagree,0.4181818181818182,S3R34N32INF_N16_B04_hybrid_disagree,0.45259740259740255
16,shortlist64_run27,8,S3R24L64_N16_B02_top_region,4.0733349123911466e-05,S3R24L64_N16_B03_model_disagreement,0.1496467143297195,S3R24L64_N16_B03_model_disagreement,581315072.0,S3R24L64_N16_B06_tradeoff_probe,579947136.0,S3R24L64_N16_B02_top_region,0.6685064935064935,S3R24L64_N16_B02_top_region,0.5993506493506494,S3R24L64_N16_B02_top_region,0.5668831168831169,S3R24L64_N16_B03_model_disagreement,0.5636363636363636
