N,metric,value,value_type,claim_role
N12,U2,0.00013142987063470001,raw_teacher_metric:u2_range,native_within_N_claim_scope
N12,PEEQ,0.172713503241539,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N12,SurfaceT,585930688,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N12,Mises,579938304,raw_teacher_metric:mises_max,native_within_N_claim_scope
N12,U2,4.0443484977004118e-05,raw_teacher_metric:u2_range,native_within_N_claim_scope
N12,PEEQ,0.1485100835561752,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N12,SurfaceT,585297728,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N12,Mises,579939584,raw_teacher_metric:mises_max,native_within_N_claim_scope
N12,U2,8.1758944816101575e-05,raw_teacher_metric:u2_range,native_within_N_claim_scope
N12,PEEQ,0.160981610417366,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N12,SurfaceT,585035712,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N12,Mises,579939584,raw_teacher_metric:mises_max,native_within_N_claim_scope
N12,U2,4.4116221033618792e-05,raw_teacher_metric:u2_range,native_within_N_claim_scope
N12,PEEQ,0.1464761346578598,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N12,SurfaceT,581743296,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N12,Mises,579939584,raw_teacher_metric:mises_max,native_within_N_claim_scope
N12,U2,0.00015835521639919999,raw_teacher_metric:u2_range,native_within_N_claim_scope
N12,PEEQ,0.16032162308692929,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N12,SurfaceT,580972800,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N12,Mises,579938048,raw_teacher_metric:mises_max,native_within_N_claim_scope
N12,U2,0.0001012890104448,raw_teacher_metric:u2_range,native_within_N_claim_scope
N12,PEEQ,0.175326257944107,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N12,SurfaceT,580798976,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N12,Mises,579937984,raw_teacher_metric:mises_max,native_within_N_claim_scope
N12,U2,6.379491514962865e-05,raw_teacher_metric:u2_range,native_within_N_claim_scope
N12,PEEQ,0.1535141170024871,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N12,SurfaceT,581880128,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N12,Mises,579938432,raw_teacher_metric:mises_max,native_within_N_claim_scope
N12,U2,3.6826456380367751e-05,raw_teacher_metric:u2_range,native_within_N_claim_scope
N12,PEEQ,0.14324450492858881,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N12,SurfaceT,582462656,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N12,Mises,579939584,raw_teacher_metric:mises_max,native_within_N_claim_scope
N12,U2,0.0001080845922842,raw_teacher_metric:u2_range,native_within_N_claim_scope
N12,PEEQ,0.16809272766113281,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N12,SurfaceT,580752832,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N12,Mises,579938304,raw_teacher_metric:mises_max,native_within_N_claim_scope
N12,U2,5.5709248044877313e-05,raw_teacher_metric:u2_range,native_within_N_claim_scope
N12,PEEQ,0.15651747584342951,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N12,SurfaceT,583114560,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N12,Mises,579938304,raw_teacher_metric:mises_max,native_within_N_claim_scope
